RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.300738e-01	1.000000e+00	-1.200000e+00	-1.200000e+00	2.110000e+00	2.110000e+00	1.990000e+01	2.530000e+00	-4.480000e+00	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	1.774344e-01	2.000000e+00	2.534468e-01	-7.456652e-01	1.498330e+00	4.123268e-01	3.377603e+00	1.932969e-01	-1.336918e+00	-2.034791e-01	-1.086003e+00	0.000000e+00	2.000000e+00
3	1.902199e-01	2.000000e+00	-3.087997e+00	-5.599274e+00	-7.108258e-01	-1.219866e+00	-5.599274e+00	5.853627e+00	6.867905e+00	1.775606e+00	-5.090397e-01	-1.110223e-14	2.000000e+00
4	-3.250632e-01	2.000000e+00	9.716817e-01	-6.666346e+00	1.971478e+00	4.480489e-10	-6.666346e+00	-2.003874e-04	-9.649257e-01	2.033704e-04	-1.971478e+00	0.000000e+00	2.000000e+00
5	1.348453e-01	1.000000e+00	-3.509058e+00	-5.392048e+00	-6.521370e-01	-1.746461e+00	-5.392048e+00						
6	-4.610045e-02	1.000000e+00	-4.935591e-01	-1.382009e+00	4.335324e-01	-7.570217e-01	-1.382009e+00	1.147683e+00	3.108012e+00	9.208224e-01	-1.190554e+00	-5.551115e-15	2.000000e+00
7	4.531432e-01	5.000000e-01	7.522787e-01	-1.158100e+00	1.735035e+00	-9.197432e-11	-1.158100e+00						
8	-2.033844e+00	5.000000e-01	1.284352e-01	-2.346245e-01	8.844375e-01	-2.236474e-01	-2.346245e-01	1.229586e-01	1.156060e+00	4.225255e-01	-1.108085e+00	0.000000e+00	2.000000e+00
9	1.680095e-01	2.500000e-01	-6.498879e-01	8.673283e-02	2.428494e-01	-4.518601e-01	8.673283e-02						
10	4.740718e-01	2.500000e-01	2.603076e-01	1.317971e-01	1.098380e+00	-1.016215e-09	1.317971e-01	-2.900717e-02	2.837280e-01	2.032295e-01	-1.098380e+00	0.000000e+00	2.000000e+00
11	-4.795050e+00	2.500000e-01	-5.642680e-03	5.187589e-02	7.573420e-01	-5.478269e-08	5.187589e-02	1.518830e-01	1.185528e+00	3.860498e-01	-7.573420e-01	0.000000e+00	2.000000e+00
12	-1.463911e+00	1.250000e-01	2.526795e-01	1.295975e-01	1.087974e+00	-2.713007e-09	1.295975e-01						
13	-3.055478e-01	6.250000e-02	1.269486e-01	1.350541e-01	9.204894e-01	-4.085771e-09	1.350541e-01						
14	2.517033e-01	3.125000e-02	6.101225e-02	1.404951e-01	8.372589e-01	-5.187809e-09	1.404951e-01						
15	-1.602123e+00	3.125000e-02	2.782371e-02	1.433900e-01	7.969068e-01	-5.900816e-09	1.433900e-01	1.176992e-01	1.068980e+00	3.618583e-01	-7.969068e-01	0.000000e+00	2.000000e+00
16	1.851489e-01	1.562500e-02	-5.642654e-03	1.450751e-01	7.573420e-01	-2.747075e-09	1.450751e-01						
17	-6.278009e-02	1.562500e-02	1.113098e-02	1.453150e-01	7.770284e-01	-2.549360e-09	1.453150e-01	1.343534e-01	1.127145e+00	3.739149e-01	-7.770284e-01	0.000000e+00	2.000000e+00
18	2.640658e-01	7.812500e-03	2.782371e-02	1.448712e-01	7.969068e-01	-6.203677e-09	1.448712e-01						
19	-1.141541e+00	7.812500e-03	1.948726e-02	1.451805e-01	7.869439e-01	-6.420958e-09	1.451805e-01	1.259169e-01	1.098033e+00	3.678763e-01	-7.869440e-01	0.000000e+00	2.000000e+00
20	-6.710841e-01	3.906250e-03	2.782450e-02	1.453001e-01	7.969078e-01	-6.367541e-09	1.453001e-01						
21	-4.319751e-01	1.953125e-03	2.365908e-02	1.453527e-01	7.919209e-01	-6.479310e-09	1.453527e-01						
22	-3.115765e-01	9.765625e-04	2.157569e-02	1.453786e-01	7.894332e-01	-6.536285e-09	1.453786e-01						
23	-2.514761e-01	4.882812e-04	2.053615e-02	1.453913e-01	7.881936e-01	-6.164039e-09	1.453913e-01						
24	1.000000e+00	2.441406e-04	2.001947e-02	1.453977e-01	7.875779e-01	-6.579217e-09	1.453977e-01						
25	1.000000e+00	2.441406e-04	1.976902e-02	1.454007e-01	7.872795e-01	-2.389373e-09	1.454007e-01	1.256359e-01	1.097051e+00	3.676727e-01	-7.872795e-01	0.000000e+00	2.000000e+00
26	-4.089402e-01	2.441406e-04	2.005075e-02	1.454017e-01	7.876151e-01	-2.388705e-09	1.454017e-01	1.253551e-01	1.096069e+00	3.674693e-01	-7.876151e-01	0.000000e+00	2.000000e+00
27	1.000000e+00	1.220703e-04	2.033245e-02	1.454029e-01	7.879508e-01	-2.388038e-09	1.454029e-01						
28	1.000000e+00	1.220703e-04	2.021920e-02	1.454041e-01	7.878159e-01	-6.585550e-09	1.454041e-01	1.251874e-01	1.095482e+00	3.673476e-01	-7.878159e-01	0.000000e+00	2.000000e+00
29	1.000000e+00	1.220703e-04	2.038791e-02	1.454049e-01	7.880169e-01	-6.533347e-09	1.454049e-01	1.250195e-01	1.094895e+00	3.672258e-01	-7.880169e-01	0.000000e+00	2.000000e+00
30		1.220703e-04	2.055673e-02	1.454058e-01	7.882181e-01	-6.517235e-09	1.454058e-01	1.248515e-01	1.094306e+00	3.671038e-01	-7.882181e-01	0.000000e+00	2.000000e+00
