RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.901852e-01	1.000000e-01	-1.200000e+00	-1.200000e+00	-9.000000e-02	-9.000000e-02	-1.200000e+00	2.530000e+00	4.520000e+00	1.100000e+00	2.000000e-01	0.000000e+00	2.000000e+00
2	8.334746e-01	2.000000e-01	-1.081534e+00	1.089851e+00	-3.976298e-02	-4.316057e-09	1.089851e+00	2.184538e+00	4.200515e+00	1.040158e+00	3.976298e-02	-1.332268e-15	2.000000e+00
3	7.878966e-01	2.000000e-01	-7.383273e-01	6.038088e-01	1.428792e-01	-2.705517e-08	6.038088e-01	1.425265e+00	3.397458e+00	8.622244e-01	-1.428793e-01	0.000000e+00	2.000000e+00
4	7.000638e-01	2.000000e-01	-4.448532e-01	3.045134e-01	3.406321e-01	-1.783584e-08	3.045134e-01	8.304801e-01	2.603186e+00	6.883754e-01	-3.406322e-01	0.000000e+00	2.000000e+00
5	4.408245e-01	2.000000e-01	-1.930265e-01	1.252781e-01	5.573850e-01	-6.568453e-09	1.252781e-01	3.963925e-01	1.822446e+00	5.202845e-01	-5.573850e-01	0.000000e+00	2.000000e+00
6	-6.325347e+00	2.000000e-01	2.931851e-02	7.224635e-02	7.987007e-01	-4.182379e-09	7.224635e-02	1.162468e-01	1.063770e+00	3.607800e-01	-7.987007e-01	0.000000e+00	2.000000e+00
7	-4.900765e+00	1.000000e-01	-1.930264e-01	1.364273e-01	5.573850e-01	-3.126105e-08	1.364273e-01						
8	-2.390612e+00	5.000000e-02	-7.912536e-02	1.429225e-01	6.745726e-01	-1.270532e-08	1.429225e-01						
9	-4.464240e-01	2.500000e-02	-2.437399e-02	1.445442e-01	7.357039e-01	-3.115730e-09	1.445442e-01						
10	6.851866e-01	1.250000e-02	2.583419e-03	1.451045e-01	7.669602e-01	-7.618654e-09	1.451045e-01						
11	-4.998687e-01	1.250000e-02	1.597573e-02	1.453440e-01	7.827685e-01	-7.199170e-09	1.453440e-01	1.294379e-01	1.110268e+00	3.704131e-01	-7.827685e-01	0.000000e+00	2.000000e+00
12	-8.063375e-02	6.250000e-03	2.931854e-02	1.451103e-01	7.987008e-01	-6.543493e-09	1.451103e-01						
13	1.322803e-01	3.125000e-03	2.265360e-02	1.452636e-01	7.907197e-01	-6.718606e-09	1.452636e-01						
14	-5.158008e-01	3.125000e-03	1.931740e-02	1.453391e-01	7.867417e-01	-6.808726e-09	1.453391e-01	1.260864e-01	1.098625e+00	3.679989e-01	-7.867417e-01	0.000000e+00	2.000000e+00
15	-3.309335e-01	1.562500e-03	2.265597e-02	1.453611e-01	7.907226e-01	-6.784519e-09	1.453611e-01						
16	-2.380931e-01	7.812500e-04	2.098952e-02	1.453825e-01	7.887341e-01	-6.833072e-09	1.453825e-01						
17	-1.920504e-01	3.906250e-04	2.015856e-02	1.453931e-01	7.877436e-01	-6.855990e-09	1.453931e-01						
18	1.000000e+00	1.953125e-04	1.974796e-02	1.453983e-01	7.872544e-01	-6.867414e-09	1.453983e-01						
19	1.000000e+00	1.953125e-04	1.955162e-02	1.454008e-01	7.870206e-01	-6.872869e-09	1.454008e-01	1.258527e-01	1.097809e+00	3.678298e-01	-7.870206e-01	0.000000e+00	2.000000e+00
20	1.000000e+00	1.953125e-04	1.978594e-02	1.454015e-01	7.872997e-01	-2.492775e-09	1.454015e-01	1.256190e-01	1.096992e+00	3.676605e-01	-7.872997e-01	0.000000e+00	2.000000e+00
21	1.000000e+00	1.953125e-04	2.002024e-02	1.454023e-01	7.875788e-01	-2.492219e-09	1.454023e-01	1.253855e-01	1.096176e+00	3.674913e-01	-7.875788e-01	0.000000e+00	2.000000e+00
22	-4.845617e-01	1.953125e-04	2.025437e-02	1.454033e-01	7.878578e-01	-6.868280e-09	1.454033e-01	1.251524e-01	1.095360e+00	3.673222e-01	-7.878578e-01	0.000000e+00	2.000000e+00
23	1.000000e+00	9.765625e-05	2.048847e-02	1.454044e-01	7.881368e-01	-6.866756e-09	1.454044e-01						
24	1.000000e+00	9.765625e-05	2.040340e-02	1.454053e-01	7.880354e-01	-6.869123e-09	1.454053e-01	1.250040e-01	1.094841e+00	3.672146e-01	-7.880354e-01	0.000000e+00	2.000000e+00
25		9.765625e-05	2.055242e-02	1.454060e-01	7.882130e-01	-6.868154e-09	1.454060e-01	1.248558e-01	1.094321e+00	3.671069e-01	-7.882130e-01	0.000000e+00	2.000000e+00
