RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.103004e+00	-3.446403e-09	1.103004e+00
3	6.869375e-01	-1.539348e-08	6.869375e-01
4	3.856269e-01	-8.379617e-09	3.856269e-01
5	2.033661e-01	-5.444568e-09	2.033661e-01
6	1.455653e-01	-3.883712e-09	1.455653e-01
7	2.033661e-01	-2.522595e-08	2.033661e-01
8	1.585169e-01	-1.100666e-08	1.585169e-01
9	1.480064e-01	-3.013432e-09	1.480064e-01
10	1.457710e-01	-2.661272e-09	1.457710e-01
11	1.454137e-01	-2.508824e-09	1.454137e-01
12	1.455653e-01	-2.270572e-09	1.455653e-01
13	1.454258e-01	-6.434278e-09	1.454258e-01
14	1.454038e-01	-6.524802e-09	1.454038e-01
15	1.454258e-01	-6.502451e-09	1.454258e-01
16	1.454108e-01	-6.496749e-09	1.454108e-01
17	1.454063e-01	-3.376038e-09	1.454063e-01
18	1.454048e-01	-2.388273e-09	1.454048e-01
19	1.454043e-01	-6.587168e-09	1.454043e-01
20	1.454050e-01	-6.584891e-09	1.454050e-01
21	1.454058e-01	-6.582274e-09	1.454058e-01
22	1.454067e-01	-6.573138e-09	1.454067e-01
23	1.454079e-01	-6.564099e-09	1.454079e-01
24	1.454074e-01	-6.545430e-09	1.454074e-01
25	1.454082e-01	-6.583925e-09	1.454082e-01
26	1.454090e-01	-6.582840e-09	1.454090e-01
27	1.454099e-01	-6.517430e-09	1.454099e-01
28	1.454109e-01	-6.426633e-09	1.454109e-01
29	1.454119e-01	-6.579802e-09	1.454119e-01
30	1.454117e-01	-6.580132e-09	1.454117e-01
