RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	1.422672e+00	-1.436593e+00
2	1.258481e+00	-1.322395e+00
3	9.046311e-01	-1.135873e+00
4	5.734678e-01	-9.115280e-01
5	2.681081e-01	-6.531573e-01
6	5.871826e-01	-4.119282e-01
7	2.091217e-01	-5.425803e-01
8	5.534362e-01	-3.389937e-01
9	3.541145e-01	-4.048230e-01
10	5.131648e-01	-2.835669e-01
11	4.322734e-01	-3.424435e-01
12	3.928148e-01	-3.731639e-01
13	3.733635e-01	-3.888704e-01
14	3.541199e-01	-4.048294e-01
15	3.637139e-01	-3.968167e-01
16	3.685332e-01	-3.928377e-01
17	3.637144e-01	-3.968190e-01
18	3.661215e-01	-3.948273e-01
19	3.673293e-01	-3.938385e-01
20	3.661194e-01	-3.948319e-01
21	3.667202e-01	-3.943375e-01
22	3.670164e-01	-3.940924e-01
23	3.671576e-01	-3.939748e-01
24	3.672186e-01	-3.939234e-01
25	3.672432e-01	-3.939087e-01
26	3.672467e-01	-3.938996e-01
27	3.672484e-01	-3.938982e-01
28	3.672488e-01	-3.938978e-01
29	3.672489e-01	-3.938977e-01
30	3.672490e-01	-3.938977e-01
