RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.599151e-01	1.000000e-01	0.000000e+00	0.000000e+00	1.750000e+00	1.750000e+00	1.750000e+01	2.250000e+00	4.520000e+00	1.500000e+00	-3.000000e+00	0.000000e+00	2.000000e+00
2	9.071569e-01	2.000000e-01	3.980213e-02	2.035392e+00	1.641127e+00	-1.232059e+00	2.035392e+00	2.004193e+00	4.274097e+00	1.422672e+00	-2.873186e+00	0.000000e+00	2.000000e+00
3	7.541048e-01	4.000000e-01	1.649539e-01	1.629843e+00	1.490247e+00	-1.154543e+00	1.629843e+00	1.503340e+00	3.731529e+00	1.258481e+00	-2.644790e+00	0.000000e+00	2.000000e+00
4	7.453847e-01	4.000000e-01	4.718511e-01	8.895236e-01	1.385577e+00	-8.861695e-01	8.895236e-01	6.091684e-01	2.502651e+00	9.046311e-01	-2.271747e+00	0.000000e+00	2.000000e+00
5	7.339331e-01	4.000000e-01	5.020179e-01	4.853501e-01	1.257415e+00	-5.656405e-01	4.853501e-01	1.349987e-01	1.402343e+00	5.734678e-01	-1.823056e+00	0.000000e+00	2.000000e+00
6	1.562750e-01	4.000000e-01	3.547325e-01	2.096793e-01	1.158506e+00	-1.478082e-01	2.096793e-01	-3.135286e-02	4.392750e-01	2.681081e-01	-1.306315e+00	0.000000e+00	2.000000e+00
7	1.202249e-01	4.000000e-01	-1.750985e-01	-1.614486e-03	5.825023e-01	-2.413541e-01	-1.614486e-03	4.476897e-01	1.956802e+00	5.871826e-01	-8.238564e-01	0.000000e+00	2.000000e+00
8	-2.685273e-02	4.000000e-01	2.506637e-01	-1.181534e-01	1.085273e+00	1.082159e-04	-1.170713e-01	-2.600179e-02	3.139073e-01	2.091225e-01	-1.085165e+00	0.000000e+00	2.000000e+00
9	5.710174e-01	2.000000e-01	-1.913743e-01	-6.671866e-02	5.614812e-01	-1.165092e-01	-6.671866e-02						
10	-3.621790e+00	2.000000e-01	3.848618e-02	8.680710e-02	8.097678e-01	1.119684e-04	8.792678e-02	1.074421e-01	1.031643e+00	3.541179e-01	-8.096558e-01	0.000000e+00	2.000000e+00
11	-1.872411e+00	1.000000e-01	-1.829278e-01	1.315350e-01	5.672455e-01	1.081881e-04	1.326169e-01						
12	-4.238380e-01	5.000000e-02	-6.959218e-02	1.405695e-01	6.849948e-01	1.072241e-04	1.416417e-01						
13	4.572971e-01	2.500000e-02	-1.505163e-02	1.435237e-01	7.464373e-01	1.103958e-04	1.446277e-01						
14	-5.303392e-01	2.500000e-02	1.182132e-02	1.447709e-01	7.778572e-01	1.055178e-04	1.458260e-01	1.336127e-01	1.124593e+00	3.733672e-01	-7.777517e-01	0.000000e+00	2.000000e+00
15	-3.968035e-02	1.250000e-02	3.848688e-02	1.444977e-01	8.097677e-01	1.055201e-04	1.455529e-01						
16	3.665428e-01	6.250000e-03	2.517708e-02	1.449704e-01	7.937502e-01	1.080205e-04	1.460506e-01						
17	-1.880091e+00	6.250000e-03	1.850627e-02	1.452055e-01	7.857888e-01	1.027269e-04	1.462328e-01	1.268617e-01	1.101304e+00	3.685368e-01	-7.856861e-01	0.000000e+00	2.000000e+00
18	-8.071045e+00	3.125000e-03	2.517824e-02	1.452645e-01	7.937515e-01	1.074387e-04	1.463389e-01						
19	-2.000000e+00	1.562500e-03	2.184475e-02	1.453159e-01	7.897678e-01	1.072168e-04	1.463881e-01						
20	-2.000000e+00	7.812500e-04	2.017810e-02	1.453409e-01	7.877803e-01	1.079561e-04	1.464205e-01						
21	-2.000000e+00	3.906250e-04	1.934693e-02	1.453530e-01	7.867904e-01	1.093852e-04	1.464468e-01						
22	-2.000000e+00	1.953125e-04	1.893629e-02	1.453587e-01	7.863016e-01	1.104955e-04	1.464637e-01						
23	-2.000000e+00	9.765625e-05	1.873975e-02	1.453615e-01	7.860677e-01	1.109126e-04	1.464707e-01						
24	-2.000000e+00	4.882813e-05	1.865460e-02	1.453628e-01	7.859664e-01	1.110390e-04	1.464732e-01						
25	-2.000000e+00	2.441406e-05	1.862414e-02	1.453632e-01	7.859301e-01	1.110458e-04	1.464737e-01						
26	-2.000000e+00	1.220703e-05	1.861601e-02	1.453660e-01	7.859195e-01	1.036072e-04	1.464020e-01						
27	-2.000000e+00	6.103516e-06	1.861286e-02	1.453634e-01	7.859167e-01	1.110532e-04	1.464739e-01						
28	-2.000000e+00	3.051758e-06	1.861227e-02	1.453634e-01	7.859160e-01	1.110227e-04	1.464736e-01						
29	-2.000000e+00	1.525879e-06	1.861292e-02	1.453660e-01	7.859159e-01	1.036081e-04	1.464021e-01						
30		7.629395e-07	1.861208e-02	1.453634e-01	7.859158e-01	1.110561e-04	1.464740e-01						
