RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.000002e+00	-1.005948e-01
2	-8.000038e-01	-9.968130e-02
3	-4.001138e-01	-9.029949e-02
4	-1.862626e-04	-8.268585e-02
5	3.997658e-01	-7.649106e-02
6	2.451098e-01	-4.453834e-01
7	6.076698e-01	-2.764151e-01
8	2.658979e-01	-4.842418e-01
9	6.208469e-01	-2.998206e-01
10	4.174896e-01	-3.537813e-01
11	2.658965e-01	-4.842403e-01
12	3.399149e-01	-4.168858e-01
13	4.174868e-01	-3.537779e-01
14	3.783027e-01	-3.848485e-01
15	3.399146e-01	-4.168853e-01
16	3.590028e-01	-4.007394e-01
17	3.686244e-01	-3.927599e-01
18	3.590001e-01	-4.007366e-01
19	3.638068e-01	-3.967424e-01
20	3.662139e-01	-3.947509e-01
21	3.638021e-01	-3.967400e-01
22	3.650117e-01	-3.957533e-01
23	3.638054e-01	-3.967482e-01
24	3.644049e-01	-3.962519e-01
25	3.647007e-01	-3.960064e-01
26	3.648418e-01	-3.958885e-01
27	3.649027e-01	-3.958370e-01
28	3.649244e-01	-3.958185e-01
29	3.649308e-01	-3.958131e-01
30	3.649354e-01	-3.958154e-01
