RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.990358e-01	1.000000e-01	-1.200000e+00	-1.200000e+00	2.110000e+00	2.110000e+00	1.990000e+01	2.530000e+00	-4.480000e+00	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	9.948783e-01	2.000000e-01	-1.042512e+00	1.286767e+00	2.067626e+00	1.713496e+00	1.842173e+01	2.331216e+00	-4.302161e+00	-1.036274e+00	-3.541300e-01	0.000000e+00	2.000000e+00
3	9.748894e-01	4.000000e-01	-6.960941e-01	1.158050e+00	1.991613e+00	1.360431e+00	1.476236e+01	1.872896e+00	-3.863654e+00	-8.920157e-01	-6.311825e-01	-2.220446e-14	2.000000e+00
4	9.598316e-01	4.000000e-01	-2.969167e-02	7.005773e-01	1.820364e+00	7.781959e-01	8.482536e+00	8.884298e-01	-2.696425e+00	-5.488353e-01	-1.042168e+00	0.000000e+00	2.000000e+00
5	9.076827e-01	4.000000e-01	4.125957e-01	3.752877e-01	1.619592e+00	2.875607e-01	3.250895e+00	1.791917e-01	-1.350077e+00	-1.760153e-01	-1.332032e+00	0.000000e+00	2.000000e+00
6	-7.849188e-03	4.000000e-01	2.563051e-01	-1.008913e-01	1.092918e+00	-3.731107e-09	-1.008913e-01	-2.778177e-02	2.963390e-01	2.056995e-01	-1.092918e+00	0.000000e+00	2.000000e+00
7	5.827183e-01	2.000000e-01	-1.849891e-01	-6.882690e-02	5.674482e-01	-1.161226e-01	-6.882690e-02						
8	-2.792910e+00	2.000000e-01	4.397823e-02	8.746205e-02	8.164123e-01	-2.342163e-08	8.746205e-02	1.023461e-01	1.012674e+00	3.502200e-01	-8.164123e-01	0.000000e+00	2.000000e+00
9	-1.215332e+00	1.000000e-01	-1.769382e-01	1.287796e-01	5.731424e-01	-2.460199e-08	1.287796e-01						
10	-6.164540e-02	5.000000e-02	-6.391356e-02	1.393334e-01	6.912398e-01	-1.083074e-08	1.393334e-01						
11	5.815922e-01	2.500000e-02	-9.483843e-03	1.430880e-01	7.528749e-01	-8.186692e-09	1.430880e-01						
12	-1.799771e+00	2.500000e-02	1.734613e-02	1.447449e-01	7.843965e-01	-7.233898e-09	1.447449e-01	1.280596e-01	1.105494e+00	3.694230e-01	-7.843965e-01	0.000000e+00	2.000000e+00
13	-8.131389e-01	1.250000e-02	4.397822e-02	1.448954e-01	8.164123e-01	-2.147948e-09	1.448954e-01						
14	-3.086308e-01	6.250000e-03	3.068421e-02	1.451550e-01	8.003416e-01	-2.267495e-09	1.451550e-01						
15	-5.190664e-02	3.125000e-03	2.402150e-02	1.452819e-01	7.923541e-01	-6.425503e-09	1.452819e-01						
16	7.775132e-02	1.562500e-03	2.068652e-02	1.453443e-01	7.883728e-01	-6.515864e-09	1.453443e-01						
17	-2.473516e-01	1.562500e-03	1.901929e-02	1.453751e-01	7.863868e-01	-2.380463e-09	1.453751e-01	1.263841e-01	1.099664e+00	3.682143e-01	-7.863868e-01	0.000000e+00	2.000000e+00
18	-1.600950e-01	7.812500e-04	2.069163e-02	1.453807e-01	7.883789e-01	-6.444405e-09	1.453807e-01						
19	1.000000e+00	3.906250e-04	1.986064e-02	1.453920e-01	7.873887e-01	-2.384842e-09	1.453920e-01						
20	-2.291918e-01	3.906250e-04	1.945000e-02	1.453976e-01	7.868996e-01	-2.388981e-09	1.453976e-01	1.259540e-01	1.098163e+00	3.679032e-01	-7.868996e-01	0.000000e+00	2.000000e+00
21	1.000000e+00	1.953125e-04	1.988053e-02	1.453988e-01	7.874124e-01	-6.580490e-09	1.453988e-01						
22	1.000000e+00	1.953125e-04	1.968422e-02	1.454012e-01	7.871785e-01	-6.585228e-09	1.454012e-01	1.257204e-01	1.097347e+00	3.677340e-01	-7.871785e-01	0.000000e+00	2.000000e+00
23	1.000000e+00	1.953125e-04	1.991841e-02	1.454019e-01	7.874575e-01	-6.583462e-09	1.454019e-01	1.254870e-01	1.096531e+00	3.675648e-01	-7.874575e-01	0.000000e+00	2.000000e+00
