RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.909616e-01	1.000000e-01	-1.200000e+00	-1.200000e+00	2.110000e+00	2.110000e+00	1.990000e+01	2.530000e+00	-4.480000e+00	-1.100000e+00	-2.000000e-01	0.000000e+00	2.000000e+00
2	9.791405e-01	2.000000e-01	-9.906051e-01	1.132005e+00	2.018549e+00	1.769543e+00	1.882744e+01	2.137095e+00	-4.116697e+00	-1.003048e+00	-2.490063e-01	0.000000e+00	2.000000e+00
3	9.505989e-01	4.000000e-01	-6.243541e-01	7.508580e-01	1.835513e+00	1.501483e+00	1.576568e+01	1.439381e+00	-3.377490e+00	-8.076188e-01	-3.340303e-01	0.000000e+00	2.000000e+00
4	9.441174e-01	4.000000e-01	-1.184347e-01	3.326124e-02	1.463483e+00	1.010106e+00	1.013432e+01	4.330616e-01	-1.855068e+00	-4.120949e-01	-4.533765e-01	0.000000e+00	2.000000e+00
5	9.372912e-01	4.000000e-01	7.394750e-02	-2.113629e-01	1.088871e+00	5.442106e-01	5.230743e+00	4.437906e-03	-3.111602e-01	-1.470746e-02	-5.446607e-01	0.000000e+00	2.000000e+00
6	6.511069e-01	4.000000e-01	-5.339597e-02	-1.724654e-01	7.100990e-01	9.713566e-02	7.988912e-01	1.770165e-01	1.248846e+00	3.838320e-01	-6.129634e-01	0.000000e+00	2.000000e+00
7	4.910474e-01	4.000000e-01	-5.508411e-01	1.466643e-01	2.748876e-01	-1.726664e-01	1.466643e-01	1.028365e+00	2.896977e+00	7.751885e-01	-4.475540e-01	0.000000e+00	2.000000e+00
8	-2.000000e+00	4.000000e-01	-2.697245e-02	-1.918223e-01	7.327402e-01	1.085933e-04	-1.907363e-01	1.752631e-01	1.259472e+00	4.014470e-01	-7.326316e-01	0.000000e+00	2.000000e+00
9	-1.288885e+00	2.000000e-01	-5.524409e-01	1.515625e-01	2.780044e-01	-2.185169e-01	1.515625e-01						
10	-1.576674e-01	1.000000e-01	1.853298e-01	1.185016e-01	9.971479e-01	1.214461e-04	1.197161e-01						
11	3.616381e-01	5.000000e-02	7.977164e-02	1.325094e-01	8.605596e-01	1.072740e-04	1.335821e-01						
12	-4.538247e+00	5.000000e-02	2.675602e-02	1.404381e-01	7.956410e-01	1.072162e-04	1.415102e-01	1.187036e-01	1.072543e+00	3.625775e-01	-7.955337e-01	0.000000e+00	2.000000e+00
13	-2.647766e+00	2.500000e-02	-2.697230e-02	1.448239e-01	7.327404e-01	1.081862e-04	1.459058e-01						
14	2.038278e-01	1.250000e-02	4.609911e-06	1.451909e-01	7.639496e-01	1.157929e-04	1.463488e-01						
15	-1.409569e-01	1.250000e-02	1.340568e-02	1.453350e-01	7.797336e-01	1.109132e-04	1.464441e-01	1.319991e-01	1.119066e+00	3.722193e-01	-7.796227e-01	0.000000e+00	2.000000e+00
16	9.811307e-02	6.250000e-03	2.675581e-02	1.450027e-01	7.956412e-01	1.111949e-04	1.461146e-01						
17	-3.386539e+00	6.250000e-03	2.008719e-02	1.452048e-01	7.876726e-01	1.129053e-04	1.463338e-01	1.252800e-01	1.095780e+00	3.673900e-01	-7.875597e-01	0.000000e+00	2.000000e+00
18	-6.467617e-01	3.125000e-03	2.675633e-02	1.452945e-01	7.956425e-01	1.164829e-04	1.464593e-01						
19	4.503345e-01	1.562500e-03	2.342459e-02	1.453320e-01	7.916550e-01	1.124969e-04	1.464570e-01						
20	2.377286e-01	1.562500e-03	2.175900e-02	1.453509e-01	7.896657e-01	1.094020e-04	1.464449e-01	1.236201e-01	1.089958e+00	3.661841e-01	-7.895563e-01	0.000000e+00	2.000000e+00
21	-2.096572e+01	1.562500e-03	2.342982e-02	1.453706e-01	7.916605e-01	1.065548e-04	1.464361e-01	1.219690e-01	1.084139e+00	3.649789e-01	-7.915540e-01	0.000000e+00	2.000000e+00
22	-2.000000e+00	7.812500e-04	2.509915e-02	1.453972e-01	7.936567e-01	1.065807e-04	1.464630e-01						
23	-2.000000e+00	3.906250e-04	2.426906e-02	1.453977e-01	7.926639e-01	1.075188e-04	1.464729e-01						
24	-2.000000e+00	1.953125e-04	2.385894e-02	1.453981e-01	7.921735e-01	1.073973e-04	1.464721e-01						
25	-2.000000e+00	9.765625e-05	2.366094e-02	1.453980e-01	7.919369e-01	1.082834e-04	1.464808e-01						
26	-2.000000e+00	4.882813e-05	2.357579e-02	1.453975e-01	7.918354e-01	1.098296e-04	1.464958e-01						
27	-2.000000e+00	2.441406e-05	2.354529e-02	1.453972e-01	7.917991e-01	1.108131e-04	1.465053e-01						
28	9.458322e-01	1.220703e-05	2.353635e-02	1.453970e-01	7.917884e-01	1.111690e-04	1.465087e-01						
29	-5.614570e-01	2.441406e-05	2.353469e-02	1.453997e-01	7.917855e-01	1.036876e-04	1.464366e-01	1.218665e-01	1.083777e+00	3.649045e-01	-7.916818e-01	0.000000e+00	2.000000e+00
30		1.220703e-05	2.364017e-02	1.454012e-01	7.919115e-01	1.035924e-04	1.464371e-01						
