RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	2.043000e+01
2	1.146490e+00	1.769543e+00	1.884192e+01
3	8.150268e-01	1.501483e+00	1.582985e+01
4	3.146269e-01	1.010106e+00	1.041569e+01
5	7.838541e-02	5.442106e-01	5.520491e+00
6	1.236205e-01	9.713566e-02	1.094977e+00
7	4.775240e-01	-1.726664e-01	4.775240e-01
8	1.482906e-01	1.085933e-04	1.493765e-01
9	4.811634e-01	-2.185169e-01	4.811634e-01
10	1.482899e-01	1.111092e-04	1.494010e-01
11	4.811633e-01	-2.185157e-01	4.811633e-01
12	1.482899e-01	1.111092e-04	1.494010e-01
13	4.811633e-01	-2.185157e-01	4.811633e-01
14	1.482899e-01	1.111092e-04	1.494010e-01
15	4.811633e-01	-2.185157e-01	4.811633e-01
16	1.482899e-01	1.111092e-04	1.494010e-01
17	4.811633e-01	-2.185157e-01	4.811633e-01
18	1.482899e-01	1.111092e-04	1.494010e-01
19	4.811633e-01	-2.185157e-01	4.811633e-01
20	1.482899e-01	1.111092e-04	1.494009e-01
21	4.811633e-01	-2.185157e-01	4.811633e-01
22	1.482899e-01	1.111092e-04	1.494009e-01
23	4.811633e-01	-2.185157e-01	4.811633e-01
24	1.482899e-01	1.111092e-04	1.494009e-01
25	4.811633e-01	-2.185157e-01	4.811633e-01
26	1.482899e-01	1.111092e-04	1.494009e-01
27	4.811632e-01	-2.185157e-01	4.811632e-01
28	1.482899e-01	1.111092e-04	1.494009e-01
29	4.811632e-01	-2.185156e-01	4.811632e-01
30	1.482899e-01	1.111092e-04	1.494009e-01
