RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.880000e+00
2	1.178643e-01	1.357647e-01	7.966877e-01
3	1.033827e+00	1.607408e+00	9.070865e+00
4	3.518471e-01	1.612868e-01	1.158281e+00
5	1.681720e-01	1.318858e-02	2.341149e-01
6	1.530280e-01	4.303467e-02	3.682014e-01
7	1.409987e-01	1.306862e-02	2.063418e-01
8	1.638566e-01	1.479149e-02	2.378141e-01
9	1.492366e-01	4.789483e-03	1.731840e-01
10	1.446531e-01	2.276557e-03	1.560359e-01
11	1.495526e-01	3.919810e-03	1.691517e-01
12	1.461600e-01	1.250098e-03	1.524105e-01
13	1.453032e-01	3.746263e-04	1.471763e-01
14	1.461912e-01	1.161848e-03	1.520004e-01
15	1.454795e-01	3.966709e-04	1.474628e-01
16	1.453721e-01	1.529657e-04	1.461369e-01
17	1.455653e-01	1.496847e-04	1.463138e-01
18	1.454742e-01	6.359224e-05	1.457922e-01
19	1.455957e-01	6.248083e-05	1.459081e-01
20	1.455407e-01	2.854507e-05	1.456835e-01
21	1.456078e-01	2.815589e-05	1.457485e-01
22	1.455780e-01	1.349945e-05	1.456455e-01
23	1.455547e-01	-1.155474e-05	1.455547e-01
24	1.456079e-01	2.766727e-05	1.457463e-01
25	1.455781e-01	1.305960e-05	1.456434e-01
