RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	2.043000e+01
2	4.555173e-01	4.102882e-01	4.558399e+00
3	3.149276e-01	1.198488e+00	1.229981e+01
4	1.560215e-01	1.687206e-02	3.247422e-01
5	3.170023e-01	3.080737e-01	3.397740e+00
6	1.642141e-01	5.643980e-02	7.286121e-01
7	1.427721e-01	1.055522e-02	2.483244e-01
8	1.570436e-01	1.414628e-02	2.985064e-01
9	1.462889e-01	4.499305e-03	1.912820e-01
10	1.455517e-01	2.227625e-03	1.678280e-01
11	1.465252e-01	3.836746e-03	1.848927e-01
12	1.450778e-01	1.224494e-03	1.573228e-01
13	1.474588e-01	1.215733e-03	1.596161e-01
14	1.461467e-01	4.253082e-04	1.503998e-01
15	1.455027e-01	-3.570934e-06	1.455027e-01
16	1.474777e-01	1.158366e-03	1.590614e-01
17	1.461590e-01	3.902132e-04	1.500612e-01
18	1.457477e-01	1.471731e-04	1.472194e-01
19	1.456040e-01	6.151310e-05	1.462191e-01
20	1.455476e-01	2.773417e-05	1.458249e-01
21	1.455233e-01	1.313807e-05	1.456547e-01
22	1.455122e-01	6.455954e-06	1.455768e-01
23	1.455071e-01	3.346132e-06	1.455406e-01
24	1.455048e-01	1.969293e-06	1.455245e-01
25	1.455039e-01	1.446176e-06	1.455184e-01
