RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-2.059444e-01	-5.479560e-01
2	3.853443e-01	2.585040e-01
3	2.845596e-01	-4.509721e-01
4	5.878549e-01	-5.346491e-02
5	4.649743e-01	-2.779099e-01
6	3.823819e-01	-3.731530e-01
7	2.857156e-01	-4.524035e-01
8	3.367361e-01	-4.158464e-01
9	3.857767e-01	-3.771000e-01
10	3.370046e-01	-4.161838e-01
11	3.619700e-01	-3.973438e-01
12	3.380897e-01	-4.175007e-01
13	3.503230e-01	-4.077600e-01
14	3.624781e-01	-3.979415e-01
15	3.381226e-01	-4.175217e-01
16	3.503372e-01	-4.077776e-01
17	3.564162e-01	-4.028707e-01
18	3.594482e-01	-4.004087e-01
19	3.609616e-01	-3.991761e-01
20	3.617165e-01	-3.985604e-01
21	3.620908e-01	-3.982548e-01
22	3.622726e-01	-3.981064e-01
23	3.623547e-01	-3.980393e-01
24	3.623862e-01	-3.980136e-01
25	3.623959e-01	-3.980056e-01
