RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	4.749440e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	2.090000e+00	2.090000e+00	-1.750000e-01	2.550000e+00	-4.480000e+00	-1.480000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	-9.071339e-02	1.000000e+00	-3.426688e-01	-1.135063e+00	9.056886e-01	3.890454e-09	-1.135063e+00	7.981861e-01	-1.351733e+00	-2.377768e+00	-4.954005e-01	1.110223e-14	-1.718238e-01
3	4.769076e-01	5.000000e-01	-2.153146e-01	-2.133968e+00	5.478313e-01	-8.613813e-02	-2.133968e+00						
4	-6.752880e-01	5.000000e-01	-2.843499e-01	-3.797997e-01	5.120646e-01	2.391459e-08	-3.797997e-01	4.403715e-01	7.072663e-01	-1.499329e+00	-4.951925e-01	0.000000e+00	2.161118e-01
5	-1.872623e-01	2.500000e-01	-3.484320e-01	-2.895437e-01	4.092865e-01	-2.832335e-09	-2.895437e-01						
6	2.876796e-01	1.250000e-01	-2.934351e-01	1.506064e-02	4.577917e-01	-3.675846e-09	1.506064e-02						
7	-4.805390e-01	1.250000e-01	-2.854591e-01	1.074225e-01	4.783749e-01	-4.008984e-09	1.074225e-01	4.282312e-01	1.176375e+00	-1.090230e+00	-4.678197e-01	0.000000e+00	5.273879e-01
8	-3.678553e-02	6.250000e-02	-2.863024e-01	1.146144e-01	5.096154e-01	-6.234169e-09	1.146144e-01						
9	3.592668e-01	3.125000e-02	-2.863194e-01	1.347609e-01	4.903356e-01	-5.840712e-09	1.347609e-01						
10	-1.382531e+00	3.125000e-02	-2.886616e-01	1.416208e-01	4.803560e-01	-1.965056e-09	1.416208e-01	4.335989e-01	1.071459e+00	-1.205599e+00	-4.787505e-01	0.000000e+00	4.323056e-01
11	5.697869e-01	1.562500e-02	-2.885882e-01	1.440891e-01	4.875388e-01	-5.598412e-09	1.440891e-01						
12	-2.893787e-02	1.562500e-02	-2.908659e-01	1.453499e-01	4.748118e-01	-5.134060e-09	1.453499e-01	4.363836e-01	1.131346e+00	-1.156461e+00	-4.748280e-01	0.000000e+00	4.687497e-01
13	1.711060e-01	7.812500e-03	-2.894974e-01	1.443141e-01	4.793906e-01	-5.392069e-09	1.443141e-01						
14	-2.537820e-01	7.812500e-03	-2.901310e-01	1.449821e-01	4.771130e-01	-5.352460e-09	1.449821e-01	4.354846e-01	1.102048e+00	-1.182065e+00	-4.769680e-01	0.000000e+00	4.492509e-01
15	-4.253446e-02	3.906250e-03	-2.896587e-01	1.450699e-01	4.792035e-01	-5.279661e-09	1.450699e-01						
16	1.517408e-01	1.953125e-03	-2.899327e-01	1.452536e-01	4.781030e-01	-5.254025e-09	1.452536e-01						
17	-2.579517e-01	1.953125e-03	-2.900780e-01	1.453324e-01	4.775518e-01	-5.232481e-09	1.453324e-01	4.354752e-01	1.094903e+00	-1.188725e+00	-4.775225e-01	0.000000e+00	4.440523e-01
18	-1.276424e-01	9.765625e-04	-2.899567e-01	1.453494e-01	4.780757e-01	-5.233941e-09	1.453494e-01						
19	2.880983e-02	4.882812e-04	-2.900263e-01	1.453792e-01	4.778034e-01	-5.225051e-09	1.453792e-01						
20	-2.649467e-01	4.882812e-04	-2.900614e-01	1.453933e-01	4.776682e-01	-5.215183e-09	1.453933e-01	4.354694e-01	1.093075e+00	-1.190413e+00	-4.776614e-01	0.000000e+00	4.427397e-01
21	-1.747610e-01	2.441406e-04	-2.900301e-01	1.453972e-01	4.778019e-01	-5.222495e-09	1.453972e-01						
22	-7.375313e-02	1.220703e-04	-2.900470e-01	1.454034e-01	4.777365e-01	-5.218394e-09	1.454034e-01						
23	-1.291877e-03	6.103516e-05	-2.900546e-01	1.454062e-01	4.777069e-01	-5.213700e-09	1.454062e-01						
24	2.910142e-02	3.051758e-05	-2.900576e-01	1.454072e-01	4.776955e-01	-5.209902e-09	1.454072e-01						
25		3.051758e-05	-2.900585e-01	1.454076e-01	4.776920e-01	-5.208156e-09	1.454076e-01	4.354690e-01	1.092692e+00	-1.190768e+00	-4.776906e-01	0.000000e+00	4.424632e-01
