RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.521000e+00
2	3.124819e-01	4.605933e-01	3.585412e-01
3	5.034588e-01	8.446063e-01	5.879194e-01
4	1.481678e-01	1.827951e-03	1.483506e-01
5	3.949329e-01	3.003193e-01	4.249648e-01
6	1.955730e-01	5.827069e-02	2.014001e-01
7	1.516706e-01	1.225757e-02	1.528963e-01
8	1.450323e-01	2.452439e-03	1.452775e-01
9	1.474320e-01	3.881776e-03	1.478202e-01
10	1.453121e-01	1.242867e-03	1.454364e-01
11	1.452508e-01	4.505684e-04	1.452958e-01
12	1.454725e-01	1.897659e-04	1.454915e-01
13	1.456529e-01	9.211262e-05	1.456621e-01
14	1.453993e-01	1.464949e-04	1.454139e-01
15	1.453621e-01	1.484705e-04	1.453770e-01
16	1.455244e-01	1.494634e-04	1.455394e-01
17	1.454480e-01	6.347594e-05	1.454543e-01
18	1.454252e-01	2.946348e-05	1.454282e-01
19	1.454177e-01	1.471404e-05	1.454192e-01
20	1.454415e-01	2.787832e-05	1.454443e-01
21	1.454309e-01	1.330573e-05	1.454322e-01
22	1.454266e-01	6.632008e-06	1.454272e-01
23	1.454247e-01	3.524985e-06	1.454250e-01
24	1.454239e-01	2.148336e-06	1.454241e-01
25	1.454267e-01	3.400187e-06	1.454270e-01
