RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.440000e+00
2	1.178643e-01	1.357647e-01	2.536290e-01
3	1.033827e+00	1.607407e+00	2.641234e+00
4	3.518471e-01	1.612868e-01	5.131339e-01
5	1.681720e-01	1.318858e-02	1.813606e-01
6	1.530280e-01	4.303467e-02	1.960627e-01
7	1.409987e-01	1.306863e-02	1.540673e-01
8	1.638566e-01	1.479150e-02	1.786481e-01
9	1.492366e-01	4.789490e-03	1.540260e-01
10	1.459355e-01	1.745517e-03	1.476810e-01
11	1.453167e-01	3.593028e-04	1.456760e-01
12	1.461422e-01	1.160474e-03	1.473026e-01
13	1.454591e-01	3.960379e-04	1.458551e-01
14	1.453660e-01	1.526108e-04	1.455186e-01
15	1.455447e-01	1.496154e-04	1.456943e-01
16	1.454608e-01	6.356781e-05	1.455243e-01
17	1.454343e-01	2.952887e-05	1.454638e-01
18	1.454731e-01	2.809277e-05	1.455012e-01
19	1.454575e-01	1.348572e-05	1.454710e-01
20	1.454507e-01	6.794082e-06	1.454575e-01
21	1.454602e-01	6.563479e-06	1.454668e-01
22	1.454568e-01	3.455206e-06	1.454602e-01
23	1.454552e-01	2.078848e-06	1.454573e-01
24	1.454582e-01	2.032534e-06	1.454603e-01
25	1.454576e-01	1.509908e-06	1.454591e-01
26	1.454575e-01	1.348413e-06	1.454588e-01
27	1.454574e-01	1.304946e-06	1.454587e-01
28	1.454574e-01	1.293842e-06	1.454587e-01
29	1.454574e-01	1.291056e-06	1.454587e-01
30	1.454574e-01	1.290367e-06	1.454587e-01
