RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	3.286639e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	-1.100000e-01	-1.100000e-01	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	-7.275381e-01	1.000000e+00	-2.089347e-01	-2.339232e+00	6.135144e-01	-3.632343e-01	-2.339232e+00	3.267990e-01	5.488204e-01	-1.327261e+00	-4.777497e-01	0.000000e+00	4.419030e-01
3	-6.165666e-01	5.000000e-01	-6.972688e-01	-1.329676e+00	7.944634e-02	1.076688e-04	-1.329665e+00						
4	-3.723694e-01	2.500000e-01	-4.191558e-01	-2.521828e-01	3.501046e-01	1.102492e-04	-2.521718e-01						
5	-2.369099e-01	1.250000e-01	-3.115342e-01	2.928766e-02	4.396616e-01	1.074627e-04	2.929840e-02						
6	1.944212e-01	6.250000e-02	-2.672623e-01	1.032014e-01	5.039083e-01	3.421713e-02	1.066231e-01						
7	-2.000000e+00	6.250000e-02	-2.338571e-01	1.142238e-01	5.591540e-01	8.560608e-02	1.227844e-01	3.550552e-01	8.054191e-01	-1.227455e+00	-4.735573e-01	0.000000e+00	4.799365e-01
8	-2.000000e+00	3.125000e-02	-2.669958e-01	1.267758e-01	5.041884e-01	3.496860e-02	1.302726e-01						
9	-2.000000e+00	1.562500e-02	-2.493688e-01	1.249171e-01	5.317776e-01	6.043451e-02	1.309606e-01						
10	-2.000000e+00	7.812500e-03	-2.413494e-01	1.232906e-01	5.454918e-01	7.305252e-02	1.305959e-01						
11	-2.000000e+00	3.906250e-03	-2.375382e-01	1.223030e-01	5.523284e-01	7.933248e-02	1.302363e-01						
12	-2.000000e+00	1.953125e-03	-2.356830e-01	1.217661e-01	5.557405e-01	8.246390e-02	1.300124e-01						
13	-2.000000e+00	9.765625e-04	-2.347696e-01	1.214876e-01	5.574430e-01	8.402480e-02	1.298901e-01						
14	-2.000000e+00	4.882812e-04	-2.343197e-01	1.213475e-01	5.582894e-01	8.479881e-02	1.298274e-01						
15	-2.000000e+00	2.441406e-04	-2.341023e-01	1.212802e-01	5.587038e-01	8.517442e-02	1.297977e-01						
16	-2.000000e+00	1.220703e-04	-2.340046e-01	1.212520e-01	5.588972e-01	8.534419e-02	1.297864e-01						
17	-2.000000e+00	6.103516e-05	-2.339678e-01	1.212440e-01	5.589788e-01	8.540926e-02	1.297849e-01						
18	-2.000000e+00	3.051758e-05	-2.339569e-01	1.212438e-01	5.590100e-01	8.542943e-02	1.297867e-01						
19	-2.000000e+00	1.525879e-05	-2.339542e-01	1.212451e-01	5.590221e-01	8.543487e-02	1.297886e-01						
20	-2.000000e+00	7.629395e-06	-2.339537e-01	1.212461e-01	5.590271e-01	8.543626e-02	1.297898e-01						
21	-2.000000e+00	3.814697e-06	-2.339536e-01	1.212467e-01	5.590292e-01	8.543661e-02	1.297904e-01						
22	-2.000000e+00	1.907349e-06	-2.339537e-01	1.212470e-01	5.590301e-01	8.543670e-02	1.297907e-01						
23	-2.000000e+00	9.536743e-07	-2.339537e-01	1.212471e-01	5.590304e-01	8.543673e-02	1.297908e-01						
24	-2.000000e+00	4.768372e-07	-2.339537e-01	1.212471e-01	5.590305e-01	8.543673e-02	1.297908e-01						
25	-2.000000e+00	2.384186e-07	-2.339537e-01	1.212472e-01	5.590305e-01	8.543673e-02	1.297908e-01						
26	-2.000000e+00	1.192093e-07	-2.339537e-01	1.212472e-01	5.590305e-01	8.543673e-02	1.297908e-01						
27	-2.000000e+00	5.960464e-08	-2.339537e-01	1.212472e-01	5.590305e-01	8.543673e-02	1.297908e-01						
28	-2.000000e+00	2.980232e-08	-2.339537e-01	1.212472e-01	5.590305e-01	8.543673e-02	1.297908e-01						
29	-2.000000e+00	1.490116e-08	-2.339537e-01	1.212472e-01	5.590305e-01	8.543673e-02	1.297908e-01						
30		1.000000e-08	-2.339537e-01	1.212472e-01	5.590305e-01	8.543673e-02	1.297908e-01						
