RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	1.341000e+00
2	1.178643e-01	1.357647e-01	1.314407e-01
3	1.033674e+00	1.607771e+00	1.194451e+00
4	3.518145e-01	1.614891e-01	3.679634e-01
5	1.681433e-01	1.332057e-02	1.694754e-01
6	1.338685e-01	3.451751e-02	1.373203e-01
7	1.211981e-01	8.559673e-02	1.297578e-01
8	1.337296e-01	3.495120e-02	1.372247e-01
9	1.638688e-01	1.801192e-02	1.656700e-01
10	1.488222e-01	6.634225e-03	1.494856e-01
11	1.485444e-01	1.177452e-02	1.497219e-01
12	1.446429e-01	2.258675e-03	1.448687e-01
13	1.497743e-01	4.023140e-03	1.501766e-01
14	1.462443e-01	1.356384e-03	1.463800e-01
15	1.454753e-01	5.578052e-04	1.455311e-01
16	1.453365e-01	3.064813e-04	1.453672e-01
17	1.459138e-01	5.057646e-04	1.459643e-01
18	1.455727e-01	2.709966e-04	1.455998e-01
19	1.454657e-01	1.846321e-04	1.454842e-01
20	1.454325e-01	1.366829e-04	1.454462e-01
21	1.455288e-01	1.822697e-04	1.455471e-01
22	1.454823e-01	1.370789e-04	1.454960e-01
23	1.454617e-01	1.201949e-04	1.454737e-01
24	1.454518e-01	1.141945e-04	1.454633e-01
25	1.454764e-01	1.157334e-04	1.454880e-01
26	1.454643e-01	1.138660e-04	1.454757e-01
27	1.454590e-01	1.120732e-04	1.454702e-01
28	1.454563e-01	1.123805e-04	1.454675e-01
29	1.454551e-01	1.128066e-04	1.454664e-01
30	1.454574e-01	1.052514e-04	1.454680e-01
