RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.290459e-01	-7.444765e-01	6.290459e-01
3	7.389237e-03	7.480257e-01	3.747518e+00
4	1.931903e-01	-1.258361e-01	1.931903e-01
5	4.654289e-01	1.128122e-01	1.029490e+00
6	2.181552e-01	1.747130e-02	3.055117e-01
7	1.556072e-01	-1.375347e-05	1.556072e-01
8	1.445071e-01	1.321526e-02	2.105834e-01
9	1.448910e-01	2.729920e-03	1.585406e-01
10	1.489475e-01	4.569530e-04	1.512322e-01
11	1.456950e-01	4.151510e-04	1.477708e-01
12	1.456313e-01	3.918318e-04	1.475904e-01
13	1.454382e-01	1.150169e-03	1.511891e-01
14	1.452688e-01	3.933177e-04	1.472354e-01
15	1.457007e-01	3.989843e-04	1.476956e-01
16	1.454690e-01	1.539297e-04	1.462386e-01
17	1.457875e-01	1.503075e-04	1.465390e-01
18	1.456340e-01	6.383483e-05	1.459532e-01
19	1.455352e-01	-3.700875e-05	1.455352e-01
20	1.457887e-01	1.466236e-04	1.465219e-01
21	1.456350e-01	6.106173e-05	1.459403e-01
22	1.455736e-01	2.734641e-05	1.457103e-01
23	1.455468e-01	1.277560e-05	1.456107e-01
24	1.455345e-01	6.103816e-06	1.455650e-01
25	1.455287e-01	2.995461e-06	1.455437e-01
26	1.455262e-01	1.620975e-06	1.455343e-01
27	1.455305e-01	2.028990e-06	1.455407e-01
28	1.455296e-01	1.539608e-06	1.455373e-01
29	1.455294e-01	1.395368e-06	1.455363e-01
30	1.455293e-01	1.357602e-06	1.455361e-01
