RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	6.290459e-01	-7.444765e-01	6.290459e-01
3	7.389237e-03	7.480257e-01	7.554150e-01
4	1.931903e-01	-1.258361e-01	1.931903e-01
5	4.654289e-01	1.128122e-01	5.782411e-01
6	2.038779e-01	1.059859e-01	3.098638e-01
7	1.556072e-01	-1.374648e-05	1.556072e-01
8	1.445071e-01	1.321527e-02	1.577223e-01
9	1.448910e-01	2.729927e-03	1.476209e-01
10	1.481021e-01	2.277217e-03	1.503794e-01
11	1.456500e-01	3.231932e-04	1.459732e-01
12	1.454443e-01	1.147127e-03	1.465914e-01
13	1.452696e-01	3.914204e-04	1.456611e-01
14	1.457057e-01	3.989708e-04	1.461047e-01
15	1.454716e-01	1.539115e-04	1.456255e-01
16	1.457925e-01	1.503251e-04	1.459428e-01
17	1.456379e-01	6.384510e-05	1.457017e-01
18	1.455760e-01	2.965134e-05	1.456057e-01
19	1.455324e-01	-2.150364e-05	1.455324e-01
20	1.456387e-01	6.129844e-05	1.457000e-01
21	1.455767e-01	2.753798e-05	1.456043e-01
22	1.455497e-01	1.295294e-05	1.455626e-01
23	1.455372e-01	6.278006e-06	1.455435e-01
24	1.455314e-01	3.167452e-06	1.455345e-01
25	1.455288e-01	1.799594e-06	1.455306e-01
26	1.455333e-01	2.048509e-06	1.455354e-01
27	1.455323e-01	1.509348e-06	1.455338e-01
28	1.455321e-01	1.422246e-06	1.455335e-01
29	1.455320e-01	1.385646e-06	1.455334e-01
30	1.455320e-01	1.376365e-06	1.455334e-01
