RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	7.835288e-01	-8.023833e-01
2	8.384533e-02	-8.793035e-02
3	-6.997865e-01	-7.091559e-01
4	-2.236462e-01	-4.822005e-01
5	-6.016565e-02	-2.922851e-01
6	1.488456e-02	-1.921869e-01
7	5.022452e-02	-1.406172e-01
8	6.726402e-02	-1.144187e-01
9	9.850921e-02	-1.149743e-01
10	8.225046e-02	-1.416618e-01
11	9.044259e-02	-1.283563e-01
12	1.060672e-01	-1.285037e-01
13	9.808625e-02	-1.419370e-01
14	1.020936e-01	-1.352309e-01
15	1.040855e-01	-1.318714e-01
16	1.021093e-01	-1.352423e-01
17	1.031004e-01	-1.335607e-01
18	1.035970e-01	-1.327228e-01
19	1.038486e-01	-1.323098e-01
20	1.039800e-01	-1.321130e-01
21	1.038745e-01	-1.323547e-01
22	1.037691e-01	-1.325964e-01
23	1.036637e-01	-1.328381e-01
24	1.035583e-01	-1.330798e-01
25	1.036300e-01	-1.329921e-01
26	1.035964e-01	-1.331462e-01
27	1.035628e-01	-1.333002e-01
28	1.035293e-01	-1.334542e-01
29	1.034957e-01	-1.336083e-01
30	1.034622e-01	-1.337623e-01
