RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	5.192854e-01	1.000000e+00	-4.500000e+00	-4.500000e+00	-2.750000e+00	-2.750000e+00	-4.500000e+00	6.750000e+00	4.520000e+00	-4.480000e+00	1.500000e+00	-2.220446e-14	-3.980000e+00
2	2.577713e-01	1.000000e+00	-1.257736e+00	-8.715089e-01	-4.273478e-01	-1.703862e+00	-8.715089e-01	1.886782e+00	2.351732e+00	-2.406004e+00	-3.171287e-01	2.220446e-14	-1.189533e+00
3	-1.340072e+00	1.000000e+00	-1.476179e-02	-1.492424e+00	9.084229e-01	-2.585713e-01	-1.492424e+00	2.215102e-02	2.674510e-01	-2.478761e-01	-1.603972e-01	0.000000e+00	1.668279e+00
4	-1.153574e+00	5.000000e-01	-9.926032e-01	-1.026048e+00	1.196884e+00	1.098821e-04	-1.026037e+00						
5	-8.988518e-01	2.500000e-01	-2.825350e-01	-2.448927e-01	9.911289e-01	1.729792e-01	-2.275948e-01						
6	-5.586272e-01	1.250000e-01	-8.905046e-02	-5.476067e-02	9.747351e-01	4.734173e-01	-7.418941e-03						
7	-1.854762e-01	6.250000e-02	-3.715735e-02	-7.607248e-03	9.481796e-01	6.138535e-01	5.377810e-02						
8	1.425270e-01	3.125000e-02	-2.229569e-02	3.923217e-03	9.300023e-01	6.817088e-01	7.209410e-02						
9	5.387678e-01	3.125000e-02	-1.761608e-02	6.666076e-03	9.196443e-01	7.150572e-01	7.817180e-02	2.753590e-02	1.746374e-01	-3.704107e-01	-2.026541e-01	0.000000e+00	1.562325e+00
10	-1.933307e-01	3.125000e-02	-2.292316e-02	1.027514e-02	8.882717e-01	6.847495e-01	7.875009e-02	3.452028e-02	2.990625e-01	-3.413880e-01	-2.035104e-01	0.000000e+00	1.560103e+00
11	8.025103e-02	1.562500e-02	-2.683321e-02	1.193549e-02	8.976815e-01	6.525358e-01	7.718906e-02						
12	7.392320e-01	1.562500e-02	-2.465521e-02	1.202111e-02	8.930821e-01	6.686943e-01	7.889054e-02	3.770155e-02	2.534140e-01	-4.029828e-01	-2.237620e-01	0.000000e+00	1.506575e+00
13	-2.068407e-01	1.562500e-02	-2.776344e-02	1.395697e-02	8.774196e-01	6.534356e-01	7.930053e-02	4.189687e-02	3.157649e-01	-3.879477e-01	-2.239810e-01	0.000000e+00	1.505985e+00
14	-5.361160e-04	7.812500e-03	-2.976704e-02	1.482117e-02	8.817676e-01	6.375562e-01	7.857679e-02						
15	1.312734e-01	3.906250e-03	-2.871048e-02	1.454145e-02	8.796191e-01	6.455070e-01	7.909215e-02						
16	-1.750461e-01	3.906250e-03	-2.822384e-02	1.435375e-02	8.785245e-01	6.494718e-01	7.930093e-02	4.272180e-02	3.044705e-01	-4.034001e-01	-2.289626e-01	0.000000e+00	1.492514e+00
17	-9.019558e-02	1.953125e-03	-2.871679e-02	1.476315e-02	8.796002e-01	6.456065e-01	7.932380e-02						
18	-3.803609e-02	9.765625e-04	-2.846816e-02	1.463520e-02	8.790611e-01	6.475771e-01	7.939291e-02						
19	9.186408e-03	4.882812e-04	-2.834768e-02	1.456885e-02	8.787876e-01	6.485543e-01	7.942428e-02						
20	9.242402e-02	2.441406e-04	-2.829041e-02	1.453612e-02	8.786455e-01	6.490285e-01	7.943898e-02						
21	7.014519e-02	2.441406e-04	-2.826569e-02	1.452147e-02	8.785662e-01	6.492429e-01	7.944576e-02	4.279427e-02	3.038068e-01	-4.044722e-01	-2.293184e-01	0.000000e+00	1.491548e+00
22	4.674730e-02	2.441406e-04	-2.830768e-02	1.455229e-02	8.786077e-01	6.489289e-01	7.944518e-02	4.286708e-02	3.031432e-01	-4.055444e-01	-2.296739e-01	1.110223e-14	1.490581e+00
23	2.214419e-02	2.441406e-04	-2.834982e-02	1.458331e-02	8.786491e-01	6.486150e-01	7.944481e-02	4.294024e-02	3.024798e-01	-4.066166e-01	-2.300292e-01	0.000000e+00	1.489614e+00
24	-3.759241e-03	2.441406e-04	-2.839211e-02	1.461452e-02	8.786904e-01	6.483012e-01	7.944464e-02	4.301374e-02	3.018165e-01	-4.076887e-01	-2.303843e-01	0.000000e+00	1.488648e+00
25	1.741379e-01	1.220703e-04	-2.843455e-02	1.464593e-02	8.787315e-01	6.479874e-01	7.944467e-02						
26	1.633569e-01	1.220703e-04	-2.842609e-02	1.464030e-02	8.786831e-01	6.480695e-01	7.944725e-02	4.307020e-02	3.015280e-01	-4.083385e-01	-2.306104e-01	0.000000e+00	1.488031e+00
27	1.522926e-01	1.220703e-04	-2.846012e-02	1.466285e-02	8.786757e-01	6.478360e-01	7.944645e-02	4.312677e-02	3.012395e-01	-4.089882e-01	-2.308365e-01	0.000000e+00	1.487415e+00
28	1.409340e-01	1.220703e-04	-2.849420e-02	1.468545e-02	8.786682e-01	6.476026e-01	7.944571e-02	4.318346e-02	3.009512e-01	-4.096379e-01	-2.310625e-01	0.000000e+00	1.486799e+00
29	1.292693e-01	1.220703e-04	-2.852834e-02	1.470811e-02	8.786607e-01	6.473692e-01	7.944503e-02	4.324026e-02	3.006629e-01	-4.102876e-01	-2.312884e-01	0.000000e+00	1.486183e+00
30		1.220703e-04	-2.856253e-02	1.473084e-02	8.786531e-01	6.471358e-01	7.944442e-02	4.329718e-02	3.003746e-01	-4.109373e-01	-2.315142e-01	0.000000e+00	1.485567e+00
