RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	5.192854e-01	1.000000e+00	-4.500000e+00	-4.500000e+00	-2.750000e+00	-2.750000e+00	-4.500000e+00	6.750000e+00	4.520000e+00	-4.480000e+00	1.500000e+00	-2.220446e-14	-3.980000e+00
2	2.577713e-01	1.000000e+00	-1.257736e+00	-8.715089e-01	-4.273478e-01	-1.703862e+00	-8.715089e-01	1.886782e+00	2.351732e+00	-2.406004e+00	-3.171287e-01	2.220446e-14	-1.189533e+00
3	-1.340072e+00	1.000000e+00	-1.476179e-02	-1.492424e+00	9.084229e-01	-2.585713e-01	-1.492424e+00	2.215102e-02	2.674509e-01	-2.478761e-01	-1.603972e-01	-1.110223e-14	1.668279e+00
4	-1.074044e+00	5.000000e-01	-9.926120e-01	-1.026044e+00	1.196822e+00	1.775825e-08	-1.026044e+00						
5	-4.754860e-01	2.500000e-01	-3.002506e-01	-2.357043e-01	8.872612e-01	6.741398e-08	-2.357043e-01						
6	-1.874688e-01	1.250000e-01	-1.212888e-01	-3.707014e-02	8.015890e-01	2.241225e-01	-1.465788e-02						
7	1.203823e-01	6.250000e-02	-5.240592e-02	7.878939e-04	8.705973e-01	5.016656e-01	5.095445e-02						
8	4.916110e-02	6.250000e-02	-2.967944e-02	7.995902e-03	8.934055e-01	6.287409e-01	7.086999e-02	4.672797e-02	2.054308e-01	-4.977560e-01	-2.556021e-01	0.000000e+00	1.418279e+00
9	-3.578985e-02	6.250000e-02	-3.478329e-02	9.858285e-03	8.447094e-01	6.279390e-01	7.265219e-02	5.232111e-02	4.575456e-01	-3.320543e-01	-2.158187e-01	0.000000e+00	1.527797e+00
10	2.721035e-01	3.125000e-02	-4.030651e-02	1.119050e-02	8.678829e-01	5.761126e-01	6.880176e-02						
11	-9.512924e-01	3.125000e-02	-3.627885e-02	1.519101e-02	8.576679e-01	6.046047e-01	7.565148e-02	5.477825e-02	3.549588e-01	-4.491182e-01	-2.513871e-01	0.000000e+00	1.430285e+00
12	-7.704777e-01	1.562500e-02	-4.142872e-02	1.990139e-02	8.646912e-01	5.746719e-01	7.736858e-02						
13	-5.986273e-01	7.812500e-03	-3.829301e-02	1.928815e-02	8.622576e-01	5.922165e-01	7.850980e-02						
14	-4.708335e-01	3.906250e-03	-3.713735e-02	1.891146e-02	8.602450e-01	5.997237e-01	7.888383e-02						
15	-3.904962e-01	1.953125e-03	-3.667006e-02	1.870940e-02	8.590284e-01	6.031250e-01	7.902190e-02						
16	-3.450672e-01	9.765625e-04	-3.646499e-02	1.860542e-02	8.583668e-01	6.047328e-01	7.907870e-02						
17	-3.210062e-01	4.882812e-04	-3.636985e-02	1.855284e-02	8.580232e-01	6.055118e-01	7.910402e-02						
18	-3.089343e-01	2.441406e-04	-3.632443e-02	1.852659e-02	8.578494e-01	6.058924e-01	7.911583e-02						
19	-3.033910e-01	1.220703e-04	-3.630282e-02	1.851380e-02	8.577642e-01	6.060758e-01	7.912138e-02						
20	-3.012512e-01	6.103516e-05	-3.629314e-02	1.850802e-02	8.577256e-01	6.061583e-01	7.912385e-02						
21	-3.005898e-01	3.051758e-05	-3.628945e-02	1.850580e-02	8.577107e-01	6.061899e-01	7.912479e-02						
22	-3.004068e-01	1.525879e-05	-3.628831e-02	1.850511e-02	8.577061e-01	6.061997e-01	7.912508e-02						
23	-3.003647e-01	7.629395e-06	-3.628799e-02	1.850492e-02	8.577049e-01	6.062024e-01	7.912516e-02						
24	-3.003531e-01	3.814697e-06	-3.628792e-02	1.850488e-02	8.577046e-01	6.062030e-01	7.912518e-02						
25	-3.003503e-01	1.907349e-06	-3.628790e-02	1.850487e-02	8.577045e-01	6.062032e-01	7.912518e-02						
26	-3.003495e-01	9.536743e-07	-3.628790e-02	1.850486e-02	8.577045e-01	6.062032e-01	7.912519e-02						
27	-3.003494e-01	4.768372e-07	-3.628789e-02	1.850486e-02	8.577045e-01	6.062032e-01	7.912519e-02						
28	-3.003493e-01	2.384186e-07	-3.628789e-02	1.850486e-02	8.577045e-01	6.062032e-01	7.912519e-02						
29	-3.003478e-01	1.192093e-07	-3.628789e-02	1.850486e-02	8.577045e-01	6.062032e-01	7.912519e-02						
30		5.960464e-08	-3.628789e-02	1.850486e-02	8.577045e-01	6.062032e-01	7.912519e-02						
