RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.086125e-01	-2.309611e-01
2	8.699230e-01	-2.488277e-02
3	-3.010211e-02	-4.607208e-01
4	4.292944e-01	-2.612013e-01
5	2.334850e-02	-5.531053e-01
6	2.515417e-01	-4.369966e-01
7	4.582411e-01	-2.963717e-01
8	2.582880e-01	-4.464343e-01
9	3.665337e-01	-3.813114e-01
10	2.724357e-01	-4.635949e-01
11	3.235518e-01	-4.266856e-01
12	3.724619e-01	-3.877747e-01
13	3.240146e-01	-4.272604e-01
14	3.488360e-01	-4.082293e-01
15	3.732221e-01	-3.886873e-01
16	3.488722e-01	-4.082742e-01
17	3.611568e-01	-3.986158e-01
18	3.672722e-01	-3.937511e-01
19	3.612529e-01	-3.987324e-01
20	3.642936e-01	-3.962803e-01
21	3.612872e-01	-3.987762e-01
22	3.628072e-01	-3.975510e-01
23	3.613037e-01	-3.988013e-01
24	3.620593e-01	-3.981865e-01
25	3.613064e-01	-3.988160e-01
26	3.616788e-01	-3.985079e-01
27	3.612960e-01	-3.988263e-01
28	3.614771e-01	-3.986771e-01
29	3.612748e-01	-3.988454e-01
30	3.613563e-01	-3.987775e-01
