RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	7.815455e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	2.090000e+00	2.090000e+00	9.230000e+00	2.550000e+00	-4.480000e+00	-1.480000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	4.868803e-01	1.000000e+00	-6.513969e-02	-1.762733e+00	1.055269e+00	6.631125e-01	1.552829e+00	1.553646e-01	-6.454110e-01	-1.012457e+00	-3.552361e-01	0.000000e+00	1.096156e+00
3	-2.074422e-01	1.000000e+00	-7.573852e-01	-1.442224e+00	1.294578e-01	1.156198e-04	-1.441645e+00	1.493124e+00	3.474809e+00	7.903919e-01	-4.852723e-02	0.000000e+00	1.920469e+00
4	2.580875e-01	5.000000e-01	-2.131698e-01	-2.191944e+00	8.178385e-01	-6.770215e-02	-2.191944e+00						
5	-4.262008e-01	5.000000e-01	-2.525199e-01	-4.772801e-01	5.024794e-01	1.096933e-04	-4.767316e-01	3.929074e-01	1.475976e+00	-5.955109e-01	-3.859504e-01	0.000000e+00	9.751946e-01
6	3.392593e-01	2.500000e-01	-3.064706e-01	-3.388978e-01	6.707261e-01	1.125236e-04	-3.383352e-01						
7	2.745580e-01	2.500000e-01	-2.542392e-01	-1.900270e-02	5.574923e-01	1.073743e-04	-1.846583e-02	3.985556e-01	5.891701e-01	-1.476445e+00	-4.920611e-01	0.000000e+00	2.720137e-01
8	-1.265245e-01	2.500000e-01	-2.978211e-01	1.489077e-02	4.539227e-01	1.135095e-04	1.545832e-02	4.598325e-01	1.556593e+00	-7.072456e-01	-4.170710e-01	0.000000e+00	8.345133e-01
9	5.037548e-01	1.250000e-01	-2.660162e-01	-1.129818e-02	5.424084e-01	1.082122e-04	-1.075712e-02						
10	-1.806398e-01	1.250000e-01	-2.797453e-01	9.740929e-02	4.880679e-01	1.135850e-04	9.797721e-02	4.197272e-01	1.104823e+00	-1.138712e+00	-4.718260e-01	0.000000e+00	4.947544e-01
11	5.608389e-01	6.250000e-02	-2.891415e-01	1.203213e-01	5.126440e-01	1.078485e-04	1.208606e-01						
12	4.827023e-01	6.250000e-02	-2.867463e-01	1.371615e-01	4.943877e-01	1.125584e-04	1.377243e-01	4.354378e-01	8.875215e-01	-1.363191e+00	-4.892500e-01	0.000000e+00	3.132577e-01
13	-6.952169e-01	6.250000e-02	-2.890970e-01	1.367065e-01	4.771689e-01	1.080858e-04	1.372470e-01	4.337628e-01	1.122073e+00	-1.158637e+00	-4.748109e-01	0.000000e+00	4.689014e-01
14	2.814784e-01	3.125000e-02	-2.875369e-01	1.376141e-01	4.934340e-01	1.081411e-04	1.381548e-01						
15	5.943194e-01	3.125000e-02	-2.883377e-01	1.426146e-01	4.845128e-01	1.107094e-04	1.431682e-01	4.342703e-01	1.007115e+00	-1.264081e+00	-4.831563e-01	0.000000e+00	3.870830e-01
16	-1.016309e+00	3.125000e-02	-2.903726e-01	1.437547e-01	4.757001e-01	1.081639e-04	1.442956e-01	4.356784e-01	1.124201e+00	-1.161527e+00	-4.752190e-01	0.000000e+00	4.652509e-01
17	-6.523178e-02	1.562500e-02	-2.883996e-01	1.426553e-01	4.844400e-01	1.081787e-04	1.431962e-01						
18	4.849723e-01	7.812500e-03	-2.893288e-01	1.443180e-01	4.799486e-01	1.104222e-04	1.448701e-01						
19	-1.603462e-01	7.812500e-03	-2.899288e-01	1.449425e-01	4.776878e-01	1.129041e-04	1.455070e-01	4.352438e-01	1.095338e+00	-1.187732e+00	-4.774224e-01	0.000000e+00	4.449954e-01
20	4.204366e-01	3.906250e-03	-2.894912e-01	1.450759e-01	4.797595e-01	1.205290e-04	1.456785e-01						
21	-2.354028e-01	3.906250e-03	-2.897479e-01	1.452373e-01	4.786683e-01	1.205045e-04	1.458398e-01	4.351334e-01	1.080894e+00	-1.200827e+00	-4.784844e-01	0.000000e+00	4.348789e-01
22	4.574624e-01	1.953125e-03	-2.895509e-01	1.453301e-01	4.796903e-01	1.205066e-04	1.459326e-01						
23	-2.882480e-01	1.953125e-03	-2.896758e-01	1.453768e-01	4.791460e-01	1.089841e-04	1.459217e-01	4.351173e-01	1.073678e+00	-1.207397e+00	-4.790084e-01	0.000000e+00	4.297961e-01
24	3.656155e-01	9.765625e-04	-2.895828e-01	1.454298e-01	4.796539e-01	1.080896e-04	1.459703e-01						
25	-8.306038e-02	9.765625e-04	-2.896394e-01	1.454422e-01	4.793882e-01	1.066915e-04	1.459757e-01	4.351117e-01	1.070051e+00	-1.210687e+00	-4.792680e-01	0.000000e+00	4.272541e-01
26	2.426008e-01	4.882812e-04	-2.895965e-01	1.454717e-01	4.796394e-01	1.024250e-04	1.459838e-01						
27	-4.250236e-01	4.882812e-04	-2.896201e-01	1.454736e-01	4.795127e-01	1.073223e-04	1.460102e-01	4.351083e-01	1.068207e+00	-1.212353e+00	-4.793987e-01	0.000000e+00	4.259685e-01
28	4.500776e-02	2.441406e-04	-2.895972e-01	1.454882e-01	4.796416e-01	1.072960e-04	1.460247e-01						
29	-4.442182e-01	2.441406e-04	-2.896092e-01	1.454889e-01	4.795794e-01	1.086276e-04	1.460320e-01	4.351057e-01	1.067231e+00	-1.213231e+00	-4.794673e-01	0.000000e+00	4.252915e-01
30		1.220703e-04	-2.895972e-01	1.454968e-01	4.796475e-01	1.085963e-04	1.460398e-01						
