RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.659779e-01	-4.572151e-01
2	5.897657e-01	1.976526e-01
3	3.327502e-01	-4.215727e-01
4	6.424516e-01	-2.903609e-02
5	5.105338e-01	-2.458087e-01
6	4.258188e-01	-3.381267e-01
7	3.804609e-01	-3.812001e-01
8	3.318939e-01	-4.205385e-01
9	3.568095e-01	-4.016252e-01
10	3.812976e-01	-3.822111e-01
11	3.568478e-01	-4.016735e-01
12	3.691799e-01	-3.920758e-01
13	3.571496e-01	-4.020469e-01
14	3.632536e-01	-3.971673e-01
15	3.572515e-01	-4.021692e-01
16	3.602857e-01	-3.997089e-01
17	3.618009e-01	-3.984765e-01
18	3.602984e-01	-3.997279e-01
19	3.610531e-01	-3.991118e-01
20	3.614275e-01	-3.988059e-01
21	3.610449e-01	-3.991244e-01
22	3.612260e-01	-3.989763e-01
23	3.613038e-01	-3.989127e-01
24	3.613396e-01	-3.988834e-01
25	3.613368e-01	-3.988857e-01
26	3.613518e-01	-3.988734e-01
27	3.612553e-01	-3.989534e-01
28	3.612557e-01	-3.989531e-01
29	3.612559e-01	-3.989530e-01
30	3.612559e-01	-3.989530e-01
