RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.521000e+00
2	9.022495e-02	7.000333e-01	1.602283e-01
3	7.357391e-01	8.093059e-02	7.438322e-01
4	1.166132e-01	1.900495e-01	1.356181e-01
5	3.018949e-01	2.015819e-01	3.220531e-01
6	1.421512e-01	8.183851e-02	1.503351e-01
7	1.143404e-01	9.799826e-02	1.241402e-01
8	1.576160e-01	2.639065e-02	1.602551e-01
9	1.321772e-01	5.301332e-02	1.374786e-01
10	1.220931e-01	7.407510e-02	1.295006e-01
11	1.179302e-01	8.567032e-02	1.264972e-01
12	1.160646e-01	9.174033e-02	1.252387e-01
13	1.151857e-01	9.484295e-02	1.246700e-01
14	1.147605e-01	9.640852e-02	1.244013e-01
15	1.145530e-01	9.718949e-02	1.242719e-01
16	1.144534e-01	9.756947e-02	1.242104e-01
17	1.144092e-01	9.774121e-02	1.241833e-01
18	1.143931e-01	9.780678e-02	1.241738e-01
19	1.143887e-01	9.782687e-02	1.241714e-01
20	1.143879e-01	9.783213e-02	1.241711e-01
21	1.143879e-01	9.783341e-02	1.241713e-01
22	1.143880e-01	9.783369e-02	1.241714e-01
23	1.143882e-01	9.783359e-02	1.241716e-01
24	1.143882e-01	9.783365e-02	1.241716e-01
25	1.143881e-01	9.783376e-02	1.241715e-01
26	1.143881e-01	9.783376e-02	1.241715e-01
27	1.143881e-01	9.783376e-02	1.241715e-01
28	1.143881e-01	9.783376e-02	1.241715e-01
29	1.143881e-01	9.783376e-02	1.241715e-01
30	1.143881e-01	9.783376e-02	1.241715e-01
