RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	1.521000e+00
2	9.101396e-02	2.017943e+00	2.928083e-01
3	5.137890e-01	2.415238e-01	5.379414e-01
4	5.531332e-02	8.518271e-01	1.404960e-01
5	1.378352e-01	9.103201e-01	2.288672e-01
6	7.402105e-03	8.415285e-01	9.155495e-02
7	6.665327e-02	5.000659e-01	1.166599e-01
8	1.724000e-02	6.603694e-01	8.327693e-02
9	2.171520e-02	6.585081e-01	8.756602e-02
10	1.439573e-02	6.525013e-01	7.964586e-02
11	2.463073e-02	5.760674e-01	8.223747e-02
12	1.810358e-02	6.147153e-01	7.957510e-02
13	1.868154e-02	6.067820e-01	7.935974e-02
14	2.086217e-02	5.881068e-01	7.967285e-02
15	1.933874e-02	5.979760e-01	7.913634e-02
16	2.064548e-02	5.902382e-01	7.966930e-02
17	1.984057e-02	5.946638e-01	7.930695e-02
18	1.955174e-02	5.964603e-01	7.919777e-02
19	1.943586e-02	5.972527e-01	7.916113e-02
20	1.938511e-02	5.976218e-01	7.914729e-02
21	1.936168e-02	5.977984e-01	7.914153e-02
22	1.935073e-02	5.978826e-01	7.913899e-02
23	1.934587e-02	5.979203e-01	7.913790e-02
24	1.934402e-02	5.979347e-01	7.913749e-02
25	1.934344e-02	5.979392e-01	7.913736e-02
26	1.934329e-02	5.979404e-01	7.913733e-02
27	1.934325e-02	5.979407e-01	7.913732e-02
28	1.934324e-02	5.979408e-01	7.913732e-02
29	1.934324e-02	5.979408e-01	7.913732e-02
30	1.934324e-02	5.979408e-01	7.913732e-02
