RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	5.386565e-01	5.000000e-01	-1.220000e+00	-1.220000e+00	-1.100000e-01	-1.100000e-01	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	-2.960428e-01	5.000000e-01	-4.644674e-01	-2.546161e-01	3.128958e-01	-6.547862e-02	-2.546161e-01	8.309438e-01	2.534410e+00	9.636950e-02	-2.511520e-01	0.000000e+00	1.430951e+00
3	3.910573e-01	2.500000e-01	-2.121253e-01	-5.023251e-01	6.093956e-01	1.075815e-04	-5.012493e-01						
4	-6.900097e-02	2.500000e-01	-2.959564e-01	1.188269e-03	4.556254e-01	1.074123e-04	2.262393e-03	4.584098e-01	1.570832e+00	-6.800935e-01	-4.118675e-01	0.000000e+00	8.596785e-01
5	5.769849e-01	1.250000e-01	-2.640315e-01	-1.390591e-02	5.427099e-01	1.133311e-04	-1.277260e-02						
6	-1.690545e-02	1.250000e-01	-2.797616e-01	9.730761e-02	4.869608e-01	1.136059e-04	9.844367e-02	4.196642e-01	1.125441e+00	-1.118510e+00	-4.698888e-01	0.000000e+00	5.108052e-01
7	6.413627e-01	6.250000e-02	-2.878195e-01	1.181329e-01	5.120651e-01	1.078322e-04	1.192112e-01						
8	5.084330e-01	6.250000e-02	-2.863386e-01	1.361492e-01	4.932772e-01	1.126110e-04	1.372753e-01	4.340165e-01	9.087640e-01	-1.343555e+00	-4.881006e-01	0.000000e+00	3.285374e-01
9	-6.499798e-01	6.250000e-02	-2.896557e-01	1.368969e-01	4.754835e-01	1.080850e-04	1.379777e-01	4.345093e-01	1.143702e+00	-1.139572e+00	-4.731495e-01	0.000000e+00	4.834691e-01
10	3.691814e-01	3.125000e-02	-2.871714e-01	1.366246e-01	4.922775e-01	1.081413e-04	1.377060e-01						
11	6.255570e-01	3.125000e-02	-2.884210e-01	1.422062e-01	4.831106e-01	1.107083e-04	1.433132e-01	4.339445e-01	1.028547e+00	-1.244765e+00	-4.817622e-01	0.000000e+00	4.019719e-01
12	-1.141165e+00	3.125000e-02	-2.909130e-01	1.439326e-01	4.740430e-01	1.081636e-04	1.450142e-01	4.363963e-01	1.145786e+00	-1.142434e+00	-4.735660e-01	0.000000e+00	4.798612e-01
13	-6.911688e-03	1.562500e-02	-2.884818e-01	1.422464e-01	4.830394e-01	1.081782e-04	1.433282e-01						
14	5.449004e-01	7.812500e-03	-2.896376e-01	1.442008e-01	4.784231e-01	1.104224e-04	1.453051e-01						
15	4.763003e-03	7.812500e-03	-2.903515e-01	1.449715e-01	4.760995e-01	1.129038e-04	1.461005e-01	4.356954e-01	1.116876e+00	-1.168578e+00	-4.758348e-01	0.000000e+00	4.596835e-01
16	5.110161e-01	3.906250e-03	-2.898011e-01	1.449589e-01	4.782337e-01	1.164845e-04	1.461238e-01						
17	-1.187626e-02	3.906250e-03	-2.901123e-01	1.451923e-01	4.771137e-01	1.205043e-04	1.463973e-01	4.354528e-01	1.102410e+00	-1.181644e+00	-4.769301e-01	0.000000e+00	4.496040e-01
18	5.580712e-01	1.953125e-03	-2.898575e-01	1.452113e-01	4.781687e-01	1.205064e-04	1.464164e-01						
19	1.629568e-02	1.953125e-03	-2.900111e-01	1.452947e-01	4.776083e-01	1.089861e-04	1.463846e-01	4.353705e-01	1.095183e+00	-1.188199e+00	-4.774708e-01	0.000000e+00	4.445395e-01
20	-8.882532e-02	1.953125e-03	-2.898897e-01	1.453111e-01	4.781321e-01	1.072793e-04	1.463839e-01	4.352654e-01	1.087908e+00	-1.194691e+00	-4.779968e-01	0.000000e+00	4.395544e-01
21	4.436733e-01	9.765625e-04	-2.897765e-01	1.453392e-01	4.786520e-01	1.072792e-04	1.464120e-01						
22	-7.881858e-02	9.765625e-04	-2.898419e-01	1.453633e-01	4.783819e-01	1.069565e-04	1.464329e-01	4.352353e-01	1.084274e+00	-1.197972e+00	-4.782615e-01	0.000000e+00	4.370230e-01
23	4.043791e-01	4.882812e-04	-2.897866e-01	1.453792e-01	4.786418e-01	1.067196e-04	1.464464e-01						
24	-1.010852e-01	4.882812e-04	-2.898178e-01	1.453885e-01	4.785090e-01	1.073192e-04	1.464617e-01	4.352210e-01	1.082428e+00	-1.199637e+00	-4.783951e-01	0.000000e+00	4.357395e-01
25	2.483749e-01	2.441406e-04	-2.897900e-01	1.453969e-01	4.786409e-01	1.072796e-04	1.464697e-01						
26	-1.079716e-01	2.441406e-04	-2.898043e-01	1.454006e-01	4.785774e-01	1.086181e-04	1.464868e-01	4.352124e-01	1.081450e+00	-1.200516e+00	-4.784653e-01	0.000000e+00	4.350631e-01
27	-2.288673e-01	1.220703e-04	-2.897897e-01	1.454051e-01	4.786471e-01	1.085864e-04	1.464910e-01						
28	-7.002471e-01	6.103516e-05	-2.897953e-01	1.454063e-01	4.786193e-01	1.102269e-04	1.465086e-01						
29	-1.263501e+00	3.051758e-05	-2.897973e-01	1.454066e-01	4.786088e-01	1.111337e-04	1.465180e-01						
30		1.525879e-05	-2.897979e-01	1.454067e-01	4.786056e-01	1.114823e-04	1.465215e-01						
