RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	1.035172e+00	2.385994e-02
2	9.473019e-01	-2.387791e-02
3	8.588057e-01	-7.044430e-02
4	7.711861e-01	-1.186399e-01
5	6.847190e-01	-1.688739e-01
6	5.996312e-01	-2.214102e-01
7	5.162039e-01	-2.765455e-01
8	4.348041e-01	-3.346324e-01
9	3.559203e-01	-3.960926e-01
10	4.354548e-01	-3.354768e-01
11	3.559965e-01	-3.961924e-01
12	3.971704e-01	-3.676376e-01
13	3.583709e-01	-3.991749e-01
14	3.977223e-01	-3.683290e-01
15	3.584077e-01	-3.992219e-01
16	3.783992e-01	-3.841918e-01
17	3.590909e-01	-4.000725e-01
18	3.689338e-01	-3.923567e-01
19	3.593109e-01	-4.003353e-01
20	3.641883e-01	-3.964250e-01
21	3.593822e-01	-4.004217e-01
22	3.618093e-01	-3.984536e-01
23	3.594069e-01	-4.004544e-01
24	3.606167e-01	-3.994677e-01
25	3.618361e-01	-3.984866e-01
