RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	2.001347e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	-1.100000e-01	-1.100000e-01	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	-5.576052e+00	1.000000e+00	-2.089347e-01	-2.339232e+00	6.135144e-01	-3.632343e-01	-2.339232e+00	3.267990e-01	5.488204e-01	-1.327261e+00	-4.777497e-01	0.000000e+00	4.419030e-01
3	-2.844875e-01	5.000000e-01	-6.972688e-01	-1.329676e+00	7.944634e-02	1.076688e-04	-1.328600e+00						
4	8.124852e-01	2.500000e-01	-4.191558e-01	-2.521828e-01	3.501046e-01	1.102492e-04	-2.510803e-01						
5	-9.180204e-01	2.500000e-01	-3.115342e-01	2.928766e-02	4.396616e-01	1.074627e-04	3.036228e-02	4.796776e-01	1.573586e+00	-7.469406e-01	-4.263410e-01	0.000000e+00	7.876404e-01
6	1.416884e-01	1.250000e-01	-2.697183e-01	-8.169558e-03	5.381198e-01	1.134882e-04	-7.034675e-03						
7	-2.659623e-01	1.250000e-01	-2.816008e-01	9.866386e-02	4.863094e-01	1.134724e-04	9.979858e-02	4.225616e-01	1.100602e+00	-1.150159e+00	-4.731263e-01	0.000000e+00	4.836698e-01
8	5.566380e-01	6.250000e-02	-2.899214e-01	1.213155e-01	5.124799e-01	1.079139e-04	1.223947e-01						
9	4.917355e-01	6.250000e-02	-2.870842e-01	1.376585e-01	4.946094e-01	1.095867e-04	1.387544e-01	4.362762e-01	8.796193e-01	-1.371118e+00	-4.897104e-01	0.000000e+00	3.069088e-01
10	-7.264886e-01	6.250000e-02	-2.888934e-01	1.366549e-01	4.778174e-01	1.080910e-04	1.377358e-01	4.335102e-01	1.113749e+00	-1.165949e+00	-4.754333e-01	0.000000e+00	4.633214e-01
11	3.557600e-01	3.125000e-02	-2.876995e-01	1.380232e-01	4.938655e-01	1.081407e-04	1.391046e-01						
12	6.452023e-01	3.125000e-02	-2.883280e-01	1.428004e-01	4.850390e-01	1.107103e-04	1.439075e-01	4.344468e-01	9.988863e-01	-1.271515e+00	-4.836784e-01	0.000000e+00	3.813482e-01
13	-1.419302e+00	3.125000e-02	-2.901875e-01	1.437153e-01	4.763242e-01	1.081640e-04	1.447970e-01	4.354541e-01	1.115914e+00	-1.168876e+00	-4.758415e-01	0.000000e+00	4.596222e-01
14	-9.072199e-02	1.562500e-02	-2.883910e-01	1.428416e-01	4.849648e-01	1.081789e-04	1.439234e-01						
15	5.251419e-01	7.812500e-03	-2.892329e-01	1.443921e-01	4.805219e-01	1.104221e-04	1.454963e-01						
16	-1.422358e-01	7.812500e-03	-2.897891e-01	1.449603e-01	4.782854e-01	1.129042e-04	1.460894e-01	4.351220e-01	1.087069e+00	-1.195105e+00	-4.780196e-01	0.000000e+00	4.393367e-01
17	4.786172e-01	3.906250e-03	-2.893959e-01	1.451504e-01	4.803316e-01	1.205289e-04	1.463557e-01						
18	-1.676741e-01	3.906250e-03	-2.896306e-01	1.452836e-01	4.792528e-01	1.205045e-04	1.464887e-01	4.350625e-01	1.072634e+00	-1.208211e+00	-4.790688e-01	0.000000e+00	4.292059e-01
19	5.278018e-01	1.953125e-03	-2.894558e-01	1.454047e-01	4.802621e-01	1.205066e-04	1.466098e-01						
20	-1.809226e-01	1.953125e-03	-2.895698e-01	1.454374e-01	4.797239e-01	1.089845e-04	1.465272e-01	4.350718e-01	1.065422e+00	-1.214786e+00	-4.795863e-01	0.000000e+00	4.241162e-01
21	4.522267e-01	9.765625e-04	-2.894879e-01	1.455046e-01	4.802253e-01	1.080901e-04	1.465855e-01						
22	1.803810e+00	9.765625e-04	-2.895390e-01	1.455099e-01	4.799628e-01	1.066925e-04	1.465769e-01	4.350790e-01	1.061799e+00	-1.218077e+00	-4.798425e-01	0.000000e+00	4.215716e-01
23	-2.000000e+00	1.953125e-03	-2.896019e-01	1.455435e-01	4.796865e-01	1.024252e-04	1.465677e-01	4.351202e-01	1.065475e+00	-1.214859e+00	-4.795956e-01	0.000000e+00	4.240239e-01
24	-2.000000e+00	9.765625e-04	-2.894883e-01	1.455049e-01	4.802248e-01	1.080802e-04	1.465857e-01						
25	-2.000000e+00	4.882812e-04	-2.895422e-01	1.455117e-01	4.799590e-01	1.024286e-04	1.465359e-01						
26	-2.000000e+00	2.441406e-04	-2.895644e-01	1.455116e-01	4.798330e-01	1.072063e-04	1.465837e-01						
27	-2.000000e+00	1.220703e-04	-2.895761e-01	1.455118e-01	4.797707e-01	1.082757e-04	1.465946e-01						
28	-2.000000e+00	6.103516e-05	-2.895810e-01	1.455117e-01	4.797431e-01	1.094499e-04	1.466062e-01						
29	-2.000000e+00	3.051758e-05	-2.895826e-01	1.455115e-01	4.797329e-01	1.101297e-04	1.466128e-01						
30		1.525879e-05	-2.895832e-01	1.455115e-01	4.797294e-01	1.103343e-04	1.466148e-01						
