RTO_iter	u1	u2
0	3.500000e+00	-1.000000e+00
1	2.530429e+00	-1.244809e+00
2	1.530554e+00	-1.260659e+00
3	6.481727e-01	-7.901246e-01
4	1.484339e-01	7.605159e-02
5	3.983033e-01	-3.570365e-01
6	-1.982147e-02	-6.312110e-01
7	1.972604e-01	-5.056358e-01
8	3.023549e-01	-4.371545e-01
9	3.539530e-01	-4.010740e-01
10	4.035631e-01	-3.630597e-01
11	3.543534e-01	-4.015910e-01
12	3.794991e-01	-3.829969e-01
13	3.553800e-01	-4.028676e-01
14	3.677172e-01	-3.932603e-01
15	3.557059e-01	-4.032542e-01
16	3.618056e-01	-3.983689e-01
17	3.558087e-01	-4.033770e-01
18	3.588406e-01	-4.009137e-01
19	3.618839e-01	-3.984629e-01
20	3.558108e-01	-4.033783e-01
21	3.588417e-01	-4.009150e-01
22	3.603546e-01	-3.996818e-01
23	3.611094e-01	-3.990656e-01
24	3.614839e-01	-3.987596e-01
25	3.616659e-01	-3.986108e-01
