RTO_iter	cost	con	merit
1	1.425000e+01	-1.250000e+00	1.425000e+01
2	6.945119e+00	-1.673012e+00	6.945119e+00
3	2.461334e+00	-1.456726e+00	2.461334e+00
4	5.735958e-01	-7.097556e-01	5.735958e-01
5	1.241020e+00	1.735213e-01	2.976232e+00
6	1.657118e-01	-5.562386e-02	1.657118e-01
7	5.007536e-01	1.404369e-01	1.905123e+00
8	2.385840e-01	3.354425e-02	5.740265e-01
9	1.576835e-01	2.178524e-02	3.755359e-01
10	1.460053e-01	6.287466e-03	2.088799e-01
11	1.481077e-01	-7.475234e-03	1.481077e-01
12	1.492390e-01	3.011195e-03	1.793510e-01
13	1.475469e-01	8.158078e-04	1.557050e-01
14	1.461739e-01	1.817612e-04	1.479915e-01
15	1.454832e-01	-1.269668e-06	1.454832e-01
16	1.473798e-01	1.157547e-03	1.589552e-01
17	1.461006e-01	3.900011e-04	1.500007e-01
18	1.457091e-01	1.471226e-04	1.471803e-01
19	1.455753e-01	6.151115e-05	1.461904e-01
20	1.455239e-01	2.774783e-05	1.458014e-01
21	1.455021e-01	1.315742e-05	1.456337e-01
22	1.454922e-01	6.477642e-06	1.455570e-01
23	1.454877e-01	3.368880e-06	1.455214e-01
24	1.454857e-01	1.992545e-06	1.455056e-01
25	1.454849e-01	1.469651e-06	1.454996e-01
