RTO_iter	cost	con	merit
1	1.330000e+00	1.100000e-01	2.430000e+00
2	1.178643e-01	1.357647e-01	1.475511e+00
3	1.033674e+00	1.607771e+00	1.711139e+01
4	3.337568e-01	2.638642e-01	2.972398e+00
5	1.407345e-01	1.369864e-01	1.510598e+00
6	1.078823e-01	1.245965e-01	1.353847e+00
7	1.234953e-01	1.178127e-01	1.301623e+00
8	1.127324e-01	1.070454e-01	1.183186e+00
9	1.290512e-01	1.005988e-01	1.135039e+00
10	1.175305e-01	9.022185e-02	1.019749e+00
11	1.345216e-01	8.410119e-02	9.755335e-01
12	1.222662e-01	7.410415e-02	8.633077e-01
13	1.398974e-01	6.829837e-02	8.228811e-01
14	1.269305e-01	5.867047e-02	7.136352e-01
15	1.451705e-01	5.316860e-02	6.768565e-01
16	1.315151e-01	4.389905e-02	5.705055e-01
17	1.503338e-01	3.869022e-02	5.372359e-01
18	1.360128e-01	2.976819e-02	4.336947e-01
19	1.553809e-01	2.484197e-02	4.038006e-01
20	1.404169e-01	1.625734e-02	3.029903e-01
21	1.590042e-01	1.513211e-02	3.103253e-01
22	1.450638e-01	1.060209e-02	2.510846e-01
23	1.449087e-01	2.765082e-03	1.725596e-01
24	1.474357e-01	4.009702e-03	1.875328e-01
25	1.452852e-01	1.364886e-03	1.589341e-01
26	1.456784e-01	4.861474e-04	1.505399e-01
27	1.453217e-01	1.260363e-03	1.579253e-01
28	1.452309e-01	5.047590e-04	1.502785e-01
29	1.455803e-01	5.186543e-04	1.507669e-01
30	1.453928e-01	2.606804e-04	1.479996e-01
