RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	2.001347e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	-1.100000e-01	-1.100000e-01	-1.220000e+00	2.550000e+00	4.520000e+00	1.520000e+00	2.200000e-01	0.000000e+00	2.420000e+00
2	-5.576051e+00	1.000000e+00	-2.089347e-01	-2.339232e+00	6.135144e-01	-3.632343e-01	-2.339232e+00	3.267990e-01	5.488204e-01	-1.327261e+00	-4.777497e-01	0.000000e+00	4.419030e-01
3	-2.844846e-01	5.000000e-01	-6.972689e-01	-1.329676e+00	7.944630e-02	1.076087e-04	-1.328600e+00						
4	8.124786e-01	2.500000e-01	-4.191560e-01	-2.521827e-01	3.501044e-01	1.100073e-04	-2.510826e-01						
5	-9.178651e-01	2.500000e-01	-3.115327e-01	2.928674e-02	4.396632e-01	1.097517e-04	3.038426e-02	4.796754e-01	1.573585e+00	-7.469348e-01	-4.263398e-01	0.000000e+00	7.876468e-01
6	1.419499e-01	1.250000e-01	-2.697178e-01	-8.170056e-03	5.381202e-01	1.134819e-04	-7.035237e-03						
7	-2.664707e-01	1.250000e-01	-2.816033e-01	9.866496e-02	4.863064e-01	1.087700e-04	9.975266e-02	4.225653e-01	1.100608e+00	-1.150163e+00	-4.731270e-01	0.000000e+00	4.836637e-01
8	5.565422e-01	6.250000e-02	-2.899196e-01	1.213146e-01	5.124820e-01	1.113103e-04	1.224277e-01						
9	4.917075e-01	6.250000e-02	-2.870844e-01	1.376586e-01	4.946091e-01	1.095863e-04	1.387545e-01	4.362764e-01	8.796204e-01	-1.371118e+00	-4.897104e-01	0.000000e+00	3.069087e-01
10	-7.264738e-01	6.250000e-02	-2.888934e-01	1.366549e-01	4.778174e-01	1.080896e-04	1.377358e-01	4.335102e-01	1.113749e+00	-1.165948e+00	-4.754332e-01	0.000000e+00	4.633220e-01
11	3.556513e-01	3.125000e-02	-2.876995e-01	1.380232e-01	4.938655e-01	1.081389e-04	1.391046e-01						
12	6.453172e-01	3.125000e-02	-2.883277e-01	1.428002e-01	4.850393e-01	1.111971e-04	1.439122e-01	4.344463e-01	9.988865e-01	-1.271513e+00	-4.836783e-01	0.000000e+00	3.813497e-01
13	-1.419344e+00	3.125000e-02	-2.901875e-01	1.437153e-01	4.763241e-01	1.081656e-04	1.447970e-01	4.354541e-01	1.115915e+00	-1.168875e+00	-4.758415e-01	0.000000e+00	4.596227e-01
14	-9.081021e-02	1.562500e-02	-2.883910e-01	1.428416e-01	4.849648e-01	1.081801e-04	1.439234e-01						
15	5.215674e-01	7.812500e-03	-2.892329e-01	1.443921e-01	4.805218e-01	1.104504e-04	1.454966e-01						
16	-9.637607e-02	7.812500e-03	-2.897870e-01	1.449592e-01	4.782878e-01	1.161229e-04	1.461205e-01	4.351187e-01	1.087066e+00	-1.195099e+00	-4.780189e-01	0.000000e+00	4.393433e-01
17	5.315330e-01	3.906250e-03	-2.893986e-01	1.451517e-01	4.803284e-01	1.164764e-04	1.463165e-01						
18	-5.318546e-01	3.906250e-03	-2.896407e-01	1.452887e-01	4.792409e-01	1.055158e-04	1.463438e-01	4.350777e-01	1.072652e+00	-1.208233e+00	-4.790717e-01	0.000000e+00	4.291778e-01
19	4.398157e-01	1.953125e-03	-2.894548e-01	1.454042e-01	4.802632e-01	1.222331e-04	1.466266e-01						
20	-2.186482e-01	1.953125e-03	-2.895715e-01	1.454382e-01	4.797219e-01	1.066425e-04	1.465047e-01	4.350744e-01	1.065426e+00	-1.214789e+00	-4.795867e-01	0.000000e+00	4.241118e-01
21	4.807703e-01	9.765625e-04	-2.894890e-01	1.455051e-01	4.802240e-01	1.065489e-04	1.465706e-01						
22	2.648158e+00	9.765625e-04	-2.895419e-01	1.455114e-01	4.799593e-01	1.024444e-04	1.465358e-01	4.350833e-01	1.061804e+00	-1.218083e+00	-4.798433e-01	0.000000e+00	4.215639e-01
23	-2.000000e+00	1.953125e-03	-2.895986e-01	1.455418e-01	4.796903e-01	1.074028e-04	1.466158e-01	4.351151e-01	1.065471e+00	-1.214850e+00	-4.795945e-01	0.000000e+00	4.240344e-01
24	-2.000000e+00	9.765625e-04	-2.894893e-01	1.455054e-01	4.802236e-01	1.065490e-04	1.465709e-01						
25	-2.000000e+00	4.882812e-04	-2.895422e-01	1.455116e-01	4.799590e-01	1.024405e-04	1.465360e-01						
26	-2.000000e+00	2.441406e-04	-2.895674e-01	1.455131e-01	4.798293e-01	1.026261e-04	1.465394e-01						
27	-2.000000e+00	1.220703e-04	-2.895764e-01	1.455120e-01	4.797703e-01	1.077339e-04	1.465893e-01						
28	-2.000000e+00	6.103516e-05	-2.895812e-01	1.455118e-01	4.797428e-01	1.090562e-04	1.466023e-01						
29	-2.000000e+00	3.051758e-05	-2.895826e-01	1.455115e-01	4.797329e-01	1.100781e-04	1.466123e-01						
30		1.525879e-05	-2.895831e-01	1.455114e-01	4.797295e-01	1.104492e-04	1.466159e-01						
