RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	5.192854e-01	1.000000e+00	-4.500000e+00	-4.500000e+00	-2.750000e+00	-2.750000e+00	-4.500000e+00	6.750000e+00	4.520000e+00	-4.480000e+00	1.500000e+00	-2.220446e-14	-3.980000e+00
2	-3.232947e+00	1.000000e+00	-1.257736e+00	-8.715089e-01	-4.273478e-01	-1.703862e+00	-8.715089e-01	1.886782e+00	2.351732e+00	-2.406004e+00	-3.171287e-01	1.110223e-14	-1.189533e+00
3	5.376054e-01	5.000000e-01	-1.476179e-02	-1.492424e+00	9.084229e-01	-2.585713e-01	-1.492424e+00						
4	-4.082479e+00	5.000000e-01	-3.862491e-01	-1.816893e-01	3.681483e-01	-3.739131e-01	-1.816893e-01	5.794394e-01	1.309591e+00	-1.326940e+00	-4.939845e-01	0.000000e+00	2.393727e-01
5	-1.589491e+00	2.500000e-01	-4.593009e-01	-1.510430e-01	5.497471e-01	1.082290e-04	-1.499607e-01						
6	5.229669e-01	1.250000e-01	-3.247800e-01	6.595618e-02	5.152872e-01	1.103776e-04	6.705996e-02						
7	-2.611561e+00	1.250000e-01	-2.927066e-01	1.219225e-01	4.938929e-01	1.096189e-04	1.230187e-01	4.482573e-01	8.104428e-01	-1.448576e+00	-4.937987e-01	0.000000e+00	2.427337e-01
8	-9.144176e-01	6.250000e-02	-2.872735e-01	1.089613e-01	4.729294e-01	1.111296e-04	1.100726e-01						
9	2.369071e-01	3.125000e-02	-2.874526e-01	1.368533e-01	4.836552e-01	1.203266e-04	1.380566e-01						
10	3.907786e-01	3.125000e-02	-2.894236e-01	1.473411e-01	4.888328e-01	1.124215e-04	1.484653e-01	4.383207e-01	9.242188e-01	-1.341678e+00	-4.882635e-01	0.000000e+00	3.264186e-01
11	5.025016e-02	3.125000e-02	-2.890540e-01	1.440982e-01	4.817668e-01	1.129159e-04	1.452273e-01	4.347062e-01	1.039678e+00	-1.236880e+00	-4.812388e-01	0.000000e+00	4.074137e-01
12	-9.755942e-01	3.125000e-02	-2.911803e-01	1.440435e-01	4.732599e-01	1.129154e-04	1.451727e-01	4.367764e-01	1.156045e+00	-1.133308e+00	-4.727553e-01	0.000000e+00	4.868596e-01
13	6.644834e-02	1.562500e-02	-2.885520e-01	1.420904e-01	4.823538e-01	1.055116e-04	1.431455e-01						
14	-1.245474e-01	1.562500e-02	-2.898127e-01	1.441823e-01	4.776816e-01	1.125297e-04	1.453076e-01	4.350427e-01	1.097762e+00	-1.184957e+00	-4.771758e-01	0.000000e+00	4.473093e-01
15	5.403781e-01	7.812500e-03	-2.890601e-01	1.446071e-01	4.817596e-01	1.203207e-04	1.458103e-01						
16	-1.912942e-01	7.812500e-03	-2.895311e-01	1.450575e-01	4.795640e-01	1.068611e-04	1.461261e-01	4.349613e-01	1.068986e+00	-1.211276e+00	-4.793032e-01	0.000000e+00	4.269088e-01
17	4.824242e-01	3.906250e-03	-2.892394e-01	1.453738e-01	4.815495e-01	1.091495e-04	1.464653e-01						
18	1.660817e+00	3.906250e-03	-2.894269e-01	1.454458e-01	4.804966e-01	1.073485e-04	1.465193e-01	4.350211e-01	1.054580e+00	-1.224419e+00	-4.803254e-01	0.000000e+00	4.167322e-01
19	7.777528e+00	7.812500e-03	-2.896624e-01	1.455682e-01	4.794112e-01	1.068975e-04	1.466372e-01	4.351587e-01	1.069204e+00	-1.211574e+00	-4.793413e-01	0.000000e+00	4.265334e-01
20	9.200700e-01	1.562500e-02	-2.892420e-01	1.453756e-01	4.815463e-01	1.090847e-04	1.464665e-01	4.349893e-01	1.039993e+00	-1.237304e+00	-4.812907e-01	0.000000e+00	4.068779e-01
21	-6.017220e+00	3.125000e-02	-2.900773e-01	1.451948e-01	4.773753e-01	1.205177e-04	1.464000e-01	4.354404e-01	1.098205e+00	-1.185554e+00	-4.772564e-01	0.000000e+00	4.465546e-01
22	-5.064047e+00	1.562500e-02	-2.884251e-01	1.433123e-01	4.860764e-01	1.129217e-04	1.444415e-01						
23	-3.398145e+00	7.812500e-03	-2.890730e-01	1.446148e-01	4.817439e-01	1.125004e-04	1.457398e-01						
24	-2.045023e+00	3.906250e-03	-2.895359e-01	1.450608e-01	4.795584e-01	1.073480e-04	1.461343e-01						
25	-9.898590e-01	1.953125e-03	-2.897995e-01	1.452313e-01	4.784637e-01	1.070632e-04	1.463019e-01						
26	-3.069027e-01	9.765625e-04	-2.899391e-01	1.453032e-01	4.779162e-01	1.076891e-04	1.463801e-01						
27	1.329201e-01	4.882812e-04	-2.900100e-01	1.453354e-01	4.776437e-01	1.092507e-04	1.464280e-01						
28	-2.104850e-02	4.882812e-04	-2.900450e-01	1.453503e-01	4.775092e-01	1.109322e-04	1.464597e-01	4.354100e-01	1.096351e+00	-1.187209e+00	-4.773917e-01	0.000000e+00	4.452838e-01
29	3.505000e-01	2.441406e-04	-2.900124e-01	1.453526e-01	4.776438e-01	1.108787e-04	1.464614e-01						
30		2.441406e-04	-2.900294e-01	1.453593e-01	4.775786e-01	1.115898e-04	1.464752e-01	4.353963e-01	1.095373e+00	-1.188087e+00	-4.774635e-01	0.000000e+00	4.446078e-01
