RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	5.192854e-01	1.000000e+00	-4.500000e+00	-4.500000e+00	-2.750000e+00	-2.750000e+00	-4.500000e+00	6.750000e+00	4.520000e+00	-4.480000e+00	1.500000e+00	-2.220446e-14	-3.980000e+00
2	-3.232947e+00	1.000000e+00	-1.257736e+00	-8.715089e-01	-4.273478e-01	-1.703862e+00	-8.715089e-01	1.886782e+00	2.351732e+00	-2.406004e+00	-3.171287e-01	-1.110223e-14	-1.189533e+00
3	5.376054e-01	5.000000e-01	-1.476179e-02	-1.492424e+00	9.084229e-01	-2.585713e-01	-1.492424e+00						
4	-4.068460e+00	5.000000e-01	-3.862491e-01	-1.816893e-01	3.681483e-01	-3.739131e-01	-1.816893e-01	5.794394e-01	1.309591e+00	-1.326940e+00	-4.939845e-01	0.000000e+00	2.393727e-01
5	-1.569861e+00	2.500000e-01	-4.593696e-01	-1.510089e-01	5.496511e-01	-7.424586e-09	-1.510089e-01						
6	5.276643e-01	1.250000e-01	-3.248598e-01	6.599574e-02	5.151925e-01	-6.472041e-09	6.599574e-02						
7	-2.596548e+00	1.250000e-01	-2.927931e-01	1.219649e-01	4.938067e-01	-5.958565e-09	1.219649e-01	4.484003e-01	8.103426e-01	-1.448968e+00	-4.938205e-01	0.000000e+00	2.423428e-01
8	-8.863818e-01	6.250000e-02	-2.873323e-01	1.089867e-01	4.728721e-01	-5.923103e-09	1.089867e-01						
9	2.544113e-01	3.125000e-02	-2.875337e-01	1.368986e-01	4.835737e-01	-6.157738e-09	1.368986e-01						
10	3.914731e-01	3.125000e-02	-2.895062e-01	1.473914e-01	4.887504e-01	-6.275065e-09	1.473914e-01	4.384537e-01	9.241190e-01	-1.342070e+00	-4.882934e-01	0.000000e+00	3.260270e-01
11	5.148081e-02	3.125000e-02	-2.891301e-01	1.441409e-01	4.816912e-01	-6.415983e-09	1.441409e-01	4.348251e-01	1.039574e+00	-1.237267e+00	-4.812761e-01	0.000000e+00	4.070291e-01
12	-9.961327e-01	3.125000e-02	-2.912499e-01	1.440787e-01	4.731911e-01	-6.620108e-09	1.440787e-01	4.368812e-01	1.155937e+00	-1.133688e+00	-4.727993e-01	0.000000e+00	4.864824e-01
13	6.524252e-02	1.562500e-02	-2.886231e-01	1.421306e-01	4.822841e-01	-7.148841e-09	1.421306e-01						
14	-1.073860e-01	1.562500e-02	-2.898854e-01	1.442211e-01	4.776098e-01	-7.064288e-09	1.442211e-01	4.351542e-01	1.097655e+00	-1.185340e+00	-4.772164e-01	0.000000e+00	4.469291e-01
15	5.343105e-01	7.812500e-03	-2.891413e-01	1.446523e-01	4.816782e-01	-6.945782e-09	1.446523e-01						
16	-1.772144e-01	7.812500e-03	-2.896016e-01	1.450963e-01	4.794948e-01	-6.902744e-09	1.450963e-01	4.350706e-01	1.068874e+00	-1.211653e+00	-4.793409e-01	0.000000e+00	4.265375e-01
17	4.833447e-01	3.906250e-03	-2.893130e-01	1.454153e-01	4.814769e-01	-6.867192e-09	1.454153e-01						
18	1.108051e+00	3.906250e-03	-2.894985e-01	1.454857e-01	4.804263e-01	-6.879822e-09	1.454857e-01	4.351326e-01	1.054469e+00	-1.224796e+00	-4.803624e-01	0.000000e+00	4.163592e-01
19	-1.455714e+01	7.812500e-03	-2.897329e-01	1.456071e-01	4.793420e-01	-6.773185e-09	1.456071e-01	4.352681e-01	1.069093e+00	-1.211950e+00	-4.793790e-01	0.000000e+00	4.261621e-01
20	-1.477920e+01	3.906250e-03	-2.893155e-01	1.454170e-01	4.814738e-01	-6.868880e-09	1.454170e-01						
21	-1.197883e+01	1.953125e-03	-2.895005e-01	1.454871e-01	4.804240e-01	-6.832290e-09	1.454871e-01						
22	-7.629297e+00	9.765625e-04	-2.896012e-01	1.455091e-01	4.798985e-01	-2.475514e-09	1.455091e-01						
23	-3.963420e+00	4.882812e-04	-2.896536e-01	1.455169e-01	4.796359e-01	-2.474169e-09	1.455169e-01						
24	-1.716989e+00	2.441406e-04	-2.896801e-01	1.455200e-01	4.795055e-01	-6.831913e-09	1.455200e-01						
25	-5.371081e-01	1.220703e-04	-2.896929e-01	1.455212e-01	4.794429e-01	-7.461879e-09	1.455212e-01						
26	-7.503204e-02	6.103516e-05	-2.896990e-01	1.455218e-01	4.794134e-01	-6.896843e-09	1.455218e-01						
27	7.063507e-02	3.051758e-05	-2.897013e-01	1.455220e-01	4.794024e-01	-2.518930e-09	1.455220e-01						
28	-7.189089e-01	3.051758e-05	-2.897020e-01	1.455220e-01	4.793989e-01	-2.534577e-09	1.455220e-01	4.352269e-01	1.068669e+00	-1.212231e+00	-4.793980e-01	0.000000e+00	4.259753e-01
29	-6.657097e-01	1.525879e-05	-2.896968e-01	1.455247e-01	4.794263e-01	-2.473699e-09	1.455247e-01						
30		7.629395e-06	-2.896970e-01	1.455248e-01	4.794254e-01	-2.474499e-09	1.455248e-01						
