RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-2.280160e-01	3.895344e-01
2	-6.487302e-01	1.153035e-01
3	-1.757158e-01	2.773448e-01
4	-1.085478e-01	-2.181231e-01
5	3.230288e-01	3.434801e-02
6	1.118052e-01	-1.000360e-01
7	-9.886943e-02	-2.346324e-01
8	1.201367e-01	-1.140657e-01
9	-8.978713e-02	-2.498302e-01
10	1.279101e-01	-1.269159e-01
11	-8.130609e-02	-2.637684e-01
12	1.351288e-01	-1.386446e-01
13	-7.342425e-02	-2.765056e-01
14	1.418022e-01	-1.493144e-01
15	-6.613281e-02	-2.881058e-01
16	3.909216e-02	-2.205581e-01
17	1.500726e-01	-1.630399e-01
18	4.781950e-02	-2.349378e-01
19	1.582759e-01	-1.764195e-01
20	5.648231e-02	-2.489665e-01
21	1.664039e-01	-1.894496e-01
22	6.507176e-02	-2.626398e-01
23	1.744483e-01	-2.021272e-01
24	7.357900e-02	-2.759540e-01
25	1.824013e-01	-2.144502e-01
26	8.199530e-02	-2.889058e-01
27	1.902549e-01	-2.264170e-01
28	3.010248e-01	-1.684941e-01
29	1.989572e-01	-2.406553e-01
30	3.091985e-01	-1.817327e-01
