RTO_iter	cost	con	merit
1	1.330000e+00	1.910000e+00	2.043000e+01
2	1.149082e-01	2.158822e+00	2.170313e+01
3	3.593449e-01	1.892632e+00	1.928567e+01
4	5.906232e-02	1.807326e+00	1.813232e+01
5	8.303709e-02	7.198792e-01	7.281830e+00
6	1.166228e-01	7.468470e-01	7.585093e+00
7	1.132306e-02	6.981301e-01	6.992624e+00
8	8.802551e-02	6.846570e-01	6.934595e+00
9	1.374033e-02	6.647429e-01	6.661169e+00
10	9.290841e-02	6.525418e-01	6.618327e+00
11	1.623480e-02	6.343658e-01	6.359893e+00
12	9.763041e-02	6.233431e-01	6.331062e+00
13	1.874723e-02	6.068044e-01	6.086791e+00
14	1.021487e-01	5.968685e-01	6.070833e+00
15	2.122953e-02	5.818639e-01	5.839868e+00
16	1.064317e-01	5.729262e-01	5.835694e+00
17	4.155196e-02	5.684376e-01	5.725928e+00
18	2.463597e-02	5.504296e-01	5.528932e+00
19	4.624785e-02	5.375007e-01	5.421255e+00
20	2.825214e-02	5.200090e-01	5.228342e+00
21	5.111236e-02	5.075690e-01	5.126803e+00
22	3.205624e-02	4.905881e-01	4.937938e+00
23	5.612358e-02	4.786283e-01	4.842406e+00
24	3.602688e-02	4.621526e-01	4.657553e+00
25	6.126005e-02	4.506636e-01	4.567897e+00
26	4.014314e-02	4.346871e-01	4.387014e+00
27	6.650089e-02	4.236596e-01	4.303097e+00
28	4.438464e-02	4.081758e-01	4.126142e+00
29	6.828528e-02	3.903772e-01	3.972058e+00
30	4.961883e-02	3.776472e-01	3.826091e+00
31	7.243903e-02	3.603628e-01	3.676067e+00
32	5.504471e-02	3.481181e-01	3.536226e+00
33	7.680057e-02	3.313423e-01	3.390224e+00
34	6.063854e-02	3.195741e-01	3.256379e+00
35	8.134669e-02	3.033011e-01	3.114357e+00
36	6.637700e-02	2.920000e-01	2.986377e+00
37	8.605463e-02	2.762235e-01	2.848290e+00
38	7.223731e-02	2.653800e-01	2.726037e+00
39	9.090213e-02	2.500935e-01	2.591837e+00
40	7.819732e-02	2.396976e-01	2.475173e+00
41	9.586757e-02	2.248939e-01	2.344807e+00
42	8.423553e-02	2.149356e-01	2.233591e+00
43	1.009300e-01	2.006073e-01	2.107003e+00
44	9.033128e-02	1.910761e-01	2.001092e+00
45	1.060693e-01	1.772154e-01	1.878224e+00
46	9.646471e-02	1.681008e-01	1.777473e+00
47	1.112660e-01	1.546994e-01	1.658260e+00
48	1.026169e-01	1.459906e-01	1.562523e+00
49	1.165017e-01	1.330399e-01	1.446901e+00
50	1.087700e-01	1.247260e-01	1.356030e+00
51	1.217590e-01	1.122170e-01	1.243929e+00
52	1.149070e-01	1.042870e-01	1.157777e+00
53	1.270213e-01	9.221038e-02	1.049125e+00
54	1.210120e-01	8.465314e-02	9.675435e-01
55	1.322731e-01	7.299928e-02	8.622659e-01
56	1.270704e-01	6.580365e-02	7.851069e-01
57	1.374999e-01	5.456267e-02	6.831267e-01
58	1.330685e-01	4.771745e-02	6.102431e-01
59	1.426885e-01	3.687928e-02	5.114813e-01
60	1.389938e-01	3.037339e-02	4.427277e-01
61	1.478263e-01	1.992799e-02	3.471062e-01
62	1.444681e-01	1.479208e-02	2.923889e-01
63	1.508600e-01	1.021574e-02	2.530174e-01
64	1.449329e-01	1.348957e-02	2.798287e-01
65	1.441169e-01	4.360512e-03	1.877221e-01
66	1.482605e-01	4.170503e-03	1.899655e-01
67	1.455726e-01	1.440802e-03	1.599806e-01
68	1.454314e-01	4.879159e-04	1.503106e-01
69	1.456361e-01	1.259743e-03	1.582335e-01
70	1.452643e-01	5.067699e-04	1.503320e-01
71	1.453301e-01	2.590998e-04	1.479211e-01
72	1.453525e-01	2.513864e-04	1.478663e-01
73	1.455688e-01	2.587494e-04	1.481563e-01
74	1.454649e-01	1.708346e-04	1.471733e-01
75	1.455999e-01	1.694315e-04	1.472942e-01
76	1.455378e-01	1.366728e-04	1.469046e-01
77	1.454942e-01	8.630558e-05	1.463573e-01
78	1.456004e-01	1.680701e-04	1.472811e-01
79	1.455384e-01	1.350343e-04	1.468888e-01
80	1.455111e-01	1.215745e-04	1.467268e-01
81	1.454984e-01	1.158266e-04	1.466566e-01
82	1.454924e-01	1.131689e-04	1.466241e-01
83	1.454898e-01	1.119448e-04	1.466092e-01
84	1.454888e-01	1.114087e-04	1.466029e-01
85	1.454885e-01	1.112810e-04	1.466013e-01
86	1.454884e-01	1.112563e-04	1.466009e-01
87	1.454884e-01	1.112092e-04	1.466005e-01
88	1.454884e-01	1.112193e-04	1.466005e-01
89	1.454884e-01	1.112183e-04	1.466005e-01
90	1.454884e-01	1.112181e-04	1.466005e-01
91	1.454884e-01	1.112194e-04	1.466005e-01
92	1.454884e-01	1.112197e-04	1.466005e-01
93	1.454884e-01	1.112197e-04	1.466005e-01
94	1.454884e-01	1.112197e-04	1.466005e-01
95	1.454884e-01	1.112197e-04	1.466005e-01
96	1.454884e-01	1.112197e-04	1.466005e-01
97	1.454884e-01	1.112197e-04	1.466005e-01
98	1.454884e-01	1.112197e-04	1.466005e-01
99	1.454884e-01	1.112197e-04	1.466005e-01
100	1.454884e-01	1.112197e-04	1.466005e-01
101	1.454884e-01	1.112197e-04	1.466005e-01
102	1.454884e-01	1.112197e-04	1.466005e-01
103	1.454884e-01	1.112197e-04	1.466005e-01
104	1.454884e-01	1.112197e-04	1.466005e-01
105	1.454884e-01	1.112197e-04	1.466005e-01
106	1.454884e-01	1.112197e-04	1.466005e-01
107	1.454884e-01	1.112197e-04	1.466005e-01
108	1.454884e-01	1.112197e-04	1.466005e-01
109	1.454884e-01	1.112197e-04	1.466005e-01
110	1.454884e-01	1.112197e-04	1.466005e-01
111	1.454884e-01	1.112197e-04	1.466005e-01
112	1.454884e-01	1.112197e-04	1.466005e-01
113	1.454884e-01	1.112197e-04	1.466005e-01
114	1.454884e-01	1.112197e-04	1.466005e-01
115	1.454884e-01	1.112197e-04	1.466005e-01
116	1.454884e-01	1.112197e-04	1.466005e-01
117	1.454884e-01	1.112197e-04	1.466005e-01
118	1.454884e-01	1.112197e-04	1.466005e-01
119	1.454884e-01	1.112197e-04	1.466005e-01
120	1.454884e-01	1.112197e-04	1.466005e-01
