RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	7.383004e-01	1.000000e+00	-1.220000e+00	-1.220000e+00	2.090000e+00	2.090000e+00	1.968000e+01	2.550000e+00	-4.480000e+00	-1.480000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	8.817496e-01	1.000000e+00	-1.902106e-02	-2.139143e+00	1.109817e+00	1.213923e+00	1.000009e+01	2.933657e-02	-3.666184e-01	2.059981e-01	1.621106e-01	0.000000e+00	2.321496e+00
3	-1.076254e+00	1.000000e+00	-7.482216e-01	-1.136129e+00	9.825237e-02	-6.154830e-01	-1.136129e+00	1.251720e+00	2.960508e+00	-3.770072e-01	-4.215147e-01	-9.769963e-15	8.123902e-01
4	1.155414e-01	5.000000e-01	-4.385637e-01	-1.830996e+00	7.043955e-01	1.090644e-04	-1.829905e+00						
5	-4.531301e+00	5.000000e-01	-2.720755e-01	-4.248306e-01	5.094551e-01	1.094567e-04	-4.237361e-01	4.119489e-01	8.997079e-01	-1.297636e+00	-4.838060e-01	0.000000e+00	3.799332e-01
6	-8.216334e-01	2.500000e-01	-4.319257e-01	-2.029203e-01	3.424510e-01	1.132810e-04	-2.017875e-01						
7	5.769968e-01	1.250000e-01	-3.271195e-01	4.984785e-02	4.230893e-01	1.075086e-04	5.092293e-02						
8	-2.993448e-01	1.250000e-01	-2.978516e-01	1.176073e-01	4.575646e-01	1.203170e-04	1.188104e-01	4.504559e-01	1.384991e+00	-9.161202e-01	-4.492033e-01	0.000000e+00	6.574742e-01
9	4.874235e-01	6.250000e-02	-2.806031e-01	1.020068e-01	4.992722e-01	1.080235e-04	1.030871e-01						
10	-4.866320e-02	6.250000e-02	-2.887492e-01	1.328749e-01	4.759401e-01	1.108266e-04	1.339831e-01	4.331264e-01	1.154074e+00	-1.125714e+00	-4.717393e-01	0.000000e+00	4.954849e-01
11	6.182596e-01	3.125000e-02	-2.868956e-01	1.360353e-01	4.917139e-01	1.081030e-04	1.371163e-01						
12	6.403317e-01	3.125000e-02	-2.884481e-01	1.419816e-01	4.823415e-01	1.127185e-04	1.431087e-01	4.337526e-01	1.040957e+00	-1.233382e+00	-4.809090e-01	0.000000e+00	4.108039e-01
13	-1.048390e+00	3.125000e-02	-2.912668e-01	1.440864e-01	4.730557e-01	1.111837e-04	1.451982e-01	4.369036e-01	1.158381e+00	-1.131323e+00	-4.725806e-01	0.000000e+00	4.883540e-01
14	7.537250e-03	1.562500e-02	-2.885674e-01	1.420576e-01	4.822023e-01	1.111939e-04	1.431695e-01						
15	5.459450e-01	7.812500e-03	-2.898504e-01	1.441796e-01	4.775191e-01	1.203774e-04	1.453833e-01						
16	5.518246e-02	7.812500e-03	-2.906322e-01	1.450362e-01	4.751572e-01	1.202482e-04	1.462387e-01	4.360407e-01	1.129436e+00	-1.157421e+00	-4.748857e-01	0.000000e+00	4.682345e-01
17	-6.228695e-02	7.812500e-03	-2.900156e-01	1.449383e-01	4.773283e-01	1.222241e-04	1.461605e-01	4.353258e-01	1.100318e+00	-1.183284e+00	-4.770578e-01	0.000000e+00	4.484126e-01
18	5.423238e-01	3.906250e-03	-2.895535e-01	1.450381e-01	4.794126e-01	1.222247e-04	1.462604e-01						
19	-7.731042e-02	3.906250e-03	-2.898331e-01	1.452213e-01	4.783028e-01	1.080583e-04	1.463019e-01	4.352027e-01	1.085890e+00	-1.196398e+00	-4.781312e-01	0.000000e+00	4.382711e-01
20	4.770739e-01	1.953125e-03	-2.896234e-01	1.452974e-01	4.793316e-01	1.072356e-04	1.463698e-01						
21	-1.300687e-01	1.953125e-03	-2.897475e-01	1.453489e-01	4.787923e-01	1.068334e-04	1.464172e-01	4.351610e-01	1.078659e+00	-1.202949e+00	-4.786570e-01	0.000000e+00	4.332117e-01
22	4.245295e-01	9.765625e-04	-2.896470e-01	1.453930e-01	4.793048e-01	1.068049e-04	1.464611e-01						
23	-1.534126e-01	9.765625e-04	-2.897058e-01	1.454091e-01	4.790387e-01	1.071346e-04	1.464804e-01	4.351449e-01	1.075028e+00	-1.206234e+00	-4.789181e-01	0.000000e+00	4.306769e-01
24	3.493055e-01	4.882812e-04	-2.896566e-01	1.454328e-01	4.792952e-01	1.070886e-04	1.465037e-01						
25	-1.584248e-01	4.882812e-04	-2.896844e-01	1.454380e-01	4.791646e-01	1.082863e-04	1.465209e-01	4.351371e-01	1.073182e+00	-1.207898e+00	-4.790497e-01	0.000000e+00	4.293931e-01
26	6.294208e-01	2.441406e-04	-2.896598e-01	1.454505e-01	4.792945e-01	1.081949e-04	1.465325e-01						
27	-2.000000e+00	2.441406e-04	-2.896769e-01	1.454544e-01	4.792269e-01	1.032284e-04	1.464867e-01	4.351388e-01	1.072213e+00	-1.208787e+00	-4.791202e-01	0.000000e+00	4.287038e-01
28	-2.000000e+00	1.220703e-04	-2.896596e-01	1.454589e-01	4.793006e-01	1.096259e-04	1.465552e-01						
29	3.988692e-01	6.103516e-05	-2.896650e-01	1.454594e-01	4.792727e-01	1.107232e-04	1.465666e-01						
30		6.103516e-05	-2.896722e-01	1.454622e-01	4.792562e-01	1.036317e-04	1.464985e-01	4.351376e-01	1.071779e+00	-1.209179e+00	-4.791510e-01	0.000000e+00	4.284016e-01
