RTO_iter	u1	u2
0	1.100000e+00	1.000000e-01
1	1.035136e+00	2.389034e-02
2	9.472630e-01	-2.384150e-02
3	8.587658e-01	-7.040604e-02
4	7.711453e-01	-1.186000e-01
5	6.846772e-01	-1.688322e-01
6	5.995881e-01	-2.213666e-01
7	5.161594e-01	-2.764996e-01
8	4.347578e-01	-3.345840e-01
9	3.558717e-01	-3.960412e-01
10	4.354089e-01	-3.354290e-01
11	3.559479e-01	-3.961412e-01
12	3.971235e-01	-3.675886e-01
13	3.583230e-01	-3.991248e-01
14	3.976757e-01	-3.682804e-01
15	3.583599e-01	-3.991719e-01
16	3.783510e-01	-3.841412e-01
17	3.590430e-01	-4.000224e-01
18	3.688853e-01	-3.923058e-01
19	3.592617e-01	-4.002836e-01
20	3.641385e-01	-3.963728e-01
21	3.593343e-01	-4.003716e-01
22	3.617595e-01	-3.984014e-01
23	3.593540e-01	-4.003983e-01
24	3.605683e-01	-3.994169e-01
25	3.617886e-01	-3.984369e-01
26	3.593543e-01	-4.003987e-01
27	3.605684e-01	-3.994175e-01
28	3.611719e-01	-3.989262e-01
29	3.614696e-01	-3.986833e-01
30	3.616119e-01	-3.985662e-01
