RTO_iter	u1	u2
0	1.500000e+00	-1.500000e+00
1	1.428353e+00	-1.430238e+00
2	1.285243e+00	-1.290526e+00
3	1.142502e+00	-1.150437e+00
4	1.000085e+00	-1.010018e+00
5	8.579477e-01	-8.693160e-01
6	7.160445e-01	-7.283781e-01
7	5.743298e-01	-5.872507e-01
8	4.327579e-01	-4.459800e-01
9	2.407133e-01	-5.018271e-01
10	3.364411e-01	-4.190895e-01
11	4.113016e-01	-3.527878e-01
12	3.745506e-01	-3.867217e-01
13	3.557965e-01	-4.032662e-01
14	3.750604e-01	-3.873316e-01
15	3.555455e-01	-4.029577e-01
16	3.653622e-01	-3.952186e-01
17	3.702581e-01	-3.913329e-01
18	3.654319e-01	-3.953052e-01
19	3.678668e-01	-3.933471e-01
20	3.654528e-01	-3.953340e-01
21	3.666739e-01	-3.943610e-01
22	3.654651e-01	-3.953560e-01
23	3.660695e-01	-3.948660e-01
24	3.654627e-01	-3.953679e-01
25	3.657607e-01	-3.951251e-01
26	3.654501e-01	-3.953820e-01
27	3.655921e-01	-3.952653e-01
28	3.654231e-01	-3.954050e-01
29	3.654843e-01	-3.953541e-01
30	3.655061e-01	-3.953358e-01
