RTO_iter	cost	con	merit
1	2.250000e+00	-1.250000e+00	2.250000e+00
2	2.042888e+00	-1.243248e+00	2.042888e+00
3	1.658667e+00	-1.200837e+00	1.658667e+00
4	1.314439e+00	-1.119870e+00	1.314439e+00
5	1.010202e+00	-9.999847e-01	1.010202e+00
6	7.459569e-01	-8.408694e-01	7.459569e-01
7	5.217032e-01	-6.422660e-01	5.217032e-01
8	3.374425e-01	-4.039678e-01	3.374425e-01
9	1.931762e-01	-1.258197e-01	1.931762e-01
10	1.889769e-01	7.462960e-03	2.636065e-01
11	1.478297e-01	1.015822e-03	1.579879e-01
12	1.485261e-01	7.581988e-03	2.243459e-01
13	1.449950e-01	1.559608e-03	1.605911e-01
14	1.457341e-01	2.947493e-04	1.486816e-01
15	1.454233e-01	3.022444e-04	1.484457e-01
16	1.455177e-01	9.139887e-04	1.546576e-01
17	1.452893e-01	3.983681e-04	1.492730e-01
18	1.453383e-01	2.175597e-04	1.475139e-01
19	1.453495e-01	2.239274e-04	1.475888e-01
20	1.453486e-01	1.609583e-04	1.469582e-01
21	1.453688e-01	1.681506e-04	1.470503e-01
22	1.453684e-01	1.247808e-04	1.466162e-01
23	1.453823e-01	1.292314e-04	1.466746e-01
24	1.453776e-01	1.176701e-04	1.465543e-01
25	1.453865e-01	1.173447e-04	1.465600e-01
26	1.453835e-01	1.129741e-04	1.465132e-01
27	1.453883e-01	1.129023e-04	1.465173e-01
28	1.453864e-01	1.119879e-04	1.465062e-01
29	1.453891e-01	1.119557e-04	1.465086e-01
30	1.453879e-01	1.123832e-04	1.465117e-01
