RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.323005e-01	1.000000e-01	-4.500000e+00	-4.500000e+00	-2.750000e+00	-2.750000e+00	-4.500000e+00	6.750000e+00	4.520000e+00	-4.480000e+00	1.500000e+00	-2.220446e-14	-3.980000e+00
2	8.647886e-01	2.000000e-01	-4.085773e+00	2.027849e+00	-2.473934e+00	-1.251586e+00	2.027849e+00	6.128662e+00	4.303173e+00	-4.272600e+00	1.230687e+00	-2.220446e-14	-3.700953e+00
3	8.514498e-01	2.000000e-01	-3.317306e+00	1.598593e+00	-1.950700e+00	-1.237082e+00	1.598593e+00	4.975974e+00	3.870445e+00	-3.856862e+00	7.498629e-01	0.000000e+00	-3.142104e+00
4	8.351757e-01	2.000000e-01	-2.628815e+00	1.254382e+00	-1.466007e+00	-1.156319e+00	1.254382e+00	3.943254e+00	3.439570e+00	-3.439245e+00	3.461361e-01	0.000000e+00	-2.581747e+00
5	8.148802e-01	2.000000e-01	-2.020306e+00	9.501604e-01	-1.020221e+00	-1.036611e+00	9.501604e-01	3.030508e+00	3.010322e+00	-3.019986e+00	2.023624e-02	0.000000e+00	-2.020071e+00
6	7.888660e-01	2.000000e-01	-1.491785e+00	6.859271e-01	-6.136580e-01	-8.776494e-01	6.859271e-01	2.237741e+00	2.582475e+00	-2.599316e+00	-2.272114e-01	0.000000e+00	-1.457264e+00
7	7.543240e-01	2.000000e-01	-1.043254e+00	4.616835e-01	-2.465792e-01	-6.791743e-01	4.616835e-01	1.564958e+00	2.155800e+00	-2.177468e+00	-3.956869e-01	0.000000e+00	-8.935124e-01
8	7.062448e-01	2.000000e-01	-6.747181e-01	2.774306e-01	8.080686e-02	-4.409791e-01	2.774306e-01	1.012161e+00	1.730068e+00	-1.754673e+00	-4.847746e-01	0.000000e+00	-3.290027e-01
9	-7.128573e-01	2.000000e-01	-3.861775e-01	1.331701e-01	3.683440e-01	-1.629091e-01	1.331701e-01	5.793537e-01	1.305051e+00	-1.331162e+00	-4.941637e-01	0.000000e+00	2.360799e-01
10	5.579173e-01	1.000000e-01	-3.097733e-01	9.329389e-02	5.074563e-01	1.082313e-04	9.437621e-02						
11	-2.174719e+00	1.000000e-01	-2.888287e-01	1.290312e-01	4.879228e-01	1.074429e-04	1.301056e-01	4.366584e-01	9.466750e-01	-1.319917e+00	-4.869070e-01	0.000000e+00	3.436419e-01
12	-1.564308e-01	5.000000e-02	-2.936320e-01	1.263878e-01	4.642350e-01	1.111932e-04	1.274997e-01						
13	7.731170e-01	2.500000e-02	-2.898413e-01	1.401707e-01	4.758963e-01	1.124227e-04	1.412949e-01						
14	8.678057e-02	2.500000e-02	-2.892067e-01	1.448773e-01	4.815893e-01	1.218550e-04	1.460958e-01	4.349367e-01	1.039907e+00	-1.237250e+00	-4.812829e-01	0.000000e+00	4.069585e-01
15	-1.532291e+00	2.500000e-02	-2.906899e-01	1.445672e-01	4.749209e-01	1.222289e-04	1.457895e-01	4.361101e-01	1.132900e+00	-1.154252e+00	-4.746096e-01	0.000000e+00	4.706915e-01
16	-2.145071e-01	1.250000e-02	-2.887812e-01	1.432568e-01	4.820869e-01	1.222236e-04	1.444790e-01						
17	4.190546e-01	6.250000e-03	-2.896950e-01	1.445525e-01	4.784311e-01	1.043379e-04	1.455958e-01						
18	-3.158912e-03	6.250000e-03	-2.902316e-01	1.450644e-01	4.766015e-01	1.067096e-04	1.461315e-01	4.355694e-01	1.109698e+00	-1.175071e+00	-4.763826e-01	0.000000e+00	4.546713e-01
19	5.260156e-01	3.125000e-03	-2.898108e-01	1.450783e-01	4.782972e-01	1.068199e-04	1.461465e-01						
20	-1.093203e-01	3.125000e-03	-2.900547e-01	1.452395e-01	4.774034e-01	1.025661e-04	1.462651e-01	4.354066e-01	1.098132e+00	-1.185536e+00	-4.772523e-01	0.000000e+00	4.465928e-01
21	4.113892e-01	1.562500e-03	-2.898539e-01	1.452611e-01	4.782475e-01	1.070940e-04	1.463320e-01						
22	-4.113979e-02	1.562500e-03	-2.899663e-01	1.453162e-01	4.778102e-01	1.085318e-04	1.464015e-01	4.353327e-01	1.092328e+00	-1.190761e+00	-4.776796e-01	0.000000e+00	4.425678e-01
23	4.000660e-01	7.812500e-04	-2.898705e-01	1.453318e-01	4.782293e-01	1.082511e-04	1.464143e-01						
24	-3.304896e-02	7.812500e-04	-2.899238e-01	1.453527e-01	4.780140e-01	1.103595e-04	1.464563e-01	4.353002e-01	1.089409e+00	-1.193389e+00	-4.778930e-01	0.000000e+00	4.405428e-01
25	3.626187e-01	3.906250e-04	-2.898765e-01	1.453617e-01	4.782241e-01	1.099728e-04	1.464614e-01						
26	5.176045e-01	3.906250e-04	-2.899021e-01	1.453704e-01	4.781184e-01	1.114231e-04	1.464847e-01	4.352843e-01	1.087914e+00	-1.194734e+00	-4.780017e-01	0.000000e+00	4.395073e-01
27	-2.000000e+00	3.906250e-04	-2.898833e-01	1.453779e-01	4.782199e-01	1.036401e-04	1.464143e-01	4.352730e-01	1.086423e+00	-1.196084e+00	-4.781109e-01	0.000000e+00	4.384647e-01
28	-2.000000e+00	1.953125e-04	-2.898549e-01	1.453808e-01	4.783328e-01	1.107366e-04	1.464882e-01						
29	-2.000000e+00	9.765625e-05	-2.898670e-01	1.453845e-01	4.782823e-01	1.111573e-04	1.464960e-01						
30		4.882813e-05	-2.898723e-01	1.453860e-01	4.782603e-01	1.112887e-04	1.464989e-01						
