RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.856072e-01	1.000000e-01	-1.220000e+00	-1.220000e+00	2.090000e+00	2.090000e+00	1.968000e+01	2.550000e+00	-4.480000e+00	-1.480000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	9.701266e-01	2.000000e-01	-1.010751e+00	1.096205e+00	1.989402e+00	1.804227e+00	1.913848e+01	2.124702e+00	-4.083398e+00	-1.392828e+00	-1.850906e-01	0.000000e+00	1.607223e+00
3	9.390965e-01	4.000000e-01	-6.527861e-01	6.674881e-01	1.787794e+00	1.589375e+00	1.656124e+01	1.394786e+00	-3.292379e+00	-1.226170e+00	-1.981150e-01	0.000000e+00	1.574053e+00
4	9.348963e-01	4.000000e-01	-1.791355e-01	-6.939686e-02	1.382572e+00	1.146566e+00	1.139626e+01	4.126232e-01	-1.719351e+00	-9.231843e-01	-2.343656e-01	4.440892e-14	1.477764e+00
5	9.299071e-01	4.000000e-01	-2.411414e-02	-2.801883e-01	9.773223e-01	7.138129e-01	6.857940e+00	4.845101e-02	-1.410182e-01	-6.025570e-01	-2.623371e-01	1.110223e-14	1.398877e+00
6	3.443769e-01	4.000000e-01	-1.879348e-01	-1.862085e-01	5.724192e-01	2.877080e-01	2.690871e+00	3.076600e-01	1.441708e+00	-2.668540e-01	-2.838797e-01	0.000000e+00	1.334900e+00
7	4.737114e-01	4.000000e-01	-2.254802e-01	-2.411863e-01	6.684292e-01	1.109973e-04	-2.400763e-01	3.955518e-01	4.331923e-02	-1.696415e+00	-4.966814e-01	0.000000e+00	1.829385e-01
8	-3.791709e-01	4.000000e-01	-2.899326e-01	-2.112044e-01	4.609963e-01	1.104135e-04	-2.101002e-01	4.561015e-01	1.634487e+00	-5.648633e-01	-3.882263e-01	0.000000e+00	9.656159e-01
9	4.235662e-01	2.000000e-01	-2.655179e-01	-2.120294e-01	6.117640e-01	1.129042e-04	-2.109004e-01						
