RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	merit	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0								0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.207238e-01	1.000000e-01	-1.220000e+00	-1.220000e+00	2.090000e+00	2.090000e+00	1.968000e+01	2.550000e+00	-4.480000e+00	-1.480000e+00	-1.800000e-01	0.000000e+00	1.620000e+00
2	8.446983e-01	2.000000e-01	-1.125424e+00	1.301126e+00	2.011231e+00	1.696062e+00	1.826175e+01	2.442517e+00	-4.342958e+00	-1.758630e+00	-2.995762e-01	0.000000e+00	1.286250e+00
3	8.440331e-01	2.000000e-01	-9.955422e-01	1.259959e+00	1.811754e+00	1.297801e+00	1.423797e+01	2.318198e+00	-4.067417e+00	-2.314749e+00	-4.550632e-01	2.220446e-14	6.195785e-01
4	8.564002e-01	2.000000e-01	-9.041140e-01	1.249552e+00	1.552543e+00	1.002234e+00	1.127189e+01	2.214514e+00	-3.709397e+00	-2.801723e+00	-4.999706e-01	4.440892e-14	4.668134e-03
5	8.854274e-01	2.000000e-01	-8.414481e-01	1.202148e+00	1.250825e+00	7.502251e-01	8.704399e+00	2.103420e+00	-3.252805e+00	-3.192747e+00	-4.616103e-01	-4.440892e-14	-5.341820e-01
6	9.223877e-01	2.000000e-01	-7.980726e-01	1.103642e+00	9.327353e-01	5.289211e-01	6.392853e+00	1.962315e+00	-2.688171e+00	-3.457321e+00	-3.782378e-01	2.220446e-14	-9.669640e-01
7	8.180170e-01	4.000000e-01	-7.705592e-01	9.581982e-01	6.281896e-01	3.236509e-01	4.194707e+00	1.792490e+00	-2.024756e+00	-3.577281e+00	-2.913963e-01	-2.220446e-14	-1.271832e+00
8	-1.661767e+00	4.000000e-01	-4.559654e-01	4.680935e-02	4.832437e-01	3.192847e-09	4.680938e-02	8.682312e-01	-3.920417e-01	-2.603440e+00	-4.407531e-01	0.000000e+00	-6.684585e-01
9	2.365005e-01	2.000000e-01	-1.409435e-01	-2.929815e-01	6.870417e-01	-2.404612e-07	-2.929815e-01						
10	3.785351e-01	2.000000e-01	-3.010685e-01	1.098986e-01	5.456853e-01	-6.304812e-09	1.098986e-01	5.048029e-01	2.606510e-01	-1.851606e+00	-4.995417e-01	0.000000e+00	-4.055282e-02
11	-4.550299e-01	2.000000e-01	-2.696491e-01	4.187465e-02	5.046604e-01	-4.827845e-09	4.187465e-02	4.054786e-01	1.007425e+00	-1.191574e+00	-4.753202e-01	-5.551115e-15	4.643407e-01
12	8.000930e-01	1.000000e-01	-3.078812e-01	1.019514e-01	5.362624e-01	-8.089395e-09	1.019514e-01						
13	-4.406177e-01	1.000000e-01	-3.019570e-01	1.336063e-01	4.527401e-01	-6.689950e-09	1.336063e-01	4.570922e-01	1.405574e+00	-9.096810e-01	-4.489832e-01	0.000000e+00	6.588540e-01
14	3.830947e-01	5.000000e-02	-2.836315e-01	1.154101e-01	4.884522e-01	-8.193787e-09	1.154101e-01						
15	2.019888e-02	5.000000e-02	-2.920153e-01	1.386011e-01	4.695588e-01	-7.803495e-09	1.386011e-01	4.382414e-01	1.218153e+00	-1.073646e+00	-4.669837e-01	0.000000e+00	5.339365e-01
16	3.954847e-01	5.000000e-02	-2.875665e-01	1.373744e-01	4.838493e-01	-7.380683e-09	1.373744e-01	4.325722e-01	1.031530e+00	-1.238755e+00	-4.812221e-01	0.000000e+00	4.075868e-01
17	-4.875227e-01	5.000000e-02	-2.928671e-01	1.418382e-01	4.686002e-01	-6.545916e-09	1.418382e-01	4.395165e-01	1.219522e+00	-1.075630e+00	-4.673016e-01	0.000000e+00	5.314556e-01
18	3.698544e-01	2.500000e-02	-2.876243e-01	1.374140e-01	4.837818e-01	-7.392763e-09	1.374140e-01						
19	-4.401311e-02	2.500000e-02	-2.902008e-01	1.429435e-01	4.757653e-01	-7.234860e-09	1.429435e-01	4.354052e-01	1.126510e+00	-1.158603e+00	-4.749395e-01	0.000000e+00	4.677540e-01
20	5.793631e-01	1.250000e-02	-2.888074e-01	1.433737e-01	4.823964e-01	-7.051022e-09	1.433737e-01						
21	-1.162195e-01	1.250000e-02	-2.896664e-01	1.446043e-01	4.787737e-01	-6.975444e-09	1.446043e-01	4.350133e-01	1.080563e+00	-1.200829e+00	-4.784754e-01	0.000000e+00	4.349658e-01
22	5.285416e-01	6.250000e-03	-2.891795e-01	1.450813e-01	4.819592e-01	-6.897139e-09	1.450813e-01						
23	1.066085e+00	6.250000e-03	-2.894957e-01	1.453092e-01	4.802520e-01	-6.865188e-09	1.453092e-01	4.350787e-01	1.057552e+00	-1.221898e+00	-4.801369e-01	0.000000e+00	4.186285e-01
24	-8.285804e+00	1.250000e-02	-2.899037e-01	1.455450e-01	4.784981e-01	-6.776937e-09	1.455450e-01	4.353702e-01	1.080958e+00	-1.201366e+00	-4.785457e-01	0.000000e+00	4.342874e-01
