RTO_iter	u1	u2
0	-1.100000e+00	-1.000000e-01
1	-1.020278e+00	-1.603690e-01
2	-8.613567e-01	-2.817939e-01
3	-5.456754e-01	-5.274468e-01
4	-1.986879e-01	-7.264436e-01
5	1.480498e-01	-5.270121e-01
6	4.206783e-01	-2.343113e-01
7	3.163304e-01	-4.189304e-01
8	4.711604e-01	-2.923298e-01
9	3.997202e-01	-3.637384e-01
10	3.210730e-01	-4.255011e-01
11	3.616965e-01	-3.962070e-01
12	3.236223e-01	-4.286163e-01
13	3.820550e-01	-3.816970e-01
14	3.426165e-01	-4.124316e-01
15	3.624508e-01	-3.972110e-01
16	3.723016e-01	-3.895156e-01
17	3.772097e-01	-3.856461e-01
18	3.723656e-01	-3.895966e-01
19	3.675361e-01	-3.935650e-01
20	3.627194e-01	-3.975489e-01
21	3.651486e-01	-3.955837e-01
22	3.627413e-01	-3.975787e-01
23	3.639572e-01	-3.965994e-01
24	3.627548e-01	-3.976019e-01
25	3.615451e-01	-3.985956e-01
26	3.621554e-01	-3.981125e-01
27	3.615498e-01	-3.986159e-01
28	3.618459e-01	-3.983704e-01
29	3.619879e-01	-3.982537e-01
30	3.618195e-01	-3.983937e-01
