RTO_iter	u1	u2
0	3.500000e+00	-1.000000e+00
1	2.529857e+00	-1.242536e+00
2	6.212678e-01	-1.264929e+00
3	6.324644e-01	-3.106339e-01
4	2.408767e-01	-4.617697e-01
5	2.408749e-01	-4.617659e-01
6	2.408767e-01	-4.617696e-01
7	2.408749e-01	-4.617659e-01
8	3.894688e-01	-3.693975e-01
9	3.430184e-01	-4.106301e-01
10	3.867609e-01	-3.767040e-01
11	3.492491e-01	-4.068829e-01
12	3.492506e-01	-4.068858e-01
13	3.492499e-01	-4.068843e-01
14	3.627127e-01	-3.966602e-01
15	3.708243e-01	-3.909981e-01
16	3.643336e-01	-3.961796e-01
17	3.643314e-01	-3.961754e-01
18	3.643322e-01	-3.961766e-01
19	3.647166e-01	-3.958689e-01
20	3.677584e-01	-3.934202e-01
21	3.692830e-01	-3.922016e-01
22	3.700422e-01	-3.915911e-01
23	3.704184e-01	-3.912871e-01
24	3.706013e-01	-3.911388e-01
25	3.706845e-01	-3.910709e-01
26	3.707168e-01	-3.910445e-01
27	3.707286e-01	-3.910399e-01
28	3.707298e-01	-3.910339e-01
29	3.707305e-01	-3.910333e-01
30	3.707307e-01	-3.910331e-01
