RTO_iter	cost	con	merit
1	1.750000e+00	-2.500000e-01	1.750000e+00
2	3.927979e-01	-4.651583e-01	3.927979e-01
3	1.384748e-01	2.527072e-02	3.911820e-01
4	1.384726e-01	2.527756e-02	3.912482e-01
5	1.996125e-01	-1.362806e-01	1.996125e-01
6	1.449292e-01	1.531023e-03	1.602395e-01
7	1.453907e-01	5.856354e-05	1.459764e-01
8	1.453575e-01	2.236492e-04	1.475940e-01
9	1.453846e-01	6.247932e-05	1.460094e-01
10	1.453596e-01	1.901022e-04	1.472606e-01
11	1.453803e-01	6.878267e-05	1.460682e-01
12	1.453614e-01	1.671059e-04	1.470325e-01
13	1.453773e-01	7.551935e-05	1.461325e-01
14	1.453630e-01	1.510688e-04	1.468736e-01
15	1.453751e-01	8.177526e-05	1.461929e-01
16	1.453642e-01	1.397103e-04	1.467613e-01
17	1.453735e-01	8.719467e-05	1.462455e-01
18	1.453653e-01	1.315550e-04	1.466808e-01
19	1.453724e-01	9.170336e-05	1.462894e-01
20	1.453661e-01	1.256306e-04	1.466224e-01
21	1.453715e-01	9.535927e-05	1.463251e-01
22	1.453667e-01	1.212845e-04	1.465795e-01
23	1.453708e-01	9.827304e-05	1.463536e-01
24	1.453672e-01	1.180705e-04	1.465479e-01
25	1.453703e-01	1.005677e-04	1.463760e-01
26	1.453676e-01	1.156780e-04	1.465244e-01
27	1.453700e-01	1.023594e-04	1.463936e-01
28	1.453679e-01	1.138879e-04	1.465067e-01
29	1.453697e-01	1.037498e-04	1.464072e-01
30	1.453681e-01	1.125429e-04	1.464935e-01
