RTO_iter	u1	u2
0	3.500000e+00	-2.500000e+00
1	2.551317e+00	-2.183772e+00
2	1.091886e+00	-1.275658e+00
3	6.378292e-01	-5.459431e-01
4	3.492289e-01	-4.090441e-01
5	3.768184e-01	-3.861446e-01
6	3.648696e-01	-3.959556e-01
7	3.700064e-01	-3.917185e-01
8	3.677911e-01	-3.935421e-01
9	3.687452e-01	-3.927561e-01
10	3.683341e-01	-3.930947e-01
11	3.685112e-01	-3.929488e-01
12	3.684349e-01	-3.930116e-01
13	3.684678e-01	-3.929845e-01
14	3.684536e-01	-3.929962e-01
15	3.684597e-01	-3.929912e-01
16	3.684571e-01	-3.929934e-01
17	3.684582e-01	-3.929924e-01
18	3.684577e-01	-3.929928e-01
19	3.684579e-01	-3.929927e-01
20	3.684578e-01	-3.929927e-01
21	3.684579e-01	-3.929927e-01
22	3.684579e-01	-3.929927e-01
23	3.684579e-01	-3.929927e-01
24	3.684579e-01	-3.929927e-01
25	3.684579e-01	-3.929927e-01
