RTO_iter	cost	con
1	9.750000e+00	-3.500000e+00
2	4.802718e+00	-2.470497e+00
3	2.002351e+00	-1.462611e+00
4	5.322875e-01	-6.041250e-01
5	1.417979e+00	4.667012e-09
6	1.602652e-01	5.636718e-10
7	4.220517e-01	4.801087e-09
8	1.846968e-01	3.239994e-09
9	1.467905e-01	2.303587e-09
10	1.602652e-01	2.348652e-09
11	1.472122e-01	2.587284e-09
12	1.454105e-01	7.366245e-09
13	1.467905e-01	7.391035e-09
14	1.457012e-01	2.734728e-09
15	1.454562e-01	2.697975e-09
16	1.454085e-01	2.679632e-09
17	1.454563e-01	2.708301e-09
18	1.454262e-01	2.699589e-09
19	1.454158e-01	2.694668e-09
20	1.454118e-01	2.692432e-09
21	1.454101e-01	2.691332e-09
22	1.454094e-01	2.690839e-09
23	1.454105e-01	2.691989e-09
24	1.454102e-01	2.691801e-09
25	1.454110e-01	2.692654e-09
26	1.454119e-01	2.693507e-09
27	1.454128e-01	7.349657e-09
28	1.454137e-01	7.349969e-09
29	1.454147e-01	7.350278e-09
30	1.454158e-01	7.350587e-09
