RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0							0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	4.958406e-01	1.000000e+00	-5.000000e+00	-5.000000e+00	0.000000e+00	0.000000e+00	8.000000e+00	7.020000e+00	-1.980000e+00	-2.000000e+00	0.000000e+00	2.000000e+00
2	2.420827e-01	1.000000e+00	-2.013332e+00	-1.020066e+00	1.013267e+00	-9.999781e-01	3.020020e+00	3.013465e+00	-3.006468e+00	-2.013245e+00	0.000000e+00	2.000000e+00
3	-6.456472e-02	1.000000e+00	-5.391222e-01	-1.143701e+00	1.461314e+00	9.169133e-09	1.025238e+00	-4.204738e-01	-2.830081e+00	-1.461314e+00	0.000000e+00	2.000000e+00
4	3.553179e-01	5.000000e-01	-7.070338e-01	-1.829169e+00	1.707863e-01	2.452579e-09						
5	-1.113125e+00	5.000000e-01	-2.971700e-01	-4.605575e-01	7.212384e-01	1.813872e-09	4.469161e-01	1.294612e+00	-1.013669e+00	-7.212384e-01	0.000000e+00	2.000000e+00
6	-5.953570e-01	2.500000e-01	-5.391222e-01	-1.524394e-01	1.461314e+00	4.975838e-09						
7	-1.174992e-01	1.250000e-01	-3.283045e-01	4.748855e-02	1.055647e+00	3.580736e-09						
8	2.657016e-01	6.250000e-02	-2.920695e-01	1.117531e-01	8.813879e-01	2.866729e-09						
9	-1.090195e+00	6.250000e-02	-2.896088e-01	1.341132e-01	7.997260e-01	2.529290e-09	4.352012e-01	1.060795e+00	-1.219288e+00	-7.997260e-01	0.000000e+00	2.000000e+00
10	-4.657569e-01	3.125000e-02	-2.971700e-01	1.417824e-01	7.212384e-01	2.504367e-09						
11	4.726681e-01	1.562500e-02	-2.921530e-01	1.445333e-01	7.601070e-01	2.971290e-09						
12	-1.680279e-01	1.562500e-02	-2.905699e-01	1.452734e-01	7.798202e-01	3.116879e-09	4.360116e-01	1.118929e+00	-1.167431e+00	-7.798202e-01	0.000000e+00	2.000000e+00
13	6.097521e-02	7.812500e-03	-2.896088e-01	1.445443e-01	7.997260e-01	2.714621e-09						
14	-8.874662e-01	7.812500e-03	-2.900114e-01	1.450455e-01	7.897493e-01	2.677606e-09	4.354288e-01	1.089832e+00	-1.193322e+00	-7.897493e-01	0.000000e+00	2.000000e+00
15	-7.322133e-01	3.906250e-03	-2.896088e-01	1.452203e-01	7.997271e-01	2.734769e-09						
16	-6.353269e-01	1.953125e-03	-2.897905e-01	1.453320e-01	7.947333e-01	2.716692e-09						
17	-5.808173e-01	9.765625e-04	-2.898959e-01	1.453780e-01	7.922422e-01	7.354471e-09						
18	-5.519557e-01	4.882812e-04	-2.899522e-01	1.453985e-01	7.910002e-01	2.703097e-09						
19	-5.374843e-01	2.441406e-04	-2.899810e-01	1.454080e-01	7.903842e-01	2.700886e-09						
20	-5.308402e-01	1.220703e-04	-2.899952e-01	1.454125e-01	7.900853e-01	2.699771e-09						
21	-5.282752e-01	6.103516e-05	-2.900017e-01	1.454145e-01	7.899502e-01	2.699280e-09						
22	-5.274778e-01	3.051758e-05	-2.900042e-01	1.454153e-01	7.898984e-01	2.699091e-09						
23	1.000000e+00	1.525879e-05	-2.900049e-01	1.454155e-01	7.898824e-01	2.699033e-09						
24	-5.548095e-01	1.525879e-05	-2.900052e-01	1.454156e-01	7.898780e-01	2.699017e-09	4.354236e-01	1.089456e+00	-1.193657e+00	-7.898780e-01	0.000000e+00	2.000000e+00
25	-5.547548e-01	7.629395e-06	-2.899990e-01	1.454166e-01	7.900068e-01	2.699750e-09						
26	-5.547410e-01	3.814697e-06	-2.899990e-01	1.454166e-01	7.900057e-01	2.699746e-09						
27	-5.547376e-01	1.907349e-06	-2.899990e-01	1.454166e-01	7.900054e-01	2.699745e-09						
28	-5.547367e-01	9.536743e-07	-2.899990e-01	1.454166e-01	7.900053e-01	2.699744e-09						
29	-5.547557e-01	4.768372e-07	-2.899990e-01	1.454166e-01	7.900053e-01	2.699744e-09						
30		2.384186e-07	-2.899990e-01	1.454166e-01	7.900053e-01	2.699744e-09						
