RTO_iter	u1	u2
0	5.000000e-01	-1.500000e+00
1	1.337355e+00	-9.533408e-01
2	3.422692e-01	-8.543270e-01
3	1.286749e+00	-5.257580e-01
4	7.331931e-01	-5.425923e-01
5	2.338865e-01	-5.162670e-01
6	6.936065e-01	-3.196518e-01
7	4.213156e-01	-3.508271e-01
8	2.338853e-01	-5.162656e-01
9	3.246668e-01	-4.300990e-01
10	4.213149e-01	-3.508263e-01
11	3.723567e-01	-3.897018e-01
12	3.246721e-01	-4.301051e-01
13	3.483434e-01	-4.097000e-01
14	3.603061e-01	-3.996482e-01
15	3.663175e-01	-3.946588e-01
16	3.693313e-01	-3.921747e-01
17	3.708439e-01	-3.909410e-01
18	3.693334e-01	-3.921831e-01
19	3.678237e-01	-3.934262e-01
20	3.663154e-01	-3.946707e-01
21	3.670671e-01	-3.940512e-01
22	3.663120e-01	-3.946782e-01
23	3.655535e-01	-3.953008e-01
24	3.659261e-01	-3.949931e-01
25	3.661063e-01	-3.948432e-01
26	3.661877e-01	-3.947748e-01
27	3.662187e-01	-3.947485e-01
28	3.662313e-01	-3.947440e-01
29	3.662339e-01	-3.947418e-01
30	3.662345e-01	-3.947413e-01
