RTO_iter	cost	con	merit
1	1.750000e+00	-2.500000e-01	1.750000e+00
2	1.422422e+00	-1.335178e+00	1.422422e+00
3	5.546130e-01	-3.210485e-01	5.546130e-01
4	1.255626e+00	-1.061844e+00	1.255626e+00
5	4.341536e-01	-5.239713e-01	4.341536e-01
6	2.005839e-01	-9.659509e-09	2.005839e-01
7	3.615223e-01	-2.308074e-01	3.615223e-01
8	1.527949e-01	-4.686526e-08	1.527949e-01
9	2.005839e-01	6.366148e-10	2.005839e-01
10	1.508144e-01	-1.660801e-09	1.508144e-01
11	1.527949e-01	-1.048498e-08	1.527949e-01
12	1.454442e-01	-6.498120e-09	1.454442e-01
13	1.508144e-01	-2.688036e-09	1.508144e-01
14	1.465271e-01	-3.528363e-09	1.465271e-01
15	1.455867e-01	-4.065683e-09	1.455867e-01
16	1.454159e-01	-4.234972e-09	1.454159e-01
17	1.455867e-01	-4.174824e-09	1.455867e-01
18	1.454764e-01	-4.301024e-09	1.454764e-01
19	1.454400e-01	-4.365537e-09	1.454400e-01
20	1.454265e-01	-4.398250e-09	1.454265e-01
21	1.454209e-01	-4.413996e-09	1.454209e-01
22	1.454185e-01	-4.421822e-09	1.454185e-01
23	1.454174e-01	-4.425357e-09	1.454174e-01
24	1.454170e-01	-4.426716e-09	1.454170e-01
25	1.454169e-01	-4.427137e-09	1.454169e-01
