RTO_iter	u1	u2
0	3.500000e+00	-1.000000e+00
1	2.530429e+00	-1.244809e+00
2	1.530554e+00	-1.260659e+00
3	6.481727e-01	-7.901246e-01
4	1.484339e-01	7.605159e-02
5	3.983033e-01	-3.570365e-01
6	-1.984959e-02	-6.311681e-01
7	1.972265e-01	-5.055900e-01
8	3.023137e-01	-4.371052e-01
9	3.539074e-01	-4.010280e-01
10	4.035159e-01	-3.630116e-01
11	3.543050e-01	-4.015413e-01
12	3.794503e-01	-3.829469e-01
13	3.553314e-01	-4.028178e-01
14	3.676680e-01	-3.932098e-01
15	3.556561e-01	-4.032030e-01
16	3.617521e-01	-3.983134e-01
17	3.557549e-01	-4.033211e-01
18	3.587868e-01	-4.008580e-01
19	3.618332e-01	-3.984111e-01
20	3.557586e-01	-4.033245e-01
21	3.678382e-01	-3.934133e-01
22	3.434160e-01	-4.129102e-01
23	3.556633e-01	-4.032073e-01
24	3.617556e-01	-3.983171e-01
25	3.647963e-01	-3.958660e-01
26	3.663187e-01	-3.946444e-01
27	3.670766e-01	-3.940326e-01
28	3.674518e-01	-3.937281e-01
29	3.676336e-01	-3.935798e-01
30	3.677153e-01	-3.935122e-01
