RTO_iter	cost	con
1	9.750000e+00	-3.500000e+00
2	4.802718e+00	-2.470497e+00
3	2.002351e+00	-1.462611e+00
4	5.322875e-01	-6.041250e-01
5	3.910512e-02	1.009453e+00
6	1.439118e-01	1.509874e-02
7	3.026535e-01	-3.414045e-01
8	1.389425e-01	1.936150e-02
9	2.128270e-01	-1.703996e-01
10	1.394535e-01	1.893378e-02
11	1.739051e-01	-7.780672e-02
12	1.452347e-01	6.377242e-03
13	1.559290e-01	-2.988151e-02
14	1.503315e-01	1.514776e-03
15	1.462724e-01	2.483139e-05
16	1.473110e-01	-5.522781e-03
17	1.465767e-01	8.953282e-04
18	1.456603e-01	2.322495e-04
19	1.454513e-01	3.996439e-05
20	1.454138e-01	-2.675689e-05
21	1.454774e-01	1.459085e-04
22	1.454204e-01	6.087416e-05
23	1.454074e-01	2.733215e-05
24	1.454048e-01	1.283475e-05
25	1.454044e-01	6.195672e-06
26	1.454045e-01	3.103341e-06
27	1.454046e-01	1.731084e-06
28	1.454046e-01	1.207495e-06
29	1.454046e-01	1.045049e-06
30	1.454046e-01	1.001241e-06
