RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	cost_eps	u1_cost_lam	u2_cost_lam	con_eps	u1_con_lam	u2_con_lam
0							0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	7.473888e-01	1.000000e+00	-1.250000e+01	-1.250000e+01	-2.750000e+00	-2.750000e+00	2.675000e+01	1.452000e+01	5.520000e+00	1.500000e+00	0.000000e+00	4.020000e+00
2	6.489361e-01	1.000000e+00	-6.985201e+00	4.476130e+00	-1.643140e+00	-2.214107e+00	1.393032e+01	1.057647e+01	2.602245e+00	-2.987206e-02	0.000000e+00	1.959336e+00
3	4.527315e-01	1.000000e+00	-3.266381e+00	3.567914e-02	-9.598222e-01	-1.862553e+00	5.727715e+00	6.549832e+00	-7.499042e-02	-4.969036e-01	-2.220446e-14	1.773885e-01
4	-1.000000e+00	1.000000e+00	-1.144026e+00	-1.708329e+00	-3.134116e-01	-8.576788e-01	1.717621e+00	2.428046e+00	-2.106705e+00	-3.963440e-01	0.000000e+00	-8.906308e-01
5	5.166357e-01	5.000000e-01	-1.064808e+00	-1.061100e+00	1.384226e-01	6.471422e-09						
6	-1.000000e+00	5.000000e-01	-3.297842e-01	-2.159045e-01	4.333676e-01	-2.318120e-01	4.954960e-01	1.135467e+00	-1.297918e+00	-4.889914e-01	0.000000e+00	3.167634e-01
7	-1.000000e+00	2.500000e-01	-4.174906e-01	-1.795199e-01	3.538647e-01	5.298179e-09						
8	-1.000000e+00	1.250000e-01	-3.268835e-01	6.338405e-02	4.238788e-01	4.311341e-09						
9	-1.000000e+00	6.250000e-02	-2.986462e-01	1.232261e-01	4.543098e-01	3.726846e-09						
10	9.270012e-01	3.125000e-02	-2.909194e-01	1.389135e-01	4.695765e-01	3.282457e-09						
11	-1.000000e+00	6.250000e-02	-2.949140e-01	1.467214e-01	4.731652e-01	-8.162124e-03	4.430217e-01	1.080549e+00	-1.220916e+00	-4.806405e-01	0.000000e+00	4.135431e-01
12	-1.000000e+00	3.125000e-02	-2.894036e-01	1.408892e-01	4.952183e-01	2.475642e-09						
13	-1.000000e+00	1.562500e-02	-2.888784e-01	1.443123e-01	4.871771e-01	2.586192e-09						
14	-1.000000e+00	7.812500e-03	-2.907041e-01	1.452898e-01	4.751893e-01	2.841809e-09						
15	9.938258e-01	3.906250e-03	-2.894864e-01	1.454322e-01	4.807536e-01	2.700395e-09						
16	-1.000000e+00	7.812500e-03	-2.906890e-01	1.459644e-01	4.780709e-01	-1.330215e-03	4.366665e-01	1.073516e+00	-1.211436e+00	-4.794431e-01	0.000000e+00	4.255308e-01
17	-1.000000e+00	3.906250e-03	-2.893572e-01	1.453885e-01	4.812446e-01	2.634127e-09						
18	-1.000000e+00	1.953125e-03	-2.895484e-01	1.454660e-01	4.801825e-01	2.641970e-09						
19	9.747032e-01	9.765625e-04	-2.896568e-01	1.454923e-01	4.796288e-01	2.627756e-09						
20	-1.000000e+00	1.953125e-03	-2.897282e-01	1.455039e-01	4.792800e-01	2.507047e-09	4.352441e-01	1.070285e+00	-1.210806e+00	-4.792873e-01	0.000000e+00	4.270644e-01
21	-1.000000e+00	9.765625e-04	-2.896150e-01	1.454978e-01	4.798139e-01	2.655070e-09						
22	-1.000000e+00	4.882812e-04	-2.896682e-01	1.455066e-01	4.795509e-01	2.658906e-09						
23	-1.000000e+00	2.441406e-04	-2.896951e-01	1.455102e-01	4.794204e-01	2.661186e-09						
24	-1.000000e+00	1.220703e-04	-2.897083e-01	1.455118e-01	4.793570e-01	2.661609e-09						
25		6.103516e-05	-2.897143e-01	1.455124e-01	4.793283e-01	2.661165e-09						
