RTO_iter	u1	u2
0	5.000000e-01	-1.500000e+00
1	6.900219e-01	-5.182201e-01
2	-2.445204e-01	-8.740721e-01
3	1.915927e-01	-5.578220e-01
4	4.555689e-01	-4.314343e-01
5	2.198725e-01	-5.147845e-01
6	3.307376e-01	-4.249417e-01
7	4.226474e-01	-3.402211e-01
8	3.774973e-01	-3.834714e-01
9	3.542958e-01	-4.044093e-01
10	3.425524e-01	-4.147163e-01
11	3.366468e-01	-4.198304e-01
12	3.485043e-01	-4.096544e-01
13	3.425763e-01	-4.147425e-01
14	3.544775e-01	-4.046178e-01
15	3.485275e-01	-4.096802e-01
16	3.604715e-01	-3.996059e-01
17	3.545000e-01	-4.046429e-01
18	3.664860e-01	-3.946187e-01
19	3.604934e-01	-3.996306e-01
20	3.725206e-01	-3.896558e-01
21	3.603174e-01	-3.994145e-01
22	3.664278e-01	-3.945469e-01
23	3.694757e-01	-3.921047e-01
24	3.709971e-01	-3.908821e-01
25	3.717559e-01	-3.902714e-01
