RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	merit	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
0													2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1	9.872545e-01	1.000000e-01	-1.992171e+02	-1.992171e+02	2.625780e-03	2.625780e-03	1.113367e-01	4.560977e-01	2.516545e-01	9.828534e-02	8.262578e-02	-1.729593e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	1.216918e+02	-3.721747e+01	4.812895e+01	-1.797295e+01	-3.538834e-02	-3.728292e-03	1.692467e-03	-1.715513e-03
2	-2.999702e+00	2.000000e-01	-1.720323e+02	-2.112553e+02	4.877629e-02	1.088985e-04	1.004946e-01	3.970765e-01	2.777187e-01	9.593392e-02	1.287763e-01	-2.101663e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.750579e+01	-5.374624e+01	3.820450e+01	-1.770553e+01	-4.867006e-02	-3.214069e-03	1.148226e-03	-1.710477e-03
3	-2.999721e+00	1.000000e-01	-1.712322e+02	-2.165487e+02	4.826139e-02	1.063130e-04	1.434604e-01	3.613878e-01	2.730961e-01	9.379427e-02	1.282614e-01	-2.154856e+00												
4	-1.599854e+00	5.000000e-02	-1.712322e+02	-2.165487e+02	4.826139e-02	1.063171e-04	1.434604e-01	3.613877e-01	2.730961e-01	9.379427e-02	1.282614e-01	-2.154856e+00												
5	-3.471602e-01	2.500000e-02	-1.777710e+02	-2.139224e+02	4.771271e-02	1.069967e-04	1.274663e-01	3.743849e-01	2.753380e-01	9.509811e-02	1.277127e-01	-2.128524e+00												
6	3.199012e-01	1.250000e-02	-1.775742e+02	-2.118202e+02	4.794221e-02	1.029933e-04	1.143853e-01	3.852614e-01	2.767057e-01	9.570543e-02	1.279422e-01	-2.107902e+00												
7	2.166162e-01	1.250000e-02	-1.755628e+02	-2.107013e+02	4.827585e-02	1.063346e-04	1.074899e-01	3.910820e-01	2.772739e-01	9.587833e-02	1.282759e-01	-2.096379e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.492267e+01	-5.081719e+01	3.840034e+01	-1.794299e+01	-4.811206e-02	-2.311126e-03	8.278367e-04	-1.734793e-03
8	-2.824473e-01	1.250000e-02	-1.779511e+02	-2.108193e+02	4.770679e-02	1.088547e-04	1.144076e-01	3.855324e-01	2.766148e-01	9.573847e-02	1.277068e-01	-2.097307e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.265859e+01	-4.802256e+01	3.851354e+01	-1.818874e+01	-4.754970e-02	-1.518855e-03	5.247070e-04	-1.752512e-03
9	5.949692e-01	6.250000e-03	-1.756601e+02	-2.107093e+02	4.824977e-02	1.088542e-04	1.075800e-01	3.910078e-01	2.772749e-01	9.588751e-02	1.282498e-01	-2.096207e+00												
10	2.302578e-01	6.250000e-03	-1.768589e+02	-2.106079e+02	4.797010e-02	1.064930e-04	1.108578e-01	3.884249e-01	2.769359e-01	9.581127e-02	1.279701e-01	-2.095430e+00	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-3.369149e+01	-4.944937e+01	3.848581e+01	-1.808170e+01	-4.784893e-02	-1.918130e-03	6.815811e-04	-1.744591e-03
