RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	merit
1	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02	-7.752530e-01
2	-2.095381e+02	1.062314e-04	1.195891e-01	4.292638e-01	2.515332e-01	9.906450e-02	8.010623e-02	-2.084758e+00
3	-2.079415e+02	2.049309e-03	1.579565e-01	3.884168e-01	2.480302e-01	9.666531e-02	8.204931e-02	-1.874484e+00
4	-2.079415e+02	2.049314e-03	1.579565e-01	3.884168e-01	2.480302e-01	9.666531e-02	8.204931e-02	-1.874484e+00
5	-2.106302e+02	9.156364e-04	1.436272e-01	4.034181e-01	2.495934e-01	9.782482e-02	8.091564e-02	-2.014738e+00
6	-2.109517e+02	3.279439e-04	1.319911e-01	4.159246e-01	2.505910e-01	9.851954e-02	8.032794e-02	-2.076723e+00
7	-2.104854e+02	1.637884e-04	1.258424e-01	4.225325e-01	2.510778e-01	9.881766e-02	8.016379e-02	-2.088475e+00
8	-2.106097e+02	1.570863e-04	1.320083e-01	4.162152e-01	2.504507e-01	9.850630e-02	8.015709e-02	-2.090389e+00
9	-2.104837e+02	1.609177e-04	1.259149e-01	4.224386e-01	2.510829e-01	9.882115e-02	8.016092e-02	-2.088745e+00
10	-2.105504e+02	1.211651e-04	1.288599e-01	4.195308e-01	2.507282e-01	9.865702e-02	8.012117e-02	-2.093388e+00
11	-2.105374e+02	1.157061e-04	1.317823e-01	4.165967e-01	2.503955e-01	9.849252e-02	8.011571e-02	-2.093803e+00
12	-2.105480e+02	1.209314e-04	1.286512e-01	4.198092e-01	2.507111e-01	9.864859e-02	8.012093e-02	-2.093386e+00
13	-2.105487e+02	1.106114e-04	1.301958e-01	4.182509e-01	2.505419e-01	9.856739e-02	8.011061e-02	-2.094426e+00
14	-2.105275e+02	1.103715e-04	1.286972e-01	4.197752e-01	2.507014e-01	9.864725e-02	8.011037e-02	-2.094238e+00
15	-2.105299e+02	1.037069e-04	1.294048e-01	4.190945e-01	2.506047e-01	9.860109e-02	8.010371e-02	-2.094928e+00
16	-2.105341e+02	1.027642e-04	1.301593e-01	4.183287e-01	2.505236e-01	9.856089e-02	8.010276e-02	-2.095064e+00
17	-2.105302e+02	1.037229e-04	1.293661e-01	4.191528e-01	2.505975e-01	9.859752e-02	8.010372e-02	-2.094929e+00
18	-2.105457e+02	1.085376e-04	1.298489e-01	4.186628e-01	2.505442e-01	9.856927e-02	8.010854e-02	-2.094603e+00
19	-2.105353e+02	1.025441e-04	1.305019e-01	4.180301e-01	2.504576e-01	9.852796e-02	8.010254e-02	-2.095098e+00
20	-2.105380e+02	1.104676e-04	1.289680e-01	4.195845e-01	2.506221e-01	9.860758e-02	8.011047e-02	-2.094334e+00
21	-2.105405e+02	1.159392e-04	1.319106e-01	4.166034e-01	2.503004e-01	9.844489e-02	8.011594e-02	-2.093811e+00
22	-2.105478e+02	1.086943e-04	1.304981e-01	4.180234e-01	2.504627e-01	9.852843e-02	8.010869e-02	-2.094608e+00
23	-2.105380e+02	1.104821e-04	1.289644e-01	4.195894e-01	2.506218e-01	9.860740e-02	8.011048e-02	-2.094332e+00
24	-2.105363e+02	1.037254e-04	1.297069e-01	4.188544e-01	2.505326e-01	9.856506e-02	8.010373e-02	-2.094991e+00
25	-2.105368e+02	1.026865e-04	1.304300e-01	4.181285e-01	2.504501e-01	9.852418e-02	8.010269e-02	-2.095099e+00
26	-2.105365e+02	1.037198e-04	1.296413e-01	4.189429e-01	2.505266e-01	9.856208e-02	8.010372e-02	-2.094993e+00
27	-2.105493e+02	1.087377e-04	1.300302e-01	4.185357e-01	2.504909e-01	9.854253e-02	8.010874e-02	-2.094620e+00
28	-2.105372e+02	1.023663e-04	1.305609e-01	4.180426e-01	2.504083e-01	9.850335e-02	8.010237e-02	-2.095136e+00
29	-2.105419e+02	1.104048e-04	1.290426e-01	4.195764e-01	2.505739e-01	9.858350e-02	8.011040e-02	-2.094379e+00
30	-2.105405e+02	1.159785e-04	1.319889e-01	4.165900e-01	2.502527e-01	9.842104e-02	8.011598e-02	-2.093807e+00
31	-2.105498e+02	1.087195e-04	1.305765e-01	4.180096e-01	2.504152e-01	9.850467e-02	8.010872e-02	-2.094626e+00
32	-2.105421e+02	1.104381e-04	1.290533e-01	4.195619e-01	2.505750e-01	9.858400e-02	8.011044e-02	-2.094377e+00
33	-2.105392e+02	1.037234e-04	1.297899e-01	4.188322e-01	2.504868e-01	9.854215e-02	8.010372e-02	-2.095020e+00
34	-2.105386e+02	1.026864e-04	1.305123e-01	4.181071e-01	2.504044e-01	9.850129e-02	8.010269e-02	-2.095117e+00
35	-2.105392e+02	1.037135e-04	1.297294e-01	4.189122e-01	2.504822e-01	9.853988e-02	8.010371e-02	-2.095021e+00
36	-2.105516e+02	1.087468e-04	1.301129e-01	4.185111e-01	2.504466e-01	9.852040e-02	8.010875e-02	-2.094641e+00
37	-2.105349e+02	1.035895e-04	1.294158e-01	4.192182e-01	2.505233e-01	9.856046e-02	8.010359e-02	-2.094990e+00
38	-2.105391e+02	1.028217e-04	1.301876e-01	4.184283e-01	2.504443e-01	9.852123e-02	8.010282e-02	-2.095109e+00
39	-2.105352e+02	1.036661e-04	1.294418e-01	4.191836e-01	2.505254e-01	9.856146e-02	8.010367e-02	-2.094985e+00
40	-2.105496e+02	1.087562e-04	1.297901e-01	4.188291e-01	2.504872e-01	9.854069e-02	8.010876e-02	-2.094621e+00
