RTO_iter	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
2	-2.058307e+02	5.406684e-04	1.113360e-01	4.301758e-01	2.567994e-01	1.015528e-01	8.054067e-02
3	-2.042569e+02	4.652333e-03	1.720950e-01	3.678551e-01	2.494550e-01	9.651008e-02	8.465233e-02
4	-1.881252e+02	3.481894e-03	7.812485e-02	4.719163e-01	2.544275e-01	9.938646e-02	8.348189e-02
5	-2.241462e+02	1.403966e-02	1.550889e-01	3.701331e-01	2.577254e-01	9.751613e-02	9.403966e-02
6	-1.824775e+02	7.516027e-03	6.998143e-02	4.767551e-01	2.559843e-01	9.882015e-02	8.751603e-02
7	-2.291626e+02	1.638152e-02	1.486287e-01	3.734174e-01	2.597157e-01	9.773066e-02	9.638152e-02
8	-1.802870e+02	9.169745e-03	6.736247e-02	4.777739e-01	2.566814e-01	9.861747e-02	8.916975e-02
9	-2.306778e+02	1.714348e-02	1.464511e-01	3.746027e-01	2.603430e-01	9.779032e-02	9.714348e-02
10	-1.795249e+02	9.732267e-03	6.652685e-02	4.780510e-01	2.569197e-01	9.854912e-02	8.973227e-02
11	-2.311481e+02	1.738794e-02	1.457489e-01	3.749905e-01	2.605418e-01	9.780824e-02	9.738794e-02
12	-1.792783e+02	9.913499e-03	6.626341e-02	4.781329e-01	2.569967e-01	9.852720e-02	8.991350e-02
13	-2.312949e+02	1.746511e-02	1.455267e-01	3.751138e-01	2.606043e-01	9.781377e-02	9.746511e-02
14	-1.792002e+02	9.970802e-03	6.618071e-02	4.781580e-01	2.570211e-01	9.852028e-02	8.997080e-02
15	-2.313409e+02	1.748934e-02	1.454569e-01	3.751527e-01	2.606239e-01	9.781550e-02	9.748934e-02
16	-1.791757e+02	9.988807e-03	6.615478e-02	4.781659e-01	2.570288e-01	9.851811e-02	8.998881e-02
17	-2.313553e+02	1.749694e-02	1.454350e-01	3.751648e-01	2.606300e-01	9.781604e-02	9.749694e-02
18	-1.791680e+02	9.994454e-03	6.614666e-02	4.781683e-01	2.570312e-01	9.851743e-02	8.999445e-02
19	-2.313598e+02	1.749932e-02	1.454281e-01	3.751687e-01	2.606320e-01	9.781621e-02	9.749932e-02
20	-1.791656e+02	9.996223e-03	6.614411e-02	4.781691e-01	2.570319e-01	9.851722e-02	8.999622e-02
21	-2.313612e+02	1.750007e-02	1.454260e-01	3.751699e-01	2.606326e-01	9.781626e-02	9.750007e-02
22	-1.791648e+02	9.996778e-03	6.614331e-02	4.781693e-01	2.570322e-01	9.851715e-02	8.999678e-02
23	-2.313617e+02	1.750030e-02	1.454253e-01	3.751702e-01	2.606328e-01	9.781628e-02	9.750030e-02
24	-1.791646e+02	9.996952e-03	6.614306e-02	4.781694e-01	2.570322e-01	9.851713e-02	8.999695e-02
25	-2.313618e+02	1.750037e-02	1.454251e-01	3.751704e-01	2.606328e-01	9.781628e-02	9.750037e-02
26	-1.791645e+02	9.997006e-03	6.614299e-02	4.781694e-01	2.570322e-01	9.851712e-02	8.999701e-02
27	-2.313618e+02	1.750040e-02	1.454250e-01	3.751704e-01	2.606328e-01	9.781628e-02	9.750040e-02
28	-1.791645e+02	9.997023e-03	6.614296e-02	4.781694e-01	2.570323e-01	9.851712e-02	8.999702e-02
29	-2.313619e+02	1.750040e-02	1.454250e-01	3.751704e-01	2.606328e-01	9.781629e-02	9.750040e-02
30	-1.791645e+02	9.997029e-03	6.614295e-02	4.781694e-01	2.570323e-01	9.851712e-02	8.999703e-02
31	-2.313619e+02	1.750040e-02	1.454250e-01	3.751704e-01	2.606328e-01	9.781629e-02	9.750040e-02
32	-1.791645e+02	9.997030e-03	6.614295e-02	4.781694e-01	2.570323e-01	9.851712e-02	8.999703e-02
33	-2.313619e+02	1.750041e-02	1.454250e-01	3.751704e-01	2.606328e-01	9.781629e-02	9.750041e-02
34	-1.791645e+02	9.997031e-03	6.614295e-02	4.781694e-01	2.570323e-01	9.851712e-02	8.999703e-02
35	-2.313619e+02	1.750041e-02	1.454250e-01	3.751704e-01	2.606328e-01	9.781629e-02	9.750041e-02
36	-1.791645e+02	9.997031e-03	6.614295e-02	4.781694e-01	2.570323e-01	9.851712e-02	8.999703e-02
37	-2.313619e+02	1.750041e-02	1.454250e-01	3.751704e-01	2.606328e-01	9.781629e-02	9.750041e-02
38	-1.791645e+02	9.997031e-03	6.614295e-02	4.781694e-01	2.570323e-01	9.851712e-02	8.999703e-02
39	-2.313619e+02	1.750041e-02	1.454250e-01	3.751704e-01	2.606328e-01	9.781629e-02	9.750041e-02
40	-1.791645e+02	9.997031e-03	6.614295e-02	4.781694e-01	2.570323e-01	9.851712e-02	8.999703e-02
