RTO_iter	Fa	Fb	Tr
0	3.600000e+00	1.000000e+01	8.500000e+01
1	3.000000e+00	8.208582e+00	9.156371e+01
2	4.500000e+00	8.798731e+00	8.938462e+01
3	3.952530e+00	8.318965e+00	8.872641e+01
4	3.452209e+00	8.218881e+00	8.943294e+01
5	3.764591e+00	8.609084e+00	8.930636e+01
6	3.313189e+00	8.629635e+00	9.144681e+01
7	3.546375e+00	8.670910e+00	9.035804e+01
8	3.773163e+00	8.757518e+00	8.976079e+01
9	3.550478e+00	8.804756e+00	9.079427e+01
10	3.666908e+00	8.799759e+00	9.026592e+01
11	3.736086e+00	8.903698e+00	9.032674e+01
12	3.505643e+00	8.892708e+00	9.128985e+01
13	3.628195e+00	8.936187e+00	9.086802e+01
14	3.689837e+00	8.935062e+00	9.060683e+01
15	3.745105e+00	8.961289e+00	9.047843e+01
16	3.701312e+00	8.995961e+00	9.075900e+01
17	3.726853e+00	8.982681e+00	9.061511e+01
18	3.747444e+00	9.006205e+00	9.061149e+01
19	3.772061e+00	9.062984e+00	9.069944e+01
20	3.851871e+00	9.159186e+00	9.071028e+01
21	3.736978e+00	9.170361e+00	9.118992e+01
22	3.796682e+00	9.174213e+00	9.096237e+01
23	3.852619e+00	9.198840e+00	9.083133e+01
24	3.796348e+00	9.210411e+00	9.107769e+01
25	3.825662e+00	9.208261e+00	9.095866e+01
26	3.799862e+00	9.219878e+00	9.109161e+01
27	3.817861e+00	9.220156e+00	9.102402e+01
28	3.832033e+00	9.225814e+00	9.098897e+01
29	3.822860e+00	9.236540e+00	9.105670e+01
30	3.828307e+00	9.231922e+00	9.102186e+01
31	3.833616e+00	9.237736e+00	9.102026e+01
32	3.840086e+00	9.251847e+00	9.104033e+01
33	3.859684e+00	9.276199e+00	9.104404e+01
34	3.800952e+00	9.271954e+00	9.125373e+01
35	3.830974e+00	9.279814e+00	9.116244e+01
36	3.845986e+00	9.280336e+00	9.110757e+01
37	3.859972e+00	9.286583e+00	9.107526e+01
38	3.846006e+00	9.289964e+00	9.113744e+01
39	3.853303e+00	9.289204e+00	9.110794e+01
40	3.856122e+00	9.296448e+00	9.111992e+01
41	3.867219e+00	9.307459e+00	9.111333e+01
42	3.837806e+00	9.305877e+00	9.121814e+01
43	3.852809e+00	9.309195e+00	9.117202e+01
44	3.860230e+00	9.309280e+00	9.114473e+01
45	3.866492e+00	9.313963e+00	9.113613e+01
46	3.851798e+00	9.313812e+00	9.119009e+01
47	3.859314e+00	9.315142e+00	9.116627e+01
48	3.862955e+00	9.315003e+00	9.115239e+01
49	3.864618e+00	9.314651e+00	9.114518e+01
50	3.862773e+00	9.315403e+00	9.115427e+01
51	3.863476e+00	9.315194e+00	9.115104e+01
52	3.862468e+00	9.315936e+00	9.115703e+01
53	3.862704e+00	9.315821e+00	9.115581e+01
54	3.862769e+00	9.315783e+00	9.115545e+01
55	3.862787e+00	9.315773e+00	9.115535e+01
56	3.862791e+00	9.315770e+00	9.115533e+01
57	3.862792e+00	9.315769e+00	9.115532e+01
58	3.862792e+00	9.315769e+00	9.115532e+01
59	3.862792e+00	9.315769e+00	9.115532e+01
60	3.862792e+00	9.315769e+00	9.115532e+01
61	3.862792e+00	9.315769e+00	9.115532e+01
62	3.862792e+00	9.315769e+00	9.115532e+01
63	3.862792e+00	9.315769e+00	9.115532e+01
64	3.862792e+00	9.315769e+00	9.115532e+01
65	3.862792e+00	9.315769e+00	9.115532e+01
66	3.862792e+00	9.315769e+00	9.115532e+01
67	3.862792e+00	9.315769e+00	9.115532e+01
68	3.862792e+00	9.315769e+00	9.115532e+01
69	3.862792e+00	9.315769e+00	9.115532e+01
70	3.862792e+00	9.315769e+00	9.115532e+01
71	3.862792e+00	9.315769e+00	9.115532e+01
72	3.862792e+00	9.315769e+00	9.115532e+01
73	3.862792e+00	9.315769e+00	9.115532e+01
74	3.862792e+00	9.315769e+00	9.115532e+01
75	3.862792e+00	9.315769e+00	9.115532e+01
76	3.862792e+00	9.315769e+00	9.115532e+01
77	3.862792e+00	9.315769e+00	9.115532e+01
78	3.862792e+00	9.315769e+00	9.115532e+01
79	3.862792e+00	9.315769e+00	9.115532e+01
80	3.862792e+00	9.315769e+00	9.115532e+01
