RTO_iter	Fa	Fb	Tr
0	3.600000e+00	1.000000e+01	8.500000e+01
1	3.996269e+00	8.495147e+00	8.558603e+01
2	3.550957e+00	7.773713e+00	8.613299e+01
3	3.343393e+00	7.440428e+00	8.651127e+01
4	3.262444e+00	7.357814e+00	8.676239e+01
5	3.244951e+00	7.376506e+00	8.694501e+01
6	3.253527e+00	7.425182e+00	8.709793e+01
7	3.270043e+00	7.480491e+00	8.723761e+01
8	3.288257e+00	7.536011e+00	8.736950e+01
9	3.306408e+00	7.590132e+00	8.749537e+01
10	3.324048e+00	7.642505e+00	8.761590e+01
11	3.341081e+00	7.693102e+00	8.773152e+01
12	3.357504e+00	7.741976e+00	8.784254e+01
13	3.373338e+00	7.789199e+00	8.794922e+01
14	3.388611e+00	7.834846e+00	8.805181e+01
15	3.403348e+00	7.878986e+00	8.815053e+01
16	3.417576e+00	7.921687e+00	8.824557e+01
17	3.431317e+00	7.963012e+00	8.833714e+01
18	3.444596e+00	8.003019e+00	8.842541e+01
19	3.457432e+00	8.041764e+00	8.851053e+01
20	3.469846e+00	8.079300e+00	8.859267e+01
21	3.481855e+00	8.115675e+00	8.867196e+01
22	3.493479e+00	8.150936e+00	8.874854e+01
23	3.504731e+00	8.185128e+00	8.882254e+01
24	3.515630e+00	8.218292e+00	8.889406e+01
25	3.526187e+00	8.250466e+00	8.896322e+01
26	3.536419e+00	8.281690e+00	8.903011e+01
27	3.546337e+00	8.311998e+00	8.909485e+01
28	3.555953e+00	8.341423e+00	8.915751e+01
29	3.565280e+00	8.369998e+00	8.921819e+01
30	3.574329e+00	8.397754e+00	8.927696e+01
31	3.583109e+00	8.424718e+00	8.933391e+01
32	3.591632e+00	8.450920e+00	8.938910e+01
33	3.599905e+00	8.476385e+00	8.944260e+01
34	3.607939e+00	8.501139e+00	8.949448e+01
35	3.615742e+00	8.525205e+00	8.954480e+01
36	3.623322e+00	8.548607e+00	8.959362e+01
37	3.630687e+00	8.571366e+00	8.964099e+01
38	3.637844e+00	8.593504e+00	8.968697e+01
39	3.644800e+00	8.615041e+00	8.973161e+01
40	3.651563e+00	8.635997e+00	8.977496e+01
