RTO_iter	merit	base_merit	cost	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G
1	-7.752530e+00	-7.752530e+00	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
2	-7.752530e+00	-7.752530e+00	-7.752530e+01	-3.276256e-02	1.295174e-01	4.930493e-01	2.141127e-01	9.131054e-02	4.723744e-02
3	-7.972840e+00	-7.972840e+00	-7.972840e+01	-3.242602e-02	1.294376e-01	4.922485e-01	2.145827e-01	9.143335e-02	4.757398e-02
4	-8.407544e+00	-8.407544e+00	-8.407544e+01	-3.175113e-02	1.292796e-01	4.906528e-01	2.155165e-01	9.167530e-02	4.824887e-02
5	-9.259000e+00	-9.259000e+00	-9.259000e+01	-3.038542e-02	1.289681e-01	4.874635e-01	2.173718e-01	9.214772e-02	4.961458e-02
6	-1.089246e+01	-1.089246e+01	-1.089246e+02	-2.758606e-02	1.283615e-01	4.810848e-01	2.210385e-01	9.304794e-02	5.241394e-02
7	-1.387906e+01	-1.387906e+01	-1.387906e+02	-2.171477e-02	1.272067e-01	4.683364e-01	2.281949e-01	9.466905e-02	5.828523e-02
8	-1.387906e+01		-1.387906e+02	-2.171477e-02	1.272067e-01	4.683364e-01	2.281949e-01	9.466905e-02	5.828523e-02
9	-1.648691e+01	-1.648691e+01	-1.648691e+02	-1.547947e-02	1.261338e-01	4.556072e-01	2.351072e-01	9.604674e-02	6.452053e-02
10	-2.054598e+01	-2.054598e+01	-2.054598e+02	-1.958080e-03	1.240867e-01	4.304218e-01	2.481833e-01	9.807766e-02	7.804192e-02
11	-2.054598e+01	-2.054598e+01	-2.054598e+02	-1.958080e-03	1.240867e-01	4.304218e-01	2.481833e-01	9.807766e-02	7.804192e-02
12	-2.400589e+01	-2.400589e+01	-2.400589e+02	2.777714e-02	1.169761e-01	3.864428e-01	2.710455e-01	9.959706e-02	1.077771e-01
13	-2.395147e+01		-2.395147e+02	2.762120e-02	1.340036e-01	3.715525e-01	2.679471e-01	9.809982e-02	1.076212e-01
14	-2.395147e+01		-2.395147e+02	2.762120e-02	1.340036e-01	3.715525e-01	2.679471e-01	9.809982e-02	1.076212e-01
15	-2.409221e+01	-2.409221e+01	-2.409221e+02	3.226190e-02	1.212255e-01	3.756114e-01	2.731600e-01	9.915938e-02	1.122619e-01
16	-2.412766e+01	-2.412766e+01	-2.412766e+02	3.133244e-02	1.200846e-01	3.788017e-01	2.723364e-01	9.905741e-02	1.113324e-01
