RTO_iter	Fa	Fb	Tr
0	3.600000e+00	1.000000e+01	8.500000e+01
1	3.603386e+00	9.996923e+00	8.508948e+01
2	3.610153e+00	9.990777e+00	8.526765e+01
3	3.623749e+00	9.978435e+00	8.562315e+01
4	3.651213e+00	9.953492e+00	8.633199e+01
5	3.707012e+00	9.902374e+00	8.774176e+01
6	3.902225e+00	9.698445e+00	8.924862e+01
7	4.126735e+00	9.148059e+00	8.947282e+01
8	3.876552e+00	8.916282e+00	8.969434e+01
9	3.786291e+00	8.810484e+00	8.981378e+01
10	3.735495e+00	8.769962e+00	8.989110e+01
11	3.712799e+00	8.759017e+00	8.994534e+01
12	3.703986e+00	8.761690e+00	8.998799e+01
13	3.702044e+00	8.770668e+00	9.002457e+01
14	3.703424e+00	8.782486e+00	9.005773e+01
15	3.706389e+00	8.795509e+00	9.008878e+01
16	3.710083e+00	8.808941e+00	9.011839e+01
17	3.714080e+00	8.822396e+00	9.014690e+01
18	3.718173e+00	8.835686e+00	9.017448e+01
19	3.722258e+00	8.848724e+00	9.020123e+01
20	3.726287e+00	8.861470e+00	9.022722e+01
21	3.730235e+00	8.873911e+00	9.025248e+01
22	3.734092e+00	8.886042e+00	9.027706e+01
23	3.737855e+00	8.897866e+00	9.030097e+01
24	3.741523e+00	8.909390e+00	9.032424e+01
25	3.745097e+00	8.920620e+00	9.034688e+01
26	3.748579e+00	8.931563e+00	9.036893e+01
27	3.751972e+00	8.942227e+00	9.039039e+01
28	3.755276e+00	8.952621e+00	9.041128e+01
29	3.758496e+00	8.962750e+00	9.043163e+01
30	3.761633e+00	8.972623e+00	9.045144e+01
31	3.764690e+00	8.982246e+00	9.047073e+01
32	3.767668e+00	8.991626e+00	9.048952e+01
33	3.770570e+00	9.000770e+00	9.050782e+01
34	3.773398e+00	9.009685e+00	9.052565e+01
35	3.776155e+00	9.018376e+00	9.054301e+01
36	3.778842e+00	9.026849e+00	9.055993e+01
37	3.781460e+00	9.035111e+00	9.057642e+01
38	3.784013e+00	9.043166e+00	9.059248e+01
39	3.786501e+00	9.051021e+00	9.060813e+01
40	3.788927e+00	9.058681e+00	9.062338e+01
41	3.791292e+00	9.066151e+00	9.063824e+01
42	3.793597e+00	9.073436e+00	9.065272e+01
43	3.795845e+00	9.080541e+00	9.066684e+01
44	3.798037e+00	9.087470e+00	9.068060e+01
45	3.800174e+00	9.094229e+00	9.069401e+01
46	3.802259e+00	9.100821e+00	9.070708e+01
47	3.804291e+00	9.107251e+00	9.071983e+01
48	3.806273e+00	9.113523e+00	9.073226e+01
49	3.808206e+00	9.119642e+00	9.074437e+01
50	3.810092e+00	9.125610e+00	9.075618e+01
51	3.811930e+00	9.131433e+00	9.076770e+01
52	3.813724e+00	9.137114e+00	9.077893e+01
53	3.815473e+00	9.142656e+00	9.078988e+01
54	3.817180e+00	9.148063e+00	9.080056e+01
55	3.818844e+00	9.153339e+00	9.081097e+01
56	3.820468e+00	9.158486e+00	9.082113e+01
57	3.822052e+00	9.163509e+00	9.083103e+01
58	3.823598e+00	9.168409e+00	9.084069e+01
59	3.825105e+00	9.173191e+00	9.085012e+01
60	3.826576e+00	9.177857e+00	9.085931e+01
61	3.828012e+00	9.182411e+00	9.086827e+01
62	3.829412e+00	9.186854e+00	9.087702e+01
63	3.830778e+00	9.191191e+00	9.088555e+01
64	3.832111e+00	9.195422e+00	9.089387e+01
65	3.833412e+00	9.199552e+00	9.090199e+01
66	3.834681e+00	9.203583e+00	9.090991e+01
67	3.834681e+00	9.203583e+00	9.090991e+01
68	3.834681e+00	9.203583e+00	9.090991e+01
69	3.834681e+00	9.203583e+00	9.090991e+01
70	3.834681e+00	9.203583e+00	9.090991e+01
71	3.834681e+00	9.203583e+00	9.090991e+01
72	3.834681e+00	9.203583e+00	9.090991e+01
73	3.834681e+00	9.203583e+00	9.090991e+01
74	3.834681e+00	9.203583e+00	9.090991e+01
75	3.834681e+00	9.203583e+00	9.090991e+01
76	3.834681e+00	9.203583e+00	9.090991e+01
77	3.834681e+00	9.203582e+00	9.090991e+01
78	3.833483e+00	9.202076e+00	9.090962e+01
79	3.832822e+00	9.200872e+00	9.090831e+01
80	3.832835e+00	9.200443e+00	9.090695e+01
